"Condition","celltype_major2","n_cells","total_cells","proportion","percent"
"HC","B cells",20939,260121,0.0804971532479116,"8.05%"
"HC","CD4+ T cells",82387,260121,0.316725677665394,"31.67%"
"HC","CD8+ T cells",64690,260121,0.248691954897913,"24.87%"
"HC","NK cells",47641,260121,0.183149380480622,"18.31%"
"HC","Myeloid cells",44464,260121,0.170935833708159,"17.09%"
"MKPP","B cells",15363,220846,0.0695643117828713,"6.96%"
"MKPP","CD4+ T cells",57299,220846,0.259452288019706,"25.95%"
"MKPP","CD8+ T cells",42045,220846,0.190381532832834,"19.04%"
"MKPP","NK cells",28114,220846,0.127301377430427,"12.73%"
"MKPP","Myeloid cells",78025,220846,0.353300489934162,"35.33%"
"SKPP","B cells",16670,227927,0.0731374519034603,"7.31%"
"SKPP","CD4+ T cells",43966,227927,0.192895093604531,"19.29%"
"SKPP","CD8+ T cells",42172,227927,0.18502415246987,"18.50%"
"SKPP","NK cells",31682,227927,0.139000644943337,"13.90%"
"SKPP","Myeloid cells",93437,227927,0.409942657078802,"40.99%"
