"Condition","celltype_number","celltype_major2","celltype","n_cells","total_cells","proportion","percent"
"HC",1,"B cells","B_01_Naive_TCL1A_IGHD",12914,260121,0.0496461262258718,"4.96%"
"HC",2,"B cells","B_02_iMemory_IGHD_CD27",4644,260121,0.0178532298430346,"1.79%"
"HC",3,"B cells","B_03_Memory_CD27",2178,260121,0.00837302639925266,"0.84%"
"HC",4,"B cells","B_04_Plasma_IGHA1_IGHG1",1203,260121,0.0046247707797525,"0.46%"
"HC",5,"CD4+ T cells","CD4T_01_Naive_CCR7_LEF1",14786,260121,0.0568427770153121,"5.68%"
"HC",6,"CD4+ T cells","CD4T_02_Naive_CCR7_TCF7",310,260121,0.00119175306876415,"0.12%"
"HC",7,"CD4+ T cells","CD4T_03_Tfh_ICOS_SLAMF1",7446,260121,0.0286251398387673,"2.86%"
"HC",8,"CD4+ T cells","CD4T_04_cMemory_CCR7_CD27",33450,260121,0.12859400048439,"12.86%"
"HC",9,"CD4+ T cells","CD4T_05_Th2_CCR4_GATA3",5,260121,1.92218236897444e-05,"0.00%"
"HC",10,"CD4+ T cells","CD4T_06_eMemory_GPR183_GZMK",6713,260121,0.0258072204858508,"2.58%"
"HC",11,"CD4+ T cells","CD4T_07_Th1_CXCR3_ISG20",14077,260121,0.0541171224161063,"5.41%"
"HC",12,"CD4+ T cells","CD4T_08_Treg_FOXP3_IL2RA",5125,260121,0.019702369281988,"1.97%"
"HC",13,"CD4+ T cells","CD4T_09_Pro_MKI67",475,260121,0.00182607325052572,"0.18%"
"HC",14,"CD8+ T cells","CD8T_01_Naive_CCR7_LEF1",10557,260121,0.0405849585385263,"4.06%"
"HC",15,"CD8+ T cells","CD8T_02_cMemory_CCR7_GPR183",3446,260121,0.0132476808869718,"1.32%"
"HC",16,"CD8+ T cells","CD8T_03_eMemory_GPR183_GZMH",13168,260121,0.0506225948693108,"5.06%"
"HC",17,"CD8+ T cells","CD8T_04_Effector_GZMA_GZMM",25026,260121,0.0962090719319086,"9.62%"
"HC",18,"CD8+ T cells","CD8T_05_Effector_GZMK",231,260121,0.000888048254466191,"0.09%"
"HC",19,"CD8+ T cells","CD8T_06_Pro",3316,260121,0.0127479134710385,"1.27%"
"HC",20,"CD8+ T cells","MAIT",5401,260121,0.0207634139496619,"2.08%"
"HC",21,"CD8+ T cells","γδT",3527,260121,0.0135590744307457,"1.36%"
"HC",22,"CD8+ T cells","DNT",18,260121,6.91985652830798e-05,"0.01%"
"HC",23,"NK cells","NK_01_Naive_SELL_LEF1",8508,260121,0.0327078551904691,"3.27%"
"HC",24,"NK cells","NK_02_Exhaustion_CD160_LAG3",820,260121,0.00315237908511808,"0.32%"
"HC",25,"NK cells","NK_03_CD160_GZMB",29791,260121,0.114527469908235,"11.45%"
"HC",26,"NK cells","NK_04_CD56_LAG3",8522,260121,0.0327616762968003,"3.28%"
"HC",27,"Myeloid cells","DC_01_mDC_CD1C_CLEC10A",2305,260121,0.00886126072097216,"0.89%"
"HC",28,"Myeloid cells","DC_02_pDC_LILRA4_ITM2C",727,260121,0.00279485316448883,"0.28%"
"HC",29,"Myeloid cells","Mono_01_Classical_CD14",10064,260121,0.0386896867227175,"3.87%"
"HC",30,"Myeloid cells","Mono_02_Classical_CD83",1570,260121,0.00603565263857974,"0.60%"
"HC",31,"Myeloid cells","Mono_03_Classical_CD83_HLA-DPB1",17099,260121,0.0657347926541879,"6.57%"
"HC",32,"Myeloid cells","Mono_04_Intermedate_CD14_CD16",182,260121,0.000699674382306696,"0.07%"
"HC",33,"Myeloid cells","Mono_05_Intermedate_CD83_HLA-DPB1",2156,260121,0.00828845037501778,"0.83%"
"HC",34,"Myeloid cells","Mono_06_Non-classical_CD16_C1QA",5199,260121,0.0199868522725962,"2.00%"
"HC",35,"Myeloid cells","Mono_07_MDSC_CD24_ARHGAP26",355,260121,0.00136474948197185,"0.14%"
"HC",36,"Myeloid cells","Mono_08_MDSC_S100A8_S100A9",1470,260121,0.00565121616478485,"0.57%"
"HC",37,"Myeloid cells","Mega",3337,260121,0.0128286451305354,"1.28%"
"MKPP",1,"B cells","B_01_Naive_TCL1A_IGHD",8254,220846,0.0373744600309718,"3.74%"
"MKPP",2,"B cells","B_02_iMemory_IGHD_CD27",3532,220846,0.0159930449272344,"1.60%"
"MKPP",3,"B cells","B_03_Memory_CD27",1783,220846,0.00807349918042437,"0.81%"
"MKPP",4,"B cells","B_04_Plasma_IGHA1_IGHG1",1794,220846,0.00812330764424078,"0.81%"
"MKPP",5,"CD4+ T cells","CD4T_01_Naive_CCR7_LEF1",11028,220846,0.0499352489970387,"4.99%"
"MKPP",6,"CD4+ T cells","CD4T_02_Naive_CCR7_TCF7",406,220846,0.00183838511904223,"0.18%"
"MKPP",7,"CD4+ T cells","CD4T_03_Tfh_ICOS_SLAMF1",7041,220846,0.0318819448846708,"3.19%"
"MKPP",8,"CD4+ T cells","CD4T_04_cMemory_CCR7_CD27",23198,220846,0.105041522146654,"10.50%"
"MKPP",9,"CD4+ T cells","CD4T_05_Th2_CCR4_GATA3",3,220846,1.35841264953859e-05,"0.00%"
"MKPP",10,"CD4+ T cells","CD4T_06_eMemory_GPR183_GZMK",4884,220846,0.0221149579344883,"2.21%"
"MKPP",11,"CD4+ T cells","CD4T_07_Th1_CXCR3_ISG20",4162,220846,0.0188457114912654,"1.88%"
"MKPP",12,"CD4+ T cells","CD4T_08_Treg_FOXP3_IL2RA",5537,220846,0.0250717694683173,"2.51%"
"MKPP",13,"CD4+ T cells","CD4T_09_Pro_MKI67",1040,220846,0.00470916385173379,"0.47%"
"MKPP",14,"CD8+ T cells","CD8T_01_Naive_CCR7_LEF1",7239,220846,0.0327784972333662,"3.28%"
"MKPP",15,"CD8+ T cells","CD8T_02_cMemory_CCR7_GPR183",2250,220846,0.0101880948715394,"1.02%"
