"celltype_major2","celltype_number","celltype","n_cells","proportion","percent"
"B cells",1,"B_01_Naive_TCL1A_IGHD",29678,0.0418652153918639,"4.19%"
"B cells",2,"B_02_iMemory_IGHD_CD27",12227,0.0172479947636741,"1.72%"
"B cells",3,"B_03_Memory_CD27",5426,0.00765417678806705,"0.77%"
"B cells",4,"B_04_Plasma_IGHA1_IGHG1",5641,0.00795746613739149,"0.80%"
"CD4+ T cells",5,"CD4T_01_Naive_CCR7_LEF1",34343,0.0484458889481361,"4.84%"
"CD4+ T cells",6,"CD4T_02_Naive_CCR7_TCF7",974,0.00137397128484654,"0.14%"
"CD4+ T cells",7,"CD4T_03_Tfh_ICOS_SLAMF1",18824,0.0265540405194571,"2.66%"
"CD4+ T cells",8,"CD4T_04_cMemory_CCR7_CD27",73741,0.104022604225738,"10.40%"
"CD4+ T cells",9,"CD4T_05_Th2_CCR4_GATA3",9,1.26958332275347e-05,"0.00%"
"CD4+ T cells",10,"CD4T_06_eMemory_GPR183_GZMK",15025,0.021194988249301,"2.12%"
"CD4+ T cells",11,"CD4T_07_Th1_CXCR3_ISG20",23743,0.033493018702373,"3.35%"
"CD4+ T cells",12,"CD4T_08_Treg_FOXP3_IL2RA",14645,0.0206589419574718,"2.07%"
"CD4+ T cells",13,"CD4T_09_Pro_MKI67",2348,0.00331220182425017,"0.33%"
"CD8+ T cells",14,"CD8T_01_Naive_CCR7_LEF1",21441,0.0302457066923969,"3.02%"
"CD8+ T cells",15,"CD8T_02_cMemory_CCR7_GPR183",7373,0.0104007087096237,"1.04%"
"CD8+ T cells",16,"CD8T_03_eMemory_GPR183_GZMH",33768,0.0476347662697103,"4.76%"
"CD8+ T cells",17,"CD8T_04_Effector_GZMA_GZMM",55695,0.078566047956394,"7.86%"
"CD8+ T cells",18,"CD8T_05_Effector_GZMK",761,0.00107350323179488,"0.11%"
"CD8+ T cells",19,"CD8T_06_Pro",11411,0.0160969058843776,"1.61%"
"CD8+ T cells",20,"MAIT",11922,0.0168177470820743,"1.68%"
"CD8+ T cells",21,"γδT",6276,0.00885322770400088,"0.89%"
"CD8+ T cells",22,"DNT",260,0.000366768515462114,"0.04%"
"NK cells",23,"NK_01_Naive_SELL_LEF1",17362,0.0244916729440509,"2.45%"
"NK cells",24,"NK_02_Exhaustion_CD160_LAG3",1258,0.00177459535558208,"0.18%"
"NK cells",25,"NK_03_CD160_GZMB",72895,0.102829195902349,"10.28%"
"NK cells",26,"NK_04_CD56_LAG3",15922,0.0224603396276453,"2.25%"
"Myeloid cells",27,"DC_01_mDC_CD1C_CLEC10A",5772,0.00814226104325894,"0.81%"
"Myeloid cells",28,"DC_02_pDC_LILRA4_ITM2C",1600,0.0022570370182284,"0.23%"
"Myeloid cells",29,"Mono_01_Classical_CD14",59187,0.0834920312486775,"8.35%"
"Myeloid cells",30,"Mono_02_Classical_CD83",6614,0.00933002677410163,"0.93%"
"Myeloid cells",31,"Mono_03_Classical_CD83_HLA-DPB1",78973,0.111403115275344,"11.14%"
"Myeloid cells",32,"Mono_04_Intermedate_CD14_CD16",4398,0.0062040305038553,"0.62%"
"Myeloid cells",33,"Mono_05_Intermedate_CD83_HLA-DPB1",8813,0.0124320420260293,"1.24%"
"Myeloid cells",34,"Mono_06_Non-classical_CD16_C1QA",18043,0.0254523243249343,"2.55%"
"Myeloid cells",35,"Mono_07_MDSC_CD24_ARHGAP26",6604,0.0093159202927377,"0.93%"
"Myeloid cells",36,"Mono_08_MDSC_S100A8_S100A9",13145,0.0185429697528827,"1.85%"
"Myeloid cells",37,"Mega",12777,0.0180238512386901,"1.80%"
