"celltype_number","celltype","celltype_major2","subcluster_col"
1,"B_01_Naive_TCL1A_IGHD","B cells","#A6DDEA"
2,"B_02_iMemory_IGHD_CD27","B cells","#88D1E3"
3,"B_03_Memory_CD27","B cells","#6AC6DC"
4,"B_04_Plasma_IGHA1_IGHG1","B cells","#4DBBD5"
5,"CD4T_01_Naive_CCR7_LEF1","CD4+ T cells","#9CDAD0"
6,"CD4T_02_Naive_CCR7_TCF7","CD4+ T cells","#89D3C7"
7,"CD4T_03_Tfh_ICOS_SLAMF1","CD4+ T cells","#75CBBE"
8,"CD4T_04_cMemory_CCR7_CD27","CD4+ T cells","#62C4B5"
9,"CD4T_05_Th2_CCR4_GATA3","CD4+ T cells","#4EBDAB"
10,"CD4T_06_eMemory_GPR183_GZMK","CD4+ T cells","#3AB5A2"
11,"CD4T_07_Th1_CXCR3_ISG20","CD4+ T cells","#27AE99"
12,"CD4T_08_Treg_FOXP3_IL2RA","CD4+ T cells","#13A790"
13,"CD4T_09_Pro_MKI67","CD4+ T cells","#00A087"
14,"CD8T_01_Naive_CCR7_LEF1","CD8+ T cells","#B3BDD1"
15,"CD8T_02_cMemory_CCR7_GPR183","CD8+ T cells","#A4B0C8"
16,"CD8T_03_eMemory_GPR183_GZMH","CD8+ T cells","#95A2BE"
17,"CD8T_04_Effector_GZMA_GZMM","CD8+ T cells","#8795B5"
18,"CD8T_05_Effector_GZMK","CD8+ T cells","#7888AC"
19,"CD8T_06_Pro","CD8+ T cells","#697BA3"
20,"MAIT","CD8+ T cells","#596E9A"
21,"γδT","CD8+ T cells","#4A6191"
22,"DNT","CD8+ T cells","#3C5488"
23,"NK_01_Naive_SELL_LEF1","NK cells","#F9CDBF"
24,"NK_02_Exhaustion_CD160_LAG3","NK cells","#F7BCA9"
25,"NK_03_CD160_GZMB","NK cells","#F4AB94"
26,"NK_04_CD56_LAG3","NK cells","#F39B7F"
27,"DC_01_mDC_CD1C_CLEC10A","Myeloid cells","#F7CBC5"
28,"DC_02_pDC_LILRA4_ITM2C","Myeloid cells","#F6BEB6"
29,"Mono_01_Classical_CD14","Myeloid cells","#F4B1A8"
30,"Mono_02_Classical_CD83","Myeloid cells","#F2A59A"
31,"Mono_03_Classical_CD83_HLA-DPB1","Myeloid cells","#F0988B"
32,"Mono_04_Intermedate_CD14_CD16","Myeloid cells","#EE8B7D"
33,"Mono_05_Intermedate_CD83_HLA-DPB1","Myeloid cells","#ED7E6E"
34,"Mono_06_Non-classical_CD16_C1QA","Myeloid cells","#EB7160"
35,"Mono_07_MDSC_CD24_ARHGAP26","Myeloid cells","#E96451"
36,"Mono_08_MDSC_S100A8_S100A9","Myeloid cells","#E75743"
37,"Mega","Myeloid cells","#E64B35"
