"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031297","replication fork processing","8/350","46/18614",2.0183206003792e-06,0.000216275666834384,0.000202562373413057,"DNA2/GEN1/FANCM/OOEP/MMS22L/CENPS/MRE11/BRCA2",8
"GO:0000725","recombinational repair","16/350","175/18614",2.11156213371815e-07,4.25914503324679e-05,3.98908734982915e-05,"CDC7/GEN1/FANCM/CDC45/POLQ/TOP3A/PALB2/MORF4L2/RMI1/OOEP/SHLD2/MMS22L/XRCC2/MRE11/FAN1/BRCA2",16
"GO:0006302","double-strand break repair","23/350","303/18614",1.61708609433836e-08,6.16109801942915e-06,5.77044406295478e-06,"DNA2/MTA1/CDC7/GEN1/FANCM/CDC45/POLQ/TOP3A/BRIP1/PALB2/EYA3/MORF4L2/FOXM1/RMI1/OOEP/SHLD2/ERCC8/MMS22L/XRCC2/MRE11/FAN1/BRCA2/PARP9",23
"GO:0071173","spindle assembly checkpoint signaling","8/350","46/18614",2.0183206003792e-06,0.000216275666834384,0.000202562373413057,"GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1",8
"GO:0007052","mitotic spindle organization","9/350","130/18614",0.000794302543747569,0.0316705049129118,0.0296623875272195,"KIF15/NUF2/STIL/TTK/NDC80/WDR62/DLGAP5/PRC1/KIF11",9
"GO:0000070","mitotic sister chromatid segregation","16/350","199/18614",1.1984495726479e-06,0.000158057060946526,0.000148035208346103,"DSCC1/GEN1/HDAC8/BUB1B/BUB1/KIF15/NUF2/KIF2C/TTK/NDC80/DLGAP5/PRC1/TEX14/KIF11/KNTC1/NCAPG2",16
"GO:0007059","chromosome segregation","33/350","435/18614",1.09638524472244e-11,3.10489242465388e-08,2.90802191451213e-08,"CCNE1/DSCC1/GEN1/HDAC8/CEP85/CDCA2/BUB1B/BUB1/KIF15/FANCM/NUF2/TOP3A/BRIP1/ECT2/KIF2C/STIL/PMF1/HAUS7/RMI1/TTK/NDC80/ASPM/DLGAP5/PRC1/TEX14/CENPS/HJURP/RAD18/KIF11/KNTC1/MRE11/NCAPG2/KNL1",33
"GO:0000281","mitotic cytokinesis","8/350","84/18614",0.000181460321660381,0.00818720319701905,0.00766808090562082,"EXOC6/SNX9/RHOC/ANLN/ECT2/KIF20A/ANK3/CIT",8
"GO:0140014","mitotic nuclear division","21/350","286/18614",1.21124465492504e-07,2.76890528115863e-05,2.59333855591318e-05,"DSCC1/GEN1/HDAC8/CEP85/CDCA2/BUB1B/BUB1/KIF15/ANLN/NUF2/KIF2C/TTK/NDC80/DLGAP5/PRC1/TEX14/MTBP/KIF11/KNTC1/CDC25C/NCAPG2",21
"GO:0044839","cell cycle G2/M phase transition","11/350","151/18614",0.000136858995577066,0.00651790966435779,0.0061046315132402,"MASTL/CDC7/MELK/ORC1/FOXM1/NDC80/FOXN3/CIT/ATAD5/MRE11/CDC25C",11
"GO:0044786","cell cycle DNA replication","7/350","43/18614",1.40866112661075e-05,0.000894499815397826,0.000837782670036919,"DNA2/CDC7/CDC45/BCL6/WIZ/ATAD5/BRCA2",7
"GO:0006260","DNA replication","24/350","278/18614",6.02828054153755e-10,4.13419479538645e-07,3.87205977520654e-07,"WDHD1/DNA2/CCNE1/DSCC1/CDC7/GEN1/POLE2/FANCM/CDC45/PCLAF/BCL6/POLQ/POLA2/ORC1/WIZ/RMI1/OOEP/DTD1/POLH/ATAD5/MMS22L/CENPS/MRE11/BRCA2",24
