"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",137,0.718857681767958,1.39209615949866,8.65155799462953e-08,4.23926341736847e-06,3.64276126089665e-06,3317,"tags=38%, list=17%, signal=32%","ATXN1/FYN/RASA2/PTEN/DLG1/CELF2/NFKB1/ABCC1/RUNX1/DYRK1A/PRKCA/SIPA1L1/MAPK14/NEK7/NIPBL/PRDM2/SCAF8/CDK13/SMAD3/ATP2C1/TGFBR2/AKT3/SYNE1/SFMBT1/PEX14/GRK5/ATP2B1/WDR37/PIK3CD/ATP2B4/TENT4A/INPP4B/SLC7A1/ATRX/SPOP/YTHDC1/TOGARAM1/TGFBR3/MAP2K5/BCKDHB/PHF3/ATRN/NR3C1/NR1D2/ICA1/ZMIZ1/MTA1/MIOS/ANXA4/MGMT/ACVR2A/DBP"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",95,0.704180468599551,1.35081216429538,4.85975358173308e-05,0.000847969668602021,0.000728652776457161,4300,"tags=61%, list=22%, signal=48%","GNAS/RPS6KA3/ARFGEF1/AP3B1/GOLGA4/MON2/MAPK1/PAM/SGMS1/RAB22A/IGF2R/COPB1/GBF1/ADAM10/ARFGEF2/CLTA/TSG101/RAB2A/STAM/AP1G1/GOSR2/AP2B1/CD63/STX16/ARCN1/COPB2/RAB5A/CLTC/DNM1L/ANP32E/SEC31A/SEC24D/VPS4B/ATP6V1H/RER1/USO1/CLN5/ICA1/SCAMP1/CLCN3/STX12/LAMP2/KIF1B/ARFIP1/VPS45/TPD52/YIPF6/NAPG/SNX2/GALC/COG2/SEC22B/LMAN1/STX7/CTSC/VAMP4/ARFGAP3/BET1"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",192,0.652950759260182,1.27734405253805,5.19165103225727e-05,0.000847969668602021,0.000728652776457161,4928,"tags=71%, list=25%, signal=54%","CUL3/STAG1/HNRNPD/MAPK14/GSPT1/SMARCC1/CTCF/CDC27/RAD23B/PDS5B/PAFAH1B1/SMAD3/NUP98/SLC38A1/PRIM2/SFPQ/UBE2S/WRN/FOXN3/SRSF2/CUL5/RPS6KA5/SS18/TOP1/TFDP1/NSD2/RBL1/MTF2/SYNCRIP/TMPO/NASP/E2F3/TENT4A/XPO1/EZH2/LBR/UPF1/ARID4A/ODC1/SLC7A1/ATRX/SLC12A2/SAP30/MNAT1/YTHDC1/BCL3/SMC4/RBM14/CUL1/NCL/KMT5A/ABL1/BARD1/E2F4/HIRA/MCM6/CHAF1A/ORC5/SNRPD1/E2F1/POLA2/SMC1A/CUL4A/TACC3/NDC80/LMNB1/MYBL2/DKC1/CDC7/KIF11/KNL1/PURA/NUMA1/SRSF1/CENPA/KIF20B/PRC1/DBF4/POLQ/INCENP/HNRNPU/CDKN3/SMC2/PLK4/CHEK1/KIF15/CCNT1/FANCC/KPNB1/KATNA1/KIF5B/JPT1/STIL/BRCA2/CCNB2/TTK/PTTG1/G3BP1/CDKN2C/CKS1B/BUB1/TPX2/CDC45/CENPF/CENPE/KPNA2/GINS2/PBK/CDKN1B/AURKB/RACGAP1/POLE/KIF4A/DTYMK/CDK1/MKI67/HMGB3/CBX1/NUP50/E2F2/HMGA1/HMMR/MAD2L1/TNPO2/TOP2A/UCK2/CDC20/BIRC5/LIG3/KIF23/CCNA2/TLE3/HIF1A/CDC25A/CASP8AP2/MCM3/EXO1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",103,0.680499196772881,1.30875741475878,0.000262287151448737,0.00321301760524703,0.00276091738367092,2426,"tags=40%, list=12%, signal=35%","CSNK2B/IL2RG/PRKCB/PTEN/ACTR2/RPS6KA3/CAB39/MAPK1/ITPR2/RAC1/MAPK8/GSK3B/RPTOR/GRK2/AKT1/MAPK9/TBK1/MAPKAP1/CAMK4/RIPK1/HRAS/MKNK2/ACTR3/NCK1/RAF1/ACACA/TIAM1/VAV3/SLA/PIKFYVE/GRB2/CLTC/EIF4E/PRKAG1/DAPP1/PTPN11/SMAD2/PPP2R1B/UBE2N/E2F1/MAP3K7"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",197,0.632455466931215,1.23778540496913,0.00040784478718631,0.00399687891442584,0.00343448241841103,4884,"tags=59%, list=25%, signal=45%","NCK2/RASA2/RANBP9/DLG1/DOCK2/SSH2/AKAP13/RICTOR/ARFGEF1/SOS1/EPB41/TLK1/PREX1/CDC27/ARHGEF3/RABGAP1/MYO9B/CEP192/CLASP1/RASA1/PAFAH1B1/CNTRL/NEDD9/PCM1/ABI1/APC/ROCK1/NIN/ARHGEF7/RAB3GAP1/CD2AP/ARL8A/NCK1/ARF6/ALMS1/TIAM1/LRPPRC/FLNB/CLIP1/LATS1/CDK5RAP2/BCR/SUN2/TUBGCP3/SMC4/ABL1/HOOK3/PCNT/YWHAE/RFC1/CKAP5/RALBP1/SPTBN1/PKD2/WASL/DYNLL2/SMC1A/NF1/NDC80/MARK4/LMNB1/KIF11/DYNC1H1/NUMA1/EZR/KIF20B/ARHGAP5/STAU1/PRC1/ARHGAP10/ECT2/VCL/RAPGEF6/INCENP/CEP57/SMC3/KNTC1/KIF1B/KIFAP3/STK38L/KIF15/KLC1/CSNK1D/PCGF5/KATNA1/KIF5B/BCL2L11/SASS6/CEP250/BRCA2/PPP4R2/CCNB2/TTK/KIF3B/BUB1/TPX2/CENPF/CENPE/WASF2/ABR/RACGAP1/KIF4A/DLGAP5/CDK1/SAC3D1/TUBD1/TOP2A/ANLN/TUBGCP5/BIRC5/KIF23/MYH10/NET1/ACTN4/TSC1/MYO1E"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",198,0.620672085233436,1.21532108758497,0.00242338890629385,0.0197910094013998,0.0170062379389042,5733,"tags=75%, list=29%, signal=53%","STAG1/HNRNPD/GSPT1/CTCF/PDS5B/NUP153/NME1/PRIM2/PRKDC/UBE2S/SRSF2/ATAD2/ORC2/SYNCRIP/TMPO/SMC6/PNN/NASP/XPO1/EZH2/LBR/CSE1L/TFRC/LUC7L3/SMC4/IPO7/BARD1/ANP32E/RFC1/MCM6/EED/NUP107/MRE11/MMS22L/HELLS/POLA2/TP53/SMC1A/EIF2S1/CCNE1/ING3/TACC3/LMNB1/MELK/MYBL2/NAP1L1/DUT/NBN/SRSF1/RFC3/CNOT9/PPM1D/WEE1/POLD3/NUP205/BUB1B/DIAPH3/SMC3/CDKN3/LYAR/PLK4/CHEK1/CIT/RANBP1/CTPS1/RPA1/JPT1/MCM4/SNRPB/CENPM/MSH2/BRCA2/MTHFD2/UBE2T/CCNB2/PTTG1/CDKN2C/ASF1A/CKS1B/CBX5/HMGB2/EXOSC8/MLH1/BRCA1/DONSON/CENPE/KPNA2/PCNA/KIF18B/SPC25/USP1/RAD51AP1/CDKN1B/PAICS/DSCC1/DCTPP1/AURKB/RACGAP1/POLE/TIPIN/KIF4A/RAN/DLGAP5/RRM2/CDK1/PPP1R8/MKI67/PSIP1/HMGB3/RBBP7/BRMS1L/HMGA1/HMMR/MAD2L1/TOP2A/LIG1/RPA3/CDC20/BIRC5/RAD51C/DEK/ASF1B/E2F8/SLBP/RFC2/CDC25A/MCM3/GINS1/CDCA3/NCAPD2/KIF2C/UBR7/RPA2/SHMT1/TK1/AURKA/ZW10/ORC6/DNMT1/CDCA8/MXD3/MCM7/PLK1/TCF19/STMN1/TBRG4/MCM2/GINS4"
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",30,0.725695735096666,1.3136559669808,0.011502336854125,0.0805163579788751,0.0691869885962407,937,"tags=13%, list=5%, signal=13%","FOXO1/ELP4/AKT3/SEC11A"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",117,0.619112298085601,1.19345468513976,0.0157864878571637,0.0966922381251274,0.0830867781955982,5644,"tags=38%, list=29%, signal=27%","BRAF/AGFG1/CSNK2A2/IP6K1/TLE4/CAMK4/TOPBP1/EZH2/MLLT10/STAM2/SIRT1/SLC12A2/IL12RB2/CHFR/NF2/IDE/STRBP/GMCL1/DBF4/PRKAR2A/MTOR/CDKN3/RAD17/CCNB2/TTK/RFC4/PIAS2/BUB1/RPL39L/VDAC3/PGS1/MAST2/ZC3H14/CDK1/NCAPH/PSMG1/IFT88/KIF2C/PHF7/GFI1/AURKA/NEK2/CCT6B/DMC1"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",96,0.61981127296957,1.18978907730005,0.041,0.223222222222222,0.191812865497076,4133,"tags=42%, list=21%, signal=33%","IQGAP2/STK39/RPS6KA3/PIAS1/FKBP5/TNFAIP8/XRCC5/AKT1/APPBP2/INPP4B/SLC38A2/NGLY1/PTK2B/ELK4/ELL2/ABHD2/CDK6/GNAI3/SRP19/ANKH/SEC24D/SPCS3/ACSL3/MAF/VAPA/TMEM50A/ZMIZ1/GSR/PLPP1/CAMKK2/CCND3/ABCC4/TSC22D1/TPD52/UAP1/SRF/GPD1L/LMAN1/ITGAV/HMGCR"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",190,0.573802717719131,1.12205618962533,0.0729270729270729,0.357342657342657,0.307061359692939,3482,"tags=30%, list=18%, signal=25%","PICALM/GLRX5/RBM38/NEK7/EPB41/MARK3/USP15/RNF19A/HDGF/CDC27/TNRC6B/ADD1/TSPAN5/KAT2B/KDM7A/TOP1/BTRC/BACH1/FBXO34/TFDP2/XPO7/PSMD9/UBAC1/KLF3/NNT/RIOK3/TFRC/SYNJ1/GAPVD1/ELL2/LPIN2/RBM5/SDCBP/DCUN1D1/RCL1/TENT5C/MXI1/MFHAS1/NR3C1/CPOX/SEC14L1/EIF2AK1/CIR1/EZH1/CLCN3/RANBP10/LAMP2/GMPS/HAGH/GCLC/BMP2K/CCND3/SLC11A2/TRAK2/ISCA1/FOXO3/GCLM"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,0.648715366305661,1.19814111761714,0.093973442288049,0.418608970192218,0.359706956126503,3846,"tags=31%, list=20%, signal=25%","ADAM17/NUMB/CTNNB1/MAML1/NCOR2/CCND2/CUL1/AXIN1/TP53/RBPJ/PPARD/CSNK1E/LEF1"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",199,0.549658406260974,1.07597550611852,0.186813186813187,0.762820512820513,0.655484866011182,5706,"tags=36%, list=29%, signal=26%","GNAI2/FYN/ZEB1/DOCK10/CBLB/RASGRP1/PIK3R5/USP15/CTSD/PIK3CA/KIF2A/PSEN1/JAK2/DOCK9/CD55/S100A9/AKAP10/USP14/DYRK2/RAF1/CD59/DGKH/GRB2/CEBPB/PREP/GNAI3/CASP3/PRDM4/GPD2/GNG2/SH2B3/CTSS/USP8/F5/PIK3CG/PPP2CB/LAMP2/HSPA1A/DUSP5/LAP3/IRF2/FDX1/LGALS3/VCPIP1/CD46/GZMA/IRF1/PLSCR1/CTSC/PSMB9/GZMK/CASP7/RNF4/C1S/ANXA5/ADAM9/PRCP/LYN/CASP1/BRPF3/S100A12/RABIF/GNB4/HSPA5/FCER1G/CASP10/LGMN/PRKCD/CPQ/USP16/CASP9/PDP1"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",53,0.569669357385637,1.06825556484676,0.359311740890688,1,0.859291084854995,4234,"tags=42%, list=22%, signal=33%","ARID4B/TRIM33/SMAD3/APC/CTNNB1/SMURF1/NCOR2/HIPK2/FNTA/ACVR1/CDK9/SPTBN1/PPM1A/MAP3K7/XIAP/BMPR2/SLC20A1/SKI/FURIN/HDAC1/SMURF2/TGFBR1"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",34,-0.398350627265949,-1.05117890755797,0.275173334229194,1,0.859291084854995,319,"tags=12%, list=2%, signal=12%","PF4/LRPAP1/TIMP1/PDGFA"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",197,0.535627170308226,1.04828170294644,0.2997002997003,1,0.859291084854995,6194,"tags=47%, list=32%, signal=33%","CD81/CDC42SE2/RABGAP1L/LRRC8C/PRKCH/RORA/SNX9/POU2F1/BCL2/IGF2R/RHOH/NCOA3/PHTF2/SNX14/HUWE1/MAPKAPK2/LRIG1/CTLA4/CTSZ/ICOS/HIPK2/TIAM1/ODC1/CCND2/LCLAT1/IL18R1/ALCAM/CASP3/CD48/IKZF2/CCNE1/BMPR2/ADAM19/PLIN2/PTRH2/PNP/TNFSF10/DCPS/PLPP1/ANXA4/SLC1A5/UMPS/CCND3/IRF4/GSTO1/ITGAE/TRAF1/FURIN/DENND5A/BCL2L1/MXD1/NFIL3/ITGA6/TTC39B/GALM/NOP2/ITGAV/P4HA1/PLSCR1/EEF1AKMT1/CD44/IL2RA/CCR4/NFKBIZ/PUS1/UCK2/PRAF2/MYO1E/EOMES/TWSG1/IFNGR1/PDCD2L/SOCS1/SLC39A8/GPR65/IL4R/GABARAPL1/SYT11/GLIPR2/SWAP70/CDC6/CD79B/BATF/MAP3K8/PLAGL1/FGL2/PHLDA1/P2RX4/SPRED2/XBP1/IGF1R/SLC2A3/TNFRSF18"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",108,0.543920714166121,1.04668015247346,0.355,1,0.859291084854995,5703,"tags=58%, list=29%, signal=42%","EIF4A1/CNOT4/IMP3/ERO1A/ATF6/MTREX/EXOC2/SEC11A/DNAJC3/KHSRP/GOSR2/CNOT6/EIF2AK3/DCP1A/EIF4E/CEBPB/CNOT2/ERN1/DCP2/SEC31A/PAIP1/TATDN2/PARN/EIF2S1/SPCS3/PDIA6/DKC1/HSPA9/EDEM1/EIF4A3/EXOSC1/DDX10/LSM1/NFYB/EXOSC9/KIF5B/SLC1A4/MTHFD2/SLC30A5/CKS1B/XPOT/EXOSC2/NABP1/PSAT1/BANF1/NOP14/NFYA/FUS/ZBTB17/WIPI1/YIF1A/SPCS1/SDAD1/LSM4/RRP9/SRPRB/DNAJA4/HSPA5/CEBPG/ALDH18A1/POP4/HYOU1/HERPUD1"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",188,0.535083569702132,1.04615856029599,0.308691308691309,1,0.859291084854995,3675,"tags=19%, list=19%, signal=15%","IL2RG/RABGAP1L/DOCK2/PTBP2/ETS1/STRN/WDR33/CCSER2/IKZF1/ERO1A/USP12/ADAM17/ST6GAL1/MAP3K1/NIN/YRDC/AVL9/RBM4/CCND2/SDCCAG8/CBL/AMMECR1/ANKH/PRDM1/CTSS/ATG10/CBR4/BIRC3/MTMR10/ZNF639/FBXO4/PECAM1/TRAF1/ZNF277/CXCR4"
