"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",137,0.705831615143898,1.36647073681563,6.34450924330199e-08,3.17225462165099e-06,2.67137231296926e-06,3126,"tags=37%, list=16%, signal=31%","ATXN1/RASA2/FYN/ABCC1/PRKCA/SIPA1L1/NFKB1/DYRK1A/CELF2/PTEN/RUNX1/DLG1/MAPK14/NEK7/NIPBL/SMAD3/SCAF8/TGFBR2/PRDM2/SFMBT1/ATP2C1/AKT3/CDK13/SYNE1/PEX14/INPP4B/GRK5/PIK3CD/TGFBR3/TENT4A/ATP2B1/SLC7A1/ATP2B4/WDR37/NR3C1/MIOS/SPOP/ACVR2A/YTHDC1/MTA1/ATRX/TOGARAM1/ZMIZ1/MAP2K5/BCKDHB/NR1D2/SYNJ2/ATRN/SRI/ANXA4/PRKCE"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",192,0.670580938817913,1.31184624270622,5.74716196932945e-07,1.43679049233236e-05,1.20992883564831e-05,5202,"tags=79%, list=27%, signal=58%","CUL3/STAG1/HNRNPD/MAPK14/SMARCC1/GSPT1/PDS5B/CDC27/NUP98/SMAD3/WRN/CTCF/PRIM2/FOXN3/SRSF2/SLC38A1/PAFAH1B1/RAD23B/RPS6KA5/SS18/BCL3/TFDP1/RBL1/CUL5/UBE2S/MTF2/NSD2/MNAT1/TOP1/SFPQ/XPO1/SYNCRIP/NASP/TMPO/EZH2/JPT1/TENT4A/UPF1/SNRPD1/RBM14/LBR/BARD1/HIRA/MCM6/E2F3/E2F4/ORC5/ODC1/SLC7A1/SLC12A2/POLA2/KIF11/ABL1/ARID4A/CUL1/KNL1/MYBL2/LMNB1/POLQ/NDC80/SMC4/KMT5A/PRC1/SRSF1/CDC7/TACC3/YTHDC1/PLK4/NCL/STIL/DKC1/KIF15/ATRX/E2F1/SAP30/CHEK1/NUMA1/SMC1A/CKS1B/KIF20B/CENPA/CDKN3/CUL4A/FANCC/KIF4A/CENPF/CENPE/BUB1/CHAF1A/AURKB/G3BP1/TTK/CCNB2/PBK/TPX2/MAD2L1/KPNB1/MKI67/HMMR/POLE/CDC45/CDK1/BRCA2/SMC2/INCENP/NUSAP1/DBF4/DTYMK/UBE2C/KATNA1/CDKN1B/KIF5B/KPNA2/E2F2/UCK2/EXO1/GINS2/HIF1A/CCNA2/PURA/CCNT1/TOP2A/CDKN2C/KIF2C/CDC20/PTTG1/KIF23/HMGB3/MYC/TNPO2/AURKA/BIRC5/NEK2/CDC6/RACGAP1/PLK1/TLE3/NOTCH2/RAD54L/MCM3/MCM2/HMGA1/STMN1/LIG3/HNRNPU/NUP50/CBX1/FBXO5/CDC25A/CCNF/BUB3"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",197,0.64594404461211,1.26433002274049,3.05889267404814e-05,0.000509815445674691,0.000429318270041845,4481,"tags=57%, list=23%, signal=45%","NCK2/SSH2/RASA2/AKAP13/RICTOR/RANBP9/DOCK2/SOS1/DLG1/ARFGEF1/PREX1/RASA1/EPB41/ARHGEF3/TLK1/CDC27/MYO9B/RABGAP1/CEP192/CLASP1/RAPGEF6/PAFAH1B1/APC/ARHGEF7/ALMS1/CNTRL/NEDD9/RAB3GAP1/ARL8A/PCM1/CLIP1/CD2AP/NIN/LRPPRC/LATS1/NCK1/ARF6/TIAM1/SUN2/BCR/CKAP5/FLNB/ABI1/ROCK1/PKD2/CDK5RAP2/KIF11/ABL1/KLC1/LMNB1/PCNT/ACTN4/NDC80/RFC1/YWHAE/SMC4/PRC1/TUBGCP3/RALBP1/KNTC1/ARHGAP5/ARHGAP10/KIF15/VCL/NUMA1/SMC1A/HOOK3/ECT2/SMC3/WASL/KIF20B/DYNC1H1/BCL2L11/MARK4/TUBGCP5/KIF4A/CENPF/KIF1B/DYNLL2/CENPE/BUB1/TTK/CCNB2/TPX2/SASS6/NF1/KIF3B/CDK1/BRCA2/INCENP/NUSAP1/KATNA1/KIF5B/CEP57/STK38L/ANLN/KIFAP3/DLGAP5/ABR/SPTBN1/TOP2A/CSNK1D/KIF2C/KIF23/PCGF5/TUBD1/AURKA/BIRC5/NEK2/CEP250/STAU1/RACGAP1/PLK1"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",95,0.692199055661548,1.327768063997,5.3600272894846e-05,0.00053600272894846,0.000451370719114493,4655,"tags=63%, list=24%, signal=48%","GNAS/RPS6KA3/ARFGEF1/AP3B1/GOLGA4/PAM/MON2/MAPK1/SGMS1/RAB22A/GBF1/COPB1/IGF2R/ADAM10/CD63/ARFGEF2/COPB2/TSG101/GOSR2/SEC24D/CLTA/ARCN1/STAM/STX16/AP1G1/RAB2A/CLTC/ANP32E/DNM1L/VPS4B/AP2B1/USO1/ATP6V1H/RAB5A/GALC/CTSC/TPD52/LAMP2/COG2/NAPG/YIPF6/SEC31A/STX12/KIF1B/SCAMP1/CLN5/ARFGAP3/VPS45/SNX2/RER1/STX7/BET1/ZW10/ICA1/SEC22B/ARFIP1/VAMP4/RAB14/LMAN1/RAB9A"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",198,0.640032369747366,1.25323326474381,5.3600272894846e-05,0.00053600272894846,0.000451370719114493,5051,"tags=72%, list=26%, signal=54%","STAG1/HNRNPD/GSPT1/PDS5B/NME1/CTCF/PRIM2/NUP153/PRKDC/SRSF2/ORC2/UBE2S/ATAD2/XPO1/SYNCRIP/NASP/TMPO/SMC6/PNN/EZH2/JPT1/MRE11/CSE1L/LBR/BARD1/IPO7/MCM6/MMS22L/LUC7L3/NUP107/MTHFD2/ANP32E/TFRC/NUP205/POLA2/EED/NBN/MYBL2/LMNB1/RFC1/SMC4/ING3/CCNE1/MELK/HELLS/DIAPH3/SRSF1/RAN/CIT/NAP1L1/TACC3/PLK4/CNOT9/BUB1B/EIF2S1/PAICS/RFC3/HMGB2/CHEK1/SMC1A/CKS1B/TP53/SMC3/SPC25/CDKN3/KIF18B/PCNA/KIF4A/DONSON/CENPE/AURKB/MCM4/SNRPB/CCNB2/CTPS1/RAD50/MAD2L1/MKI67/HMMR/POLE/UBE2T/POLD3/WEE1/CENPM/CDK1/BRCA2/RFC2/CBX5/LYAR/RRM2/RPA3/DUT/PPM1D/CDKN1B/TIPIN/KPNA2/PPP1R8/BRCA1/RAD51AP1/MSH2/DLGAP5/NCAPD2/ZW10/EXOSC8/DSCC1/TOP2A/CDKN2C/RPA1/KIF2C/TK1/CDC20/RANBP1/CDCA3/USP1/PTTG1/HMGB3/POLE4/MYC/AURKA/BIRC5/BRMS1L/ASF1A/MLH1/UBR7/RACGAP1/PLK1/DCTPP1/LIG1/GINS1/ASF1B/TBRG4/MCM3/CCP110/MCM2/HMGA1/MXD3/STMN1/RAD51C/DEPDC1/E2F8/RBBP7/NOP56/CHEK2"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",103,0.653937063962545,1.25755037479206,0.00190542407897014,0.0158785339914179,0.0133713970454045,2577,"tags=40%, list=13%, signal=35%","CSNK2B/IL2RG/PRKCB/ACTR2/RPS6KA3/PTEN/CAB39/MAPK8/MAPK1/ITPR2/GSK3B/TBK1/RPTOR/RAC1/RIPK1/GRK2/SLA/AKT1/MAPK9/ACTR3/VAV3/MKNK2/MAPKAP1/RAF1/ACACA/CXCR4/EIF4E/HRAS/NCK1/PRKAG1/TIAM1/CAMK4/CLTC/PPP2R1B/PTPN11/DAPP1/PIKFYVE/SMAD2/UBE2N/E2F1/MAP3K7"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",117,0.645371400632747,1.24417365196088,0.00227539865847252,0.016252847560518,0.0136866084720151,4321,"tags=35%, list=22%, signal=27%","BRAF/AGFG1/IP6K1/CSNK2A2/TLE4/NF2/IL12RB2/STAM2/TOPBP1/EZH2/MLLT10/CAMK4/SLC12A2/SIRT1/IDE/MTOR/STRBP/CHFR/RAD17/CDKN3/ZC3H14/GMCL1/BUB1/TTK/CCNB2/VDAC3/CDK1/PRKAR2A/PGS1/MAST2/DBF4/PIAS2/NCAPH/RPL39L/LPIN1/KIF2C/RFC4/AURKA/IFT88/NEK2/PSMG1"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",96,0.612551625320251,1.17562264680073,0.041958041958042,0.233100233100233,0.196294933137038,4097,"tags=42%, list=21%, signal=33%","IQGAP2/RPS6KA3/FKBP5/STK39/PIAS1/XRCC5/AKT1/TNFAIP8/INPP4B/APPBP2/SEC24D/MAF/ELL2/SPCS3/ELK4/TMEM50A/CDK6/ABHD2/SRP19/PTK2B/SLC38A2/GNAI3/ANKH/PLPP1/HERC3/TPD52/ACSL3/NGLY1/ZMIZ1/GSR/SRF/CAMKK2/VAPA/GPD1L/CENPN/DBI/CCND3/HMGCR/TSC22D1/IDI1"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",199,0.576296458614471,1.1281528861522,0.040959040959041,0.233100233100233,0.196294933137038,5418,"tags=38%, list=28%, signal=28%","CBLB/GNAI2/FYN/ZEB1/PIK3R5/DOCK10/RASGRP1/CTSD/S100A9/PIK3CA/USP15/CD55/CD59/DOCK9/PSEN1/JAK2/RAF1/AKAP10/DYRK2/KIF2A/PREP/DGKH/USP14/CEBPB/ERAP2/CASP3/GNAI3/USP8/PRDM4/CASP1/CTSC/DUSP5/LAMP2/GPD2/PIK3CG/HSPA1A/SH2B3/IRF1/PIM1/PPP2CB/PLSCR1/CTSS/PSMB9/GZMA/VCPIP1/F5/PLEK/GNG2/LYN/APOBEC3G/CASP7/GRB2/CD46/S100A12/ADAM9/LAP3/FCN1/ANXA5/IRF2/ATOX1/GZMB/RNF4/USP16/FCER1G/HSPA5/PRCP/RABIF/GCA/LGALS3/PRKCD/FDX1/ITGAM/CPQ/CASP9/XPNPEP1/GZMK"
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",30,0.679995655671106,1.23743955283212,0.0479102956167176,0.239551478083588,0.201727560491443,905,"tags=13%, list=5%, signal=13%","FOXO1/AKT3/ELP4/SEC11A"
