"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",195,0.632759611653406,1.9078298541875,1.71587116952433e-09,8.57935584762163e-08,5.23792251749531e-08,2960,"tags=47%, list=15%, signal=40%","DDIT4/CXCR4/LDHA/CORO1A/PPA1/MTHFD2/ENO1/SLA/CALR/CTSC/PSMA4/PGK1/CYP51A1/SYTL2/IFI30/RPN1/HSPE1/GAPDH/ACLY/BHLHE40/PSMC6/CANX/TBK1/PRDX1/EGLN3/HSPD1/IDH1/RDH11/ITGB2/ABCF2/NUP205/SLC1A4/PPIA/TPI1/SLC2A3/SORD/STIP1/GPI/G6PD/HPRT1/HSP90B1/GOT1/P4HA1/SLC7A5/CACYBP/PSMD13/MAP2K3/UCHL5/CCNG1/TXNRD1/IDI1/EDEM1/SC5D/DHCR24/PLK1/PFKL/AURKA/PSMB5/PSME3/CCT6A/CDKN1A/ELOVL6/RRM2/BUB1/ATP5MC1/PSAT1/MCM2/EBP/SKAP2/CYB5B/DDX39A/DHCR7/TMEM97/ATP6V1D/DHFR/FADS2/LDLR/PSPH/HMBS/SHMT2/UBE2D3/PSMD12/SCD/ATP2A2/M6PR/NFYC/YKT6/FADS1/HSPA5/RRP9/PNP/PDK1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",200,0.607793810516057,1.84105336741914,2.48336207299469e-08,6.20840518248673e-07,3.7903947429919e-07,2936,"tags=50%, list=15%, signal=43%","SLC25A6/NDUFV2/ATP6V0C/LDHA/CS/NDUFC2/COX8A/UQCRH/COX7C/ATP5PD/SLC25A5/ATP5MF/NDUFB2/NDUFA4/COX7A2/COX6C/VDAC1/SLC25A12/ATP5F1B/TIMM9/NDUFB4/NDUFA8/NDUFA6/NDUFA9/NDUFS4/MRPS12/ATP6V0B/IDH1/NDUFB3/COX7B/NDUFA5/MDH1/BCKDHA/GPI/COX7A2L/ATP5F1A/TIMM50/GRPEL1/CPT1A/IDH3B/NDUFB7/ATP5F1E/NDUFS8/COX17/MTRF1/OAT/MRPS11/PRDX3/ACAT1/MRPS22/SLC25A20/UQCRQ/NDUFS6/SDHD/NDUFA3/COX5B/RHOT2/PDHA1/NDUFS3/MRPL15/CASP7/MRPS15/CYCS/ATP5MC1/VDAC3/NDUFB5/TIMM17A/ATP5PO/ATP6V1C1/ACADSB/RETSAT/CYB5A/SLC25A4/UQCR10/ATP6V1D/TCIRG1/NDUFA1/COX6A1/ATP5MC3/MRPL11/NDUFA2/TOMM70/DLD/HCCS/ATP5PB/HSD17B10/PDHX/DLAT/ISCU/IDH2/ACADM/POR/NDUFA7/TIMM8B/NDUFB6/TOMM22/CYB5R3/IDH3G/COX6B1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",195,0.601018076560989,1.81212613487327,1.01717746173667e-07,1.69529576956112e-06,1.03502268036363e-06,3024,"tags=44%, list=15%, signal=37%","PSMA2/RAPGEF6/PIM1/NFKBIA/SOCS3/UPP1/PDE4B/SOCS1/MT2A/CASP1/MTHFD2/PSMB2/ZBP1/MVP/CASP8/IFNAR2/TAPBP/IFI35/STAT4/TAP1/B2M/IFI30/LCP2/SOD2/IRF1/IFITM2/IL15RA/ITGB7/PSME2/ARID5B/BST2/PLSCR1/LGALS3BP/PSMB9/PSMB10/PFKP/APOL6/NMI/IL4R/CCL5/GBP4/MYD88/GZMA/EIF4E3/SRI/NUP93/PTPN1/RIPK1/HLA-G/HIF1A/SLAMF7/IL18BP/TRIM14/VAMP8/SP110/CD38/CDKN1A/VAMP5/TRAFD1/CASP7/HLA-B/IL15/IFITM3/NOD1/HLA-DQA1/PSMB8/LATS2/UBE2L6/LY6E/FAS/PSME1/IRF8/TOR1B/RNF31/CASP4/TNFSF10/TDRD7/RIPK2/IRF9/CMTR1/PNP/CD274/IFIT2/TXNIP/DHX58"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",198,0.533534165557981,1.61411059676348,3.54243602489302e-05,0.000442804503111628,0.000270343801899731,3984,"tags=57%, list=20%, signal=46%","RAD50/MYC/MTHFD2/JPT1/RAN/POLE4/CDK4/PAICS/KIF4A/NUP205/CCP110/RFC2/MRE11/SPC24/ZW10/CKS1B/SPC25/AURKB/MAD2L1/KIF18B/HMMR/HMGB2/CIT/NCAPD2/CENPE/TK1/CDK1/DEPDC1/TBRG4/POLE/PLK4/SPAG5/NOP56/MKI67/PLK1/PMS2/NBN/CDKN2A/PCNA/AURKA/KIF2C/NUDT21/NME1/ORC2/CDKN1A/DONSON/CDC25B/TIMELESS/RRM2/RPA3/DIAPH3/CHEK2/MCM2/CKS2/MMS22L/POLD1/CDCA3/DDX39A/NAP1L1/TUBB/POLA2/UBR7/MXD3/NOLC1/POP7/PPP1R8/PHF5A/MCM6/TOP2A/BUB1B/CCNB2/SRSF1/STMN1/SSRP1/TIPIN/NUP107/HUS1/IPO7/KIF22/CDKN1B/DLGAP5/CHEK1/MYBL2/SRSF2/CDC20/BARD1/POLD2/LMNB1/CDKN3/MELK/RAD51AP1/PRIM2/GINS1/BIRC5/CCNE1/KPNA2/GINS3/UBE2T/CBX5/ING3/SMC3/ESPL1/ASF1B/MCM3/TUBG1/MCM4/CDCA8/ILF3/TRIP13/ANP32E/DSCC1/PA2G4"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",194,0.538445347291728,1.62457547101385,5.80143715936277e-05,0.000580143715936277,0.00035419300551899,3380,"tags=32%, list=17%, signal=27%","DDIT4/TXN/CXCR4/LDHA/MIF/ENO1/PGK1/PKM/MPI/SOD1/EGLN3/IDH1/FKBP4/HAX1/PPIA/TPI1/MDH1/COG2/PGAM1/PFKP/G6PD/GYS1/SLC16A3/GOT1/SLC35A3/HMMR/P4HA1/COPB2/CDK1/DEPDC1/GUSB/AKR1A1/SRD5A3/AURKA/BPNT1/GALK1/MED24/POLR3K/NSDHL/CASP6/ARPP19/CHPF2/VCAN/CYB5A/DLD/GALE/STMN1/EXT2/ANKZF1/HSPA5/KIF20A/PLOD1/GCLC/EXT1/SDHC/GNPDA1/GLRX/CLN6/B4GALT2/ALG1/NANP/ENO2/GPC1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",195,0.522268573108279,1.57468896138342,0.000147932833789934,0.00123277361491612,0.000752640733317208,2356,"tags=44%, list=12%, signal=39%","PSMA2/RPL22/EIF4A1/HNRNPA1/LDHA/RPS6/IMPDH2/EEF1B2/MYC/PSMB2/RPS3/RAN/SNRPA1/RPLP0/PSMA4/PGK1/VDAC1/NPM1/RNPS1/CDK4/HSPE1/MRPL9/RSL1D1/HSP90AB1/PSMC6/UBE2L3/CANX/NHP2/DDX21/HSPD1/PPIA/TCP1/CCT3/RPL14/BUB3/HPRT1/CCT7/PSMA1/MAD2L1/PSMD8/EIF3D/STARD7/NOP16/GLO1/CCT5/PSMA6/PRDX3/SNRPB2/ACP1/NOP56/RPL6/PSMA7/SERBP1/SNRPD1/PCNA/NME1/ORC2/DHX15/SRPK1/EIF4G2/APEX1/EIF1AX/CLNS1A/VDAC3/MCM2/CCNA2/PSMD1/SSBP1/PABPC4/G3BP1/NAP1L1/HNRNPA2B1/FAM120A/TUFM/MRPS18B/HNRNPA3/NOLC1/RPL34/TOMM70/EIF4E/MCM6/RPL18/CCT2/SRSF1/RUVBL2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",108,0.563394841233022,1.59089198962825,0.00101455782127701,0.0072468415805501,0.00442438749128322,2122,"tags=35%, list=11%, signal=32%","EIF4A1/DDIT4/ERN1/EIF4G1/MTHFD2/ATF4/EDC4/EIF4A2/CALR/HERPUD1/NPM1/LSM1/NHP2/SPCS3/NOP14/PDIA6/SLC1A4/EEF2/CKS1B/YIF1A/HSP90B1/EXOSC1/SLC7A5/HYOU1/EDEM1/KHSRP/NOP56/SRPRA/TUBB2A/ATP6V0D1/PSAT1/DCTN1/RPS14/ARFGAP1/EXOSC5/SPCS1/NOLC1/EIF4E"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",137,-0.488727254061631,-1.51516244119137,0.00132208451506197,0.00808604772605179,0.00493674492748425,2513,"tags=29%, list=13%, signal=26%","PTPRM/NFKB1/MAPK14/DYRK1A/PRKCA/PPARG/ARHGEF9/CAV1/SPOP/ADD3/TENT4A/BCKDHB/YTHDC1/SCAF8/SLC7A1/ATRN/NR1D2/TOGARAM1/RASA2/MAP2K5/CITED2/MGMT/NIPBL/DUSP1/PRDM2/ICA1/ATRX/ATP2B4/NEK7/CELF2/CDK13/ATXN1/DBP/RUNX1/WDR37/ATP2B1/PHF3/FYN/DLG1/PTEN"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",196,0.475742964824148,1.43715362984448,0.00145548859068932,0.00808604772605179,0.00493674492748425,3312,"tags=34%, list=17%, signal=29%","SQOR/CS/COX8A/PIM3/DHRS7/ATP1B3/RMDN3/GPHN/MTCH2/CD151/ACLY/TKT/SOD1/STOM/IDH1/REEP5/COX7B/SLC25A1/NDUFA5/GHITM/BCKDHA/GRPEL1/IFNGR1/NDUFB7/PRDX3/SCP2/UBC/LPCAT3/UQCRQ/PFKL/COQ3/COQ9/ELOVL6/SULT1A1/ARAF/NDUFS3/MRPL15/COQ5/DNAJC15/ACADS/ATP5PO/ABCA1/DHCR7/RETSAT/PFKFB3/UBQLN1/UQCR10/COX6A1/DHRS7B/BCL6/DLD/PTCD3/ESYT1/DLAT/HADH/ACADM/RNF11/POR/RREB1/IDH3G/TST/SDHC/ACAA2/APLP2/SLC19A1/MGLL/MIGA2"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",192,0.485650041530766,1.46500141170802,0.00226067085666654,0.0113033542833327,0.00690099524666627,1779,"tags=29%, list=9%, signal=26%","RPS9/RPS3A/RPS19/RPL9/TIMP1/SOCS1/BCL3/RPL39/IFNAR2/TAPBP/GZMB/STAT4/TAP1/B2M/LY75/NPM1/IL2RA/LCP2/MRPL3/IFNGR2/TLR1/TAP2/PRF1/PF4/MAP4K1/ITGB2/LYN/EIF4G3/CCL4/IL18RAP/PSMB10/CD8A/IL4R/CCL5/KLRD1/ACVR2A/IFNGR1/GZMA/EIF3D/WAS/GLMN/MTIF2/HLA-G/HIF1A/GPR65/FLNA/CDKN2A/CD7/TPD52/NME1/DEGS1/FGR/IL2RG/F2R/IL15"
