ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007059	chromosome segregation	33/350	435/18614	1.09638524472244e-11	3.10489242465388e-08	2.90802191451213e-08	CCNE1/DSCC1/GEN1/HDAC8/CEP85/CDCA2/BUB1B/BUB1/KIF15/FANCM/NUF2/TOP3A/BRIP1/ECT2/KIF2C/STIL/PMF1/HAUS7/RMI1/TTK/NDC80/ASPM/DLGAP5/PRC1/TEX14/CENPS/HJURP/RAD18/KIF11/KNTC1/MRE11/NCAPG2/KNL1	33
GO:0006261	DNA-templated DNA replication	20/350	160/18614	2.34323228508025e-11	3.10489242465388e-08	2.90802191451213e-08	WDHD1/DNA2/CCNE1/DSCC1/CDC7/GEN1/POLE2/FANCM/CDC45/BCL6/POLQ/POLA2/ORC1/WIZ/OOEP/ATAD5/MMS22L/CENPS/MRE11/BRCA2	20
GO:0000280	nuclear division	33/350	450/18614	2.71644131640759e-11	3.10489242465388e-08	2.90802191451213e-08	CCNE1/MASTL/FANCA/DSCC1/GEN1/HDAC8/CEP85/CDCA2/BUB1B/BUB1/KIF15/FANCM/ANLN/NUF2/BRIP1/BCL2L11/KIF2C/RMI1/TTK/NDC80/ASPM/OOEP/DLGAP5/PRC1/TEX14/MTBP/CENPS/KIF11/KNTC1/MRE11/CDC25C/NCAPG2/BRCA2	33
GO:0048285	organelle fission	34/350	497/18614	8.77868572254467e-11	7.52552833565141e-08	7.04836056302205e-08	CCNE1/MASTL/FANCA/DSCC1/GEN1/HDAC8/CEP85/CDCA2/BUB1B/BUB1/KIF15/FANCM/ANLN/NUF2/BRIP1/BCL2L11/KIF2C/RMI1/TTK/NDC80/ASPM/OOEP/GDAP1/DLGAP5/PRC1/TEX14/MTBP/CENPS/KIF11/KNTC1/MRE11/CDC25C/NCAPG2/BRCA2	34
GO:0006260	DNA replication	24/350	278/18614	6.02828054153755e-10	4.13419479538645e-07	3.87205977520654e-07	WDHD1/DNA2/CCNE1/DSCC1/CDC7/GEN1/POLE2/FANCM/CDC45/PCLAF/BCL6/POLQ/POLA2/ORC1/WIZ/RMI1/OOEP/DTD1/POLH/ATAD5/MMS22L/CENPS/MRE11/BRCA2	24
GO:0007098	centrosome cycle	17/350	136/18614	7.56028789338734e-10	4.32070453107086e-07	4.04674357240786e-07	SSX2IP/GEN1/PARD6A/CEP85/PLK4/PCLAF/CEP295/STIL/CEP152/HAUS7/NDC80/WDR62/SLC16A1/KIF11/XRCC2/ALMS1/BRCA2	17
GO:0031023	microtubule organizing center organization	17/350	152/18614	4.27454168126062e-09	2.09391477500609e-06	1.96114686759792e-06	SSX2IP/GEN1/PARD6A/CEP85/PLK4/PCLAF/CEP295/STIL/CEP152/HAUS7/NDC80/WDR62/SLC16A1/KIF11/XRCC2/ALMS1/BRCA2	17
GO:0098813	nuclear chromosome segregation	25/350	339/18614	6.7869684977715e-09	2.90906437235731e-06	2.72461064298696e-06	CCNE1/DSCC1/GEN1/HDAC8/BUB1B/BUB1/KIF15/FANCM/NUF2/BRIP1/ECT2/KIF2C/RMI1/TTK/NDC80/ASPM/DLGAP5/PRC1/TEX14/CENPS/KIF11/KNTC1/MRE11/NCAPG2/KNL1	25
GO:0006302	double-strand break repair	23/350	303/18614	1.61708609433836e-08	6.16109801942915e-06	5.77044406295478e-06	DNA2/MTA1/CDC7/GEN1/FANCM/CDC45/POLQ/TOP3A/BRIP1/PALB2/EYA3/MORF4L2/FOXM1/RMI1/OOEP/SHLD2/ERCC8/MMS22L/XRCC2/MRE11/FAN1/BRCA2/PARP9	23
GO:1903046	meiotic cell cycle process	19/350	215/18614	2.63998534949094e-08	9.05250976340445e-06	8.47852136978618e-06	CCNE1/MASTL/FANCA/BUB1B/BUB1/FANCM/NUF2/BRIP1/BCL2L11/RMI1/TTK/NDC80/ASPM/OOEP/TEX14/CENPS/MRE11/CDC25C/BRCA2	19
GO:0140013	meiotic nuclear division	18/350	196/18614	3.41070889580322e-08	1.06321098215538e-05	9.95796444123983e-06	CCNE1/MASTL/FANCA/BUB1B/BUB1/FANCM/NUF2/BRIP1/BCL2L11/RMI1/TTK/NDC80/ASPM/OOEP/TEX14/CENPS/MRE11/BRCA2	18
GO:0044772	mitotic cell cycle phase transition	28/350	467/18614	7.37409564216197e-08	2.10714782974778e-05	1.97354086002072e-05	CCNE1/MASTL/CDC7/GEN1/MELK/BUB1B/BUB1/RDX/ANLN/NUF2/ORC1/MNAT1/STIL/FOXM1/GFI1/TTK/NDC80/FOXN3/CIT/DLGAP5/ATAD5/TEX14/MTBP/GTSE1/KNTC1/MRE11/PPP3CA/CDC25C	28
GO:0000075	cell cycle checkpoint signaling	17/350	188/18614	1.03199458330215e-07	2.63472061270102e-05	2.46766207405897e-05	DNA2/GEN1/BUB1B/BUB1/CDC45/NUF2/ORC1/BRIP1/TTK/NDC80/FOXN3/TEX14/GTSE1/KNTC1/MRE11/BRCA2/PARP9	17
GO:0051321	meiotic cell cycle	21/350	284/18614	1.07570978646294e-07	2.63472061270102e-05	2.46766207405897e-05	CCNE1/MASTL/FANCA/BUB1B/BUB1/FANCM/NUF2/TOP3A/BRIP1/BCL2L11/RMI1/TTK/NDC80/ASPM/OOEP/TEX14/CENPS/XRCC2/MRE11/CDC25C/BRCA2	21
GO:0140014	mitotic nuclear division	21/350	286/18614	1.21124465492504e-07	2.76890528115863e-05	2.59333855591318e-05	DSCC1/GEN1/HDAC8/CEP85/CDCA2/BUB1B/BUB1/KIF15/ANLN/NUF2/KIF2C/TTK/NDC80/DLGAP5/PRC1/TEX14/MTBP/KIF11/KNTC1/CDC25C/NCAPG2	21
GO:0000724	double-strand break repair via homologous recombination	16/350	171/18614	1.53477607798379e-07	3.28921698212901e-05	3.08065908811089e-05	CDC7/GEN1/FANCM/CDC45/POLQ/TOP3A/PALB2/MORF4L2/RMI1/OOEP/SHLD2/MMS22L/XRCC2/MRE11/FAN1/BRCA2	16
GO:0000725	recombinational repair	16/350	175/18614	2.11156213371815e-07	4.25914503324679e-05	3.98908734982915e-05	CDC7/GEN1/FANCM/CDC45/POLQ/TOP3A/PALB2/MORF4L2/RMI1/OOEP/SHLD2/MMS22L/XRCC2/MRE11/FAN1/BRCA2	16
GO:0051304	chromosome separation	11/350	79/18614	2.56258433018634e-07	4.88172314900499e-05	4.57218993649037e-05	GEN1/BUB1B/BUB1/NUF2/TOP3A/TTK/NDC80/DLGAP5/TEX14/KNTC1/NCAPG2	11
GO:0045787	positive regulation of cell cycle	23/350	354/18614	2.74958057072008e-07	4.96226935631534e-05	4.6476289868515e-05	CDC7/GEN1/PLK4/PKP4/RDX/CEP295/WIZ/MNAT1/BCL2L11/ECT2/STIL/NDC80/OOEP/PRKCE/SPDYE2/CIT/DLGAP5/ATAD5/MTBP/RAD18/CDC25C/NCAPG2/BRCA2	23
GO:0090068	positive regulation of cell cycle process	19/350	262/18614	5.89347322820266e-07	9.77211310723044e-05	9.15249714974753e-05	CDC7/GEN1/PLK4/PKP4/RDX/CEP295/WIZ/ECT2/STIL/NDC80/OOEP/PRKCE/CIT/DLGAP5/ATAD5/MTBP/RAD18/CDC25C/NCAPG2	19
GO:1901987	regulation of cell cycle phase transition	26/350	457/18614	5.98467119427936e-07	9.77211310723044e-05	9.15249714974753e-05	DNA2/CDC7/GEN1/BUB1B/BUB1/CDC45/RDX/ANLN/NUF2/ORC1/BRIP1/MNAT1/STIL/TTK/NDC80/FOXN3/DLGAP5/ATAD5/TEX14/MTBP/GTSE1/KNTC1/MRE11/CDC25C/BRCA2/PARP9	26
GO:0045839	negative regulation of mitotic nuclear division	9/350	56/18614	9.22126146667042e-07	0.000143725934405513	0.000134612769066084	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/MTBP/KNTC1	9
GO:0045132	meiotic chromosome segregation	12/350	109/18614	9.88599763432438e-07	0.000147387329948253	0.000138042008157088	CCNE1/BUB1B/BUB1/FANCM/NUF2/BRIP1/RMI1/TTK/NDC80/ASPM/CENPS/MRE11	12
GO:1905818	regulation of chromosome separation	10/350	73/18614	1.05519489891353e-06	0.000150760971182271	0.000141201738446719	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/DLGAP5/TEX14/KNTC1/NCAPG2	10
GO:0051983	regulation of chromosome segregation	13/350	131/18614	1.16071321023927e-06	0.000158057060946526	0.000148035208346103	GEN1/CDCA2/BUB1B/BUB1/NUF2/KIF2C/TTK/NDC80/DLGAP5/TEX14/RAD18/KNTC1/NCAPG2	13
GO:0000070	mitotic sister chromatid segregation	16/350	199/18614	1.1984495726479e-06	0.000158057060946526	0.000148035208346103	DSCC1/GEN1/HDAC8/BUB1B/BUB1/KIF15/NUF2/KIF2C/TTK/NDC80/DLGAP5/PRC1/TEX14/KIF11/KNTC1/NCAPG2	16
GO:0010965	regulation of mitotic sister chromatid separation	9/350	58/18614	1.25400646022184e-06	0.000159258820448174	0.000149160768426388	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/DLGAP5/TEX14/KNTC1	9
GO:0051306	mitotic sister chromatid separation	9/350	61/18614	1.94340406342305e-06	0.000216275666834384	0.000202562373413057	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/DLGAP5/TEX14/KNTC1	9
GO:0007094	mitotic spindle assembly checkpoint signaling	8/350	46/18614	2.0183206003792e-06	0.000216275666834384	0.000202562373413057	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:0031297	replication fork processing	8/350	46/18614	2.0183206003792e-06	0.000216275666834384	0.000202562373413057	DNA2/GEN1/FANCM/OOEP/MMS22L/CENPS/MRE11/BRCA2	8
GO:0071173	spindle assembly checkpoint signaling	8/350	46/18614	2.0183206003792e-06	0.000216275666834384	0.000202562373413057	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:0071174	mitotic spindle checkpoint signaling	8/350	46/18614	2.0183206003792e-06	0.000216275666834384	0.000202562373413057	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:0007088	regulation of mitotic nuclear division	12/350	117/18614	2.11374986954597e-06	0.000219637827353731	0.000205711350940502	GEN1/CDCA2/BUB1B/BUB1/NUF2/TTK/NDC80/DLGAP5/TEX14/MTBP/KNTC1/CDC25C	12
GO:0031577	spindle checkpoint signaling	8/350	47/18614	2.39285161432103e-06	0.000241326123103142	0.000226024466727352	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:0051784	negative regulation of nuclear division	9/350	63/18614	2.56613914844946e-06	0.00024836682147384	0.000232618738719801	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/MTBP/KNTC1	9
GO:0033046	negative regulation of sister chromatid segregation	8/350	48/18614	2.82481949182846e-06	0.00024836682147384	0.000232618738719801	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:0033048	negative regulation of mitotic sister chromatid segregation	8/350	48/18614	2.82481949182846e-06	0.00024836682147384	0.000232618738719801	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:0045841	negative regulation of mitotic metaphase/anaphase transition	8/350	48/18614	2.82481949182846e-06	0.00024836682147384	0.000232618738719801	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:2000816	negative regulation of mitotic sister chromatid separation	8/350	48/18614	2.82481949182846e-06	0.00024836682147384	0.000232618738719801	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:0051783	regulation of nuclear division	13/350	145/18614	3.64817307568978e-06	0.000310180171408235	0.000290512717522839	GEN1/CDCA2/BUB1B/BUB1/NUF2/TTK/NDC80/OOEP/DLGAP5/TEX14/MTBP/KNTC1/CDC25C	13
GO:0051985	negative regulation of chromosome segregation	8/350	50/18614	3.88969010514847e-06	0.000310180171408235	0.000290512717522839	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	8/350	50/18614	3.88969010514847e-06	0.000310180171408235	0.000290512717522839	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:1905819	negative regulation of chromosome separation	8/350	50/18614	3.88969010514847e-06	0.000310180171408235	0.000290512717522839	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:1901990	regulation of mitotic cell cycle phase transition	21/350	357/18614	4.42301457809597e-06	0.000344693567915706	0.000322837738702651	CDC7/GEN1/BUB1B/BUB1/RDX/ANLN/NUF2/ORC1/MNAT1/STIL/TTK/NDC80/FOXN3/DLGAP5/ATAD5/TEX14/MTBP/GTSE1/KNTC1/MRE11/CDC25C	21
GO:0006310	DNA recombination	20/350	332/18614	5.25190579300939e-06	0.000400195221427316	0.000374820223964249	CDC7/GEN1/FANCM/CDC45/BCL6/POLQ/TOP3A/BRIP1/PALB2/MORF4L2/RMI1/OOEP/SHLD2/ATAD5/MMS22L/CENPS/XRCC2/MRE11/FAN1/BRCA2	20
GO:0033260	nuclear DNA replication	7/350	38/18614	5.9805248327054e-06	0.000445809122855366	0.000417541905368059	DNA2/CDC7/CDC45/BCL6/WIZ/ATAD5/BRCA2	7
GO:0033047	regulation of mitotic sister chromatid segregation	8/350	53/18614	6.1140338192278e-06	0.000446064297151747	0.000417780899943203	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/TEX14/KNTC1	8
GO:0071103	DNA conformation change	10/350	90/18614	7.3231533986631e-06	0.000523147770916995	0.000489976776739498	DNA2/DSCC1/FANCM/CDC45/POLQ/TOP3A/BRIP1/MNAT1/DTD1/MRE11	10
GO:0045005	DNA-templated DNA replication maintenance of fidelity	8/350	56/18614	9.33006458165274e-06	0.000652914111234433	0.000611515081388239	DNA2/GEN1/FANCM/OOEP/MMS22L/CENPS/MRE11/BRCA2	8
GO:0010948	negative regulation of cell cycle process	19/350	317/18614	9.71038749185297e-06	0.000665938374191277	0.000623713520792493	DNA2/GEN1/BUB1B/BUB1/CDC45/BCL6/NUF2/ORC1/BRIP1/TTK/NDC80/FOXN3/TEX14/MTBP/GTSE1/KNTC1/MRE11/BRCA2/PARP9	19
GO:0051298	centrosome duplication	9/350	74/18614	9.99444468330256e-06	0.000671979427824401	0.000629371532069269	GEN1/PLK4/CEP295/STIL/CEP152/NDC80/WDR62/ALMS1/BRCA2	9
GO:0007093	mitotic cell cycle checkpoint signaling	12/350	140/18614	1.36637490509997e-05	0.000894499815397826	0.000837782670036919	GEN1/BUB1B/BUB1/NUF2/ORC1/TTK/NDC80/FOXN3/TEX14/GTSE1/KNTC1/MRE11	12
GO:0032508	DNA duplex unwinding	9/350	77/18614	1.38842577960659e-05	0.000894499815397826	0.000837782670036919	DNA2/DSCC1/FANCM/CDC45/POLQ/BRIP1/MNAT1/DTD1/MRE11	9
GO:0044786	cell cycle DNA replication	7/350	43/18614	1.40866112661075e-05	0.000894499815397826	0.000837782670036919	DNA2/CDC7/CDC45/BCL6/WIZ/ATAD5/BRCA2	7
GO:0034501	protein localization to kinetochore	5/350	18/18614	1.59993846917809e-05	0.000979676609073513	0.000917558697267361	TTK/NDC80/MTBP/KNTC1/KNL1	5
GO:1903083	protein localization to condensed chromosome	5/350	18/18614	1.59993846917809e-05	0.000979676609073513	0.000917558697267361	TTK/NDC80/MTBP/KNTC1/KNL1	5
GO:0140694	non-membrane-bounded organelle assembly	21/350	390/18614	1.69849217421074e-05	0.0010217771342752	0.000956989773502674	NOCT/PLK4/KIF15/ANLN/CEP295/STIL/CEP152/HAUS7/YTHDF1/NDC80/EFL1/ASPM/WDR62/SRF/ANKRD23/DLGAP5/PRC1/KIF11/KNTC1/ALMS1/MDN1	21
GO:1901988	negative regulation of cell cycle phase transition	17/350	274/18614	1.83457086057109e-05	0.00108461094498246	0.00101583950918374	DNA2/GEN1/BUB1B/BUB1/CDC45/NUF2/ORC1/BRIP1/TTK/NDC80/FOXN3/TEX14/GTSE1/KNTC1/MRE11/BRCA2/PARP9	17
GO:0000819	sister chromatid segregation	16/350	250/18614	2.20966410861416e-05	0.00128422681837932	0.0012027984291493	DSCC1/GEN1/HDAC8/BUB1B/BUB1/KIF15/NUF2/KIF2C/TTK/NDC80/DLGAP5/PRC1/TEX14/KIF11/KNTC1/NCAPG2	16
GO:0006513	protein monoubiquitination	9/350	82/18614	2.3227641899649e-05	0.00132745973456494	0.00124329009536542	FANCA/FANCM/ZC4H2/FANCL/UBE3D/RNF220/ZNF598/RAD18/BRCA2	9
GO:0032392	DNA geometric change	9/350	83/18614	2.56272185223724e-05	0.00144058577562648	0.00134924320468953	DNA2/DSCC1/FANCM/CDC45/POLQ/BRIP1/MNAT1/DTD1/MRE11	9
GO:0000910	cytokinesis	13/350	185/18614	4.99464989615289e-05	0.00276236362804972	0.00258721168644524	EXOC6/PKP4/SNX9/RHOC/ANLN/ECT2/KIF20A/ANK3/PRKCE/CIT/PRC1/TEX14/BRCA2	13
GO:0030071	regulation of mitotic metaphase/anaphase transition	9/350	91/18614	5.3572205117079e-05	0.00291585859280102	0.00273097406536689	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/DLGAP5/TEX14/KNTC1	9
GO:2001251	negative regulation of chromosome organization	9/350	93/18614	6.36172845630164e-05	0.00340849482447786	0.00319237393423952	GEN1/BUB1B/BUB1/NUF2/MNAT1/TTK/NDC80/TEX14/KNTC1	9
GO:1902099	regulation of metaphase/anaphase transition of cell cycle	9/350	94/18614	6.92065102885196e-05	0.00365090959660513	0.00341941802251454	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/DLGAP5/TEX14/KNTC1	9
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	9/350	95/18614	7.52031790310536e-05	0.00390714698329519	0.00365940828108045	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/DLGAP5/TEX14/KNTC1	9
GO:0036297	interstrand cross-link repair	6/350	39/18614	8.18028514071174e-05	0.00418659667873143	0.00392113903602695	FANCA/FANCM/FANCL/CENPS/FAN1/FANCI	6
GO:0044784	metaphase/anaphase transition of cell cycle	9/350	98/18614	9.58766475080521e-05	0.00483472094566339	0.00452816798060475	GEN1/BUB1B/BUB1/NUF2/TTK/NDC80/DLGAP5/TEX14/KNTC1	9
GO:0006414	translational elongation	7/350	58/18614	0.000103239571548934	0.00513055783827964	0.00480524687712888	DNAJC24/LTN1/EFL1/CPEB2/ZNF598/EEF1G/ALKBH1	7
