names,scores,logfoldchanges,pvals,pvals_adj,rank_score
NDUFB8,25.64002,3.320566,5.4632613477854574e-145,3.563503268448861e-141,25.64002
JUND,25.384638,3.1728938,3.727255636702285e-142,1.8233734574747578e-138,25.384638
KLF2,24.898304,2.3210912,7.761615449515325e-137,3.037585822322318e-133,24.898304
GNAS,24.605453,2.063979,1.1043549583167261e-133,3.6016696373902826e-130,24.605453
ATP5PO,24.117283,2.8457172,1.646730313974367e-128,4.603316969121488e-125,24.117283
EIF4A1,23.595316,2.836939,4.305467592936558e-123,1.053117373232282e-119,23.595316
ARPC4,23.516264,2.4841833,2.780872043761926e-122,6.046233794703708e-119,23.516264
EEF1G,23.299173,2.0138657,4.519667827246944e-120,8.84408600435682e-117,23.299173
PTPRJ,22.569164,3.42233,8.70744486875792e-113,1.3106713937834998e-109,22.569164
ARHGAP15,22.53005,2.3104048,2.1071455435267534e-112,2.9451874282665367e-109,22.53005
CUL3,21.9684,2.6921406,5.776886482836743e-107,7.065132168509337e-104,21.9684
BCL11B,21.713396,2.3990734,1.5329978375246948e-104,1.7645706873343075e-101,21.713396
PHACTR2,21.690739,2.7633145,2.509291668253402e-104,2.7278788535768094e-101,21.690739
RPS17,21.5858,1.9679785,2.442244688848431e-103,2.515254951125584e-100,21.5858
FAF1,21.581877,3.0185554,2.658589141324656e-103,2.6011636158720433e-100,21.581877
SIK3,21.51909,2.9374743,1.0316597919023077e-102,9.176144912701979e-100,21.51909
NDUFC2,21.485546,2.5074663,2.125506928087215e-102,1.8083443290787227e-99,21.485546
CSNK2B,21.430355,2.3845956,6.964637369296615e-102,5.678501001766507e-99,21.430355
CASK,21.327253,3.426157,6.342465406423565e-101,4.964374522915853e-98,21.327253
CD81,21.242886,2.9985375,3.835912614903385e-100,2.8869668480165165e-97,21.242886
KLF12,21.079212,2.6042378,1.234199139356682e-98,8.944743984789464e-96,21.079212
FOXO1,21.030857,2.9739518,3.424048913970327e-98,2.3929210410204057e-95,21.030857
FAM107B,20.8713,1.7281651,9.764430597546011e-97,6.588633721820012e-94,20.8713
URI1,20.861616,2.550021,1.1956459087025364e-96,7.79879971383041e-94,20.861616
U2AF1,20.848831,3.7961493,1.5619416684570217e-96,9.859378893021613e-94,20.848831
DLEU2,20.805096,3.1178653,3.8918314618414825e-96,2.3798549389160665e-93,20.805096
BRI3,20.637182,3.2474425,1.2726843804903008e-94,7.546632714374001e-92,20.637182
NCK2,20.575726,2.7665436,4.52896927009871e-94,2.60655501992034e-91,20.575726
UBE2R2,20.552498,2.657714,7.310296390484037e-94,4.0870822791140464e-91,20.552498
MAP2K2,20.542372,2.8613813,9.005647373273371e-94,4.895069661117037e-91,20.542372
NDUFA7,20.517056,3.147968,1.516248642240668e-93,8.018906332801457e-91,20.517056
GNB1,20.512117,2.0441918,1.6782547654829848e-93,8.642128750255539e-91,20.512117
GNAI2,20.504967,1.5985006,1.944059081731813e-93,9.754191823417466e-91,20.504967
UBALD2,20.34661,2.613237,4.975160421448517e-92,2.4338484781726147e-89,20.34661
PIP4K2A,20.333889,2.4012585,6.448462288451563e-92,3.0776465868395164e-89,20.333889
TAF10,20.328129,2.2538357,7.251593203026026e-92,3.3785518046860306e-89,20.328129
MZT2B,20.125849,1.7032036,4.382114990875733e-90,1.9613284653714475e-87,20.125849
SMAP2,20.125532,1.9258105,4.410182567270222e-90,1.9613284653714475e-87,20.125532
MBD2,20.116228,2.4648316,5.320561367409589e-90,2.313616551943796e-87,20.116228
STAG1,19.948124,2.4285407,1.5561722760169713e-88,6.619821542847846e-86,19.948124
IL2RG,19.937302,1.7917857,1.932099312034573e-88,8.044110497423941e-86,19.937302
ATXN1,19.927872,2.4061294,2.3327591960207552e-88,9.509881655777944e-86,19.927872
CDC42SE2,19.796162,1.7940477,3.212650204176421e-87,1.2829620243943716e-84,19.796162
STK24,19.738249,2.2523112,1.0122591271158776e-86,3.9615773198806987e-84,19.738249
PLCL2,19.57926,2.7876275,2.3237264806268673e-85,8.915819563315008e-83,19.57926
NDUFA13,19.534386,1.8294989,5.601563129232691e-85,2.1079112944774095e-82,19.534386
MAP3K5,19.530842,2.546232,6.004183427091961e-85,2.2167898358742544e-82,19.530842
ESYT2,19.527424,2.3301685,6.419732282559082e-85,2.3263207649095578e-82,19.527424
