names,scores,logfoldchanges,pvals,pvals_adj,rank_score
EIF4A1,25.802675,3.2735965,8.274624811415433e-147,1.6191785830977718e-142,25.802675
NDUFB8,25.249914,3.3390415,1.1350002717574202e-140,7.4032284392497325e-137,25.249914
EEF1G,24.723183,2.2586434,6.025232674010377e-135,2.358035059300701e-131,24.723183
ATP5PO,24.07932,2.923078,4.117167966108843e-128,1.3427457126802973e-124,24.07932
NDUFC2,23.082708,2.7286055,6.907472065866581e-118,1.930934476926818e-114,23.082708
ARPC4,22.83795,2.4218423,1.9255293471237988e-115,4.709844783064812e-112,22.83795
RPS17,22.316696,2.4932842,2.544092479444151e-110,5.531422404195906e-107,22.316696
NDUFA13,22.16258,2.155231,7.889758788896031e-109,1.5438679998111756e-105,22.16258
ARHGAP15,22.034113,2.1931386,1.3567728730295615e-107,2.4135755981311325e-104,22.034113
CSNK2B,21.601067,2.456049,1.7551414403581802e-103,2.862050642077406e-100,21.601067
JUND,21.52671,2.7080138,8.752922499906783e-103,1.2234084819869711e-99,21.52671
NDUFA7,21.199986,3.2169418,9.552476697102006e-100,1.246152426725947e-96,21.199986
UBALD2,21.0633,2.8291874,1.7271884978075405e-98,2.112351532818622e-95,21.0633
PTPRJ,20.888939,3.1156752,6.750243882698106e-97,7.76992778215509e-94,20.888939
CUL3,20.47865,2.551781,3.3378783667200414e-93,3.4376633621040933e-90,20.47865
DLEU2,20.423016,3.0436726,1.0441631048196899e-92,1.0216091817555846e-89,20.423016
FOXO1,20.137997,2.9217505,3.4292960939504895e-90,3.195450760305866e-87,20.137997
SIK3,20.129396,2.6883087,4.079320655413771e-90,3.628370299324394e-87,20.129396
PHACTR2,20.087158,2.4826984,9.557975807391375e-90,8.131759591262365e-87,20.087158
MAP3K5,20.04058,2.6581814,2.439074781070879e-89,1.98865897149979e-86,20.04058
GNAS,19.7118,1.7211637,1.7078140702479888e-86,1.3367402290645058e-83,19.7118
IL2RG,19.635618,1.8411503,7.674171629868048e-86,5.775699632817614e-83,19.635618
CASK,19.633638,2.9932706,7.978999212586741e-86,5.782705799699902e-83,19.633638
KLF12,19.494364,2.2791092,1.2256823957791533e-84,8.565768971645168e-82,19.494364
ATXN1,19.354252,2.2290754,1.8769846339007776e-83,1.2665115626265662e-80,19.354252
ETV6,19.298086,2.9786875,5.5736045239060795e-83,3.6354764441264715e-80,19.298086
RABGAP1L,19.28043,1.9731007,7.842338539278556e-83,4.95028646892267e-80,19.28043
GNB1,19.267796,2.0089881,1.0011073893124349e-82,6.12177168564554e-80,19.267796
PIP4K2A,19.196636,2.2399292,3.9485270052989304e-82,2.341356861808772e-79,19.196636
FAF1,19.176468,2.7726934,5.820269393275905e-82,3.3497362202242033e-79,19.176468
RAPGEF1,19.05287,2.5041761,6.219603675833634e-81,3.4772915636775013e-78,19.05287
STAG1,18.947235,2.286361,4.65403936253405e-80,2.529728951279619e-77,18.947235
CDC42SE2,18.856136,1.6872787,2.616601094022488e-79,1.3838283839954607e-76,18.856136
CBLB,18.765112,2.1552536,1.4568965438366702e-78,7.502250413104201e-76,18.765112
BCL11B,18.749586,2.022863,1.9510211271825552e-78,9.789123440181599e-76,18.749586
GNAI2,18.700499,1.4917078,4.904469847580496e-78,2.399266649436379e-75,18.700499
PDE3B,18.693953,2.494064,5.544859763827177e-78,2.646385752648054e-75,18.693953
MED13L,18.67523,2.3827899,7.874928627627249e-78,3.6689667472716676e-75,18.67523
CHST11,18.657269,2.2951806,1.1022159235939193e-77,5.015851440206003e-75,18.657269
NCK2,18.507645,2.462361,1.7916716853903422e-76,7.968052622663231e-74,18.507645
SMAP2,18.444172,1.8095745,5.808265487188226e-76,2.5256919789622046e-73,18.444172
KLF2,18.277346,1.8251575,1.2538072457982883e-74,5.333586996908892e-72,18.277346
PSMA1,18.197586,1.4886467,5.393230665846695e-74,2.245419950410386e-71,18.197586
