names,scores,logfoldchanges,pvals,pvals_adj
RPS2,136.88164,1.7402353,0.0,0.0
KLF2,127.35786,2.6480412,0.0,0.0
CD81,117.34884,3.0843983,0.0,0.0
EEF1G,103.4816,2.0323179,0.0,0.0
JUND,98.950966,2.2928014,0.0,0.0
RPS10,92.829506,2.4143705,0.0,0.0
IL2RG,89.22021,1.9415783,0.0,0.0
GNAS,86.8973,1.8114966,0.0,0.0
BTG1,84.14257,1.4743973,0.0,0.0
ABHD17A,83.7078,2.0635548,0.0,0.0
NDUFB8,82.18573,2.6000035,0.0,0.0
MZT2B,80.96411,2.0396466,0.0,0.0
LINC00987,78.94457,5.2256193,0.0,0.0
GNAI2,76.7626,1.7663529,0.0,0.0
KLRK1,75.138145,2.061993,0.0,0.0
ATP5PO,74.02189,2.5377665,0.0,0.0
VIM,73.0945,1.3659401,0.0,0.0
FYN,72.94755,1.4518546,0.0,0.0
RPL26,71.31797,0.8896749,0.0,0.0
ARL4C,69.921684,1.3132371,0.0,0.0
TAF10,69.91372,2.4752061,0.0,0.0
SMAP2,69.8837,1.9391439,0.0,0.0
SKAP1,69.53692,1.3452265,0.0,0.0
ARPC1B,69.05655,1.4057148,0.0,0.0
ARHGAP15,68.474266,1.4322014,0.0,0.0
TXNIP,67.422325,1.0929096,0.0,0.0
PIP4K2A,67.36073,1.5005438,0.0,0.0
URI1,67.04546,2.122433,0.0,0.0
HNRNPD,66.647766,1.6412394,0.0,0.0
SYTL3,66.50329,1.4929656,0.0,0.0
EIF4A1,65.91309,1.670051,0.0,0.0
IQGAP2,65.7254,1.4764103,0.0,0.0
KLF12,65.23895,1.5616088,0.0,0.0
SRRM2,65.05905,1.3999329,0.0,0.0
SIK3,64.77709,1.775767,0.0,0.0
SRSF9,63.50714,1.87449,0.0,0.0
ARPC4,63.462517,1.8470368,0.0,0.0
U2AF1,63.359383,3.4103806,0.0,0.0
TRAC,62.92379,1.5072366,0.0,0.0
NDUFC2,62.66233,2.1335876,0.0,0.0
CYBA,62.034878,1.0904672,0.0,0.0
RASA2,61.92785,1.4886078,0.0,0.0
NDUFA13,61.67364,1.6050881,0.0,0.0
CSNK2B,61.59993,2.1161048,0.0,0.0
PNRC1,61.422283,1.1902834,0.0,0.0
CUL3,60.731846,1.9334443,0.0,0.0
SSBP4,60.240215,1.7327288,0.0,0.0
ARIH1,59.87164,1.7515829,0.0,0.0
VAMP2,59.129814,1.2257462,0.0,0.0
HLA-DRB1,58.63912,1.4864206,0.0,0.0
CDC42SE2,58.238922,1.1602445,0.0,0.0
DPYD,58.19291,1.3973278,0.0,0.0
FKBP5,57.8146,1.8332561,0.0,0.0
TRAPPC10,57.802383,1.9571095,0.0,0.0
MAP2K2,57.74081,2.3177607,0.0,0.0
CBLB,57.623993,1.2493149,0.0,0.0
NDUFA11,57.503487,1.6524647,0.0,0.0
RABGAP1L,57.305523,1.2537847,0.0,0.0
PITPNC1,57.08422,1.2832047,0.0,0.0
RPS6KA3,56.43672,1.6832882,0.0,0.0
STAG1,56.17936,1.5186918,0.0,0.0
ARHGAP26,56.16922,1.4006306,0.0,0.0
CD48,56.136726,1.0507476,0.0,0.0
FAF1,55.87142,1.8190464,0.0,0.0
PICALM,55.729134,1.4313083,0.0,0.0
CD96,55.464676,1.2435747,0.0,0.0
TMBIM4,55.366966,1.7718875,0.0,0.0
PPP1R16B,54.918518,1.5902848,0.0,0.0
DOCK8,54.822666,1.2715657,0.0,0.0
HECA,54.589584,1.6904805,0.0,0.0
LRBA,54.34741,1.2670784,0.0,0.0
APOO,54.208656,4.093156,0.0,0.0
BCL11B,54.16576,1.2543266,0.0,0.0
PRKCB,54.02148,1.1708395,0.0,0.0
ATXN1,53.895306,1.3074944,0.0,0.0
YPEL3,53.786755,1.5308256,0.0,0.0
UTRN,53.78503,1.1317537,0.0,0.0
ANKRD44,53.598076,1.0938505,0.0,0.0
STAT1,53.58265,1.5363977,0.0,0.0
EFHD2,53.524574,1.1695809,0.0,0.0
SMCHD1,53.30938,1.1173898,0.0,0.0
XRCC5,53.28358,1.1785846,0.0,0.0
CD63,53.186733,1.2798932,0.0,0.0
BRD7,53.01504,1.9507524,0.0,0.0
ARID1B,52.85962,1.2690372,0.0,0.0
GLS,52.858475,1.456976,0.0,0.0
UTY,52.83194,2.0785086,0.0,0.0
IRF9,52.804462,2.5742252,0.0,0.0
TRIR,52.657715,1.0614221,0.0,0.0
RPS20,52.448925,0.8891956,0.0,0.0
TRBC2,52.159077,1.0945015,0.0,0.0
GNB1,52.099983,1.3830032,0.0,0.0
DYNLT1,51.940395,1.2381606,0.0,0.0
TXNL4A,51.70745,1.9477752,0.0,0.0
PDE7A,51.61984,1.5562514,0.0,0.0
XRN1,51.58381,1.2855282,0.0,0.0
GPATCH8,51.474957,1.3615065,0.0,0.0
KLF13,51.453487,1.6100117,0.0,0.0
MYBL1,51.419968,1.2466384,0.0,0.0
TNRC6A,51.398006,1.7210066,0.0,0.0
SSH2,51.39186,1.235866,0.0,0.0
SET,51.35273,1.0370528,0.0,0.0
FAM107B,51.33704,1.2058005,0.0,0.0
RPS4Y1,51.261906,1.2134646,0.0,0.0
CASK,51.1399,2.2203314,0.0,0.0
DOCK10,51.08117,1.2554358,0.0,0.0
A2M,51.04942,2.059305,0.0,0.0
FBXL17,50.96763,1.6143194,0.0,0.0
RNF38,50.910995,1.6527885,0.0,0.0
AKT3,50.89205,1.4710033,0.0,0.0
CCNY,50.83003,1.9973083,0.0,0.0
ATP11B,50.812435,1.4323481,0.0,0.0
VPS13B,50.789608,1.3954399,0.0,0.0
RORA,50.64655,1.0829054,0.0,0.0
NCOA1,50.59363,1.3041883,0.0,0.0
COP1,50.5866,1.5266275,0.0,0.0
APBB1IP,50.585045,1.0579766,0.0,0.0
PLCL2,50.53818,1.602863,0.0,0.0
CNOT6L,50.504894,1.1907423,0.0,0.0
PPP2R5C,50.336815,0.9324448,0.0,0.0
FNBP1,50.207344,1.0771998,0.0,0.0
IFITM2,50.174896,0.9850687,0.0,0.0
CDV3,50.166218,1.693282,0.0,0.0
KHDRBS1,50.12825,1.3117788,0.0,0.0
TC2N,50.082767,1.0982981,0.0,0.0
STAT4,49.955055,1.094686,0.0,0.0
ZFAND3,49.867146,1.2596158,0.0,0.0
IKZF1,49.627476,1.0328901,0.0,0.0
UBALD2,49.552067,1.8929981,0.0,0.0
EPS15,49.489918,1.1692203,0.0,0.0
CYTIP,49.459106,1.0242226,0.0,0.0
PDE3B,49.32689,1.5518976,0.0,0.0
OOEP,49.30732,2.3410304,0.0,0.0
PCNX1,49.263412,1.3433204,0.0,0.0
PZP,48.91719,1.7727422,0.0,0.0
CELF2,48.912132,0.9628851,0.0,0.0
RPS17,48.85215,0.9766863,0.0,0.0
BIRC6,48.776604,1.114925,0.0,0.0
PLCB1,48.595497,1.6226661,0.0,0.0
PAN3,48.417984,1.207461,0.0,0.0
SMYD3,48.35175,1.4143176,0.0,0.0
PSMA1,48.349163,1.2496064,0.0,0.0
NCK2,48.294178,1.9045979,0.0,0.0
USP15,48.22077,1.0699638,0.0,0.0
HERC1,47.985924,1.2104423,0.0,0.0
CCSER2,47.982273,1.1760224,0.0,0.0
JAK1,47.961044,0.93515277,0.0,0.0
ITCH,47.957264,1.2721555,0.0,0.0
CDK17,47.95634,1.3443974,0.0,0.0
CDKAL1,47.84244,1.4350268,0.0,0.0
CHST11,47.744377,1.2576848,0.0,0.0
RBFOX2,47.650448,3.217363,0.0,0.0
RAPGEF1,47.636528,1.3842939,0.0,0.0
