names,scores,logfoldchanges,pvals,pvals_adj
EEF1G,120.74292,2.2628431,0.0,0.0
KLF2,119.35494,2.424063,0.0,0.0
CD81,117.75813,3.0541253,0.0,0.0
RPS2,113.448296,1.3859937,0.0,0.0
IL2RG,108.6032,2.2569704,0.0,0.0
RPL26,100.69661,1.107977,0.0,0.0
RBFOX2,99.07598,4.61982,0.0,0.0
NDUFB8,91.39718,2.749025,0.0,0.0
HLA-DRB1,86.763794,2.0180933,0.0,0.0
APOO,86.539894,4.97866,0.0,0.0
ABHD17A,85.91812,2.0802557,0.0,0.0
EIF4A1,85.18104,2.0454369,0.0,0.0
ARPC1B,83.01684,1.5909437,0.0,0.0
NDUFA13,82.96556,2.011158,0.0,0.0
ATP5PO,82.86922,2.6824474,0.0,0.0
GNAI2,82.43158,1.8270117,0.0,0.0
MZT2B,81.789894,2.0262878,0.0,0.0
BTG1,79.58381,1.338167,0.0,0.0
JUND,79.44636,1.7192922,0.0,0.0
GNAS,76.935425,1.5569227,0.0,0.0
CYBA,75.886345,1.2349783,0.0,0.0
TXNIP,75.29686,1.1594776,0.0,0.0
NDUFC2,74.45479,2.3577244,0.0,0.0
VIM,73.708405,1.3243388,0.0,0.0
CSNK2B,73.48599,2.3482783,0.0,0.0
RPL17,73.353745,1.0771819,0.0,0.0
KLRK1,72.71977,1.9249328,0.0,0.0
ARPC4,72.33297,1.9970616,0.0,0.0
TAF10,72.26188,2.500096,0.0,0.0
SYTL3,71.21728,1.5084565,0.0,0.0
STAT1,71.04424,1.8940433,0.0,0.0
ARL4C,68.419525,1.23981,0.0,0.0
FKBP5,68.351265,2.082086,0.0,0.0
FYN,68.030334,1.2776026,0.0,0.0
NDUFA11,67.8484,1.8383428,0.0,0.0
RPS10,66.90141,1.7212574,0.0,0.0
IRF9,65.99662,2.8623772,0.0,0.0
PSMB9,64.89587,1.189036,0.0,0.0
EFHD2,64.18974,1.3273563,0.0,0.0
SMAP2,63.791145,1.7314912,0.0,0.0
PNRC1,62.597664,1.1740531,0.0,0.0
RPS17,61.898808,1.2957872,0.0,0.0
SSBP4,61.869476,1.7323772,0.0,0.0
TMBIM4,61.492493,1.8683252,0.0,0.0
SRRM2,61.262375,1.2688087,0.0,0.0
S100A11,60.600666,1.2713572,0.0,0.0
HNRNPD,59.954727,1.4470809,0.0,0.0
SRSF9,59.815475,1.7230197,0.0,0.0
PIP4K2A,59.6947,1.2210209,0.0,0.0
VAMP2,58.995285,1.1747346,0.0,0.0
ARL6IP1,58.652336,1.5892807,0.0,0.0
CYTIP,58.46952,1.1496689,0.0,0.0
PRF1,58.310658,1.1535223,0.0,0.0
CD63,57.70658,1.2995237,0.0,0.0
DYNLT1,57.274437,1.3049926,0.0,0.0
RNASEK,57.21235,1.4420103,0.0,0.0
IQGAP2,57.05985,1.1961458,0.0,0.0
URI1,56.99792,1.8054174,0.0,0.0
ARHGAP15,56.72519,1.0970623,0.0,0.0
GIMAP5,56.70151,2.3634028,0.0,0.0
