Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_PANCREAS_BETA_CELLS,0.8581345261934348,1.4185481744570554,0.001,0.001,0.001,7/30,6.05%,FOXO1;AKT3;SPCS1;SRP9;SEC11A;SRP14;ELP4
prerank,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.7120087806886946,1.2454143034340435,0.001,0.031098894484460588,0.061,53/103,18.90%,IL2RG;CSNK2B;CXCR4;ACTR2;RAC1;PRKCB;RPS6KA3;VAV3;ARPC3;SLA;MAPK1;CDKN1B;ACTR3;PLCB1;PPP1CA;CAB39;CAMK4;MAPK8;PTEN;PFN1;CFL1;ITPR2;GRK2;GRB2;AKT1;LCK;YWHAB;CLTC;TBK1;MKNK2;RIPK1;MAPK9;RAF1;CALR;GSK3B;NCK1;PTPN11;MAPKAP1;UBE2N;RPTOR;EIF4E;PRKAG1;PIKFYVE;AP2M1;ACACA;IRAK4;PRKAR2A;PIN1;STAT2;MAP3K7;HSP90B1;HRAS;ARF1
prerank,HALLMARK_COMPLEMENT,0.6993018374202706,1.2422792546638455,0.001,0.022070183182520416,0.063,62/199,14.38%,GNAI2;FYN;PSMB9;CTSD;IRF1;CBLB;GZMA;S100A9;CEBPB;DOCK10;USP15;CD55;RASGRP1;CTSC;KIF2A;PLEK;PIK3R5;CASP1;ANXA5;GNB2;APOBEC3G;CALM1;ZEB1;GZMB;PFN1;GRB2;WAS;PPP4C;IRF2;LCK;CALM3;ERAP2;CTSS;LCP2;GNAI3;CD46;RAF1;JAK2;USP14;CASP4;RHOG;PREP;USP8;DOCK9;TNFAIP3;CASP3;PIK3CA;PIM1;USP16;GNG2;RNF4;AKAP10;LAMP2;LYN;FDX1;PSEN1;GZMK;DUSP5;LAP3;ATOX1;DYRK2;HSPA1A
prerank,HALLMARK_PROTEIN_SECRETION,0.7134765963085472,1.2416914124276235,0.001,0.01655263738689031,0.063,61/95,20.89%,GNAS;CD63;RPS6KA3;CTSC;MAPK1;GOLGA4;ARFGEF1;IGF2R;AP3B1;SOD1;COPE;COPB1;CLTA;RAB2A;MON2;PAM;RAB22A;TSG101;RER1;AP2B1;M6PR;CLTC;ADAM10;VPS4B;ANP32E;AP2S1;COPB2;GBF1;ARCN1;SEC31A;ARFGEF2;SGMS1;LMAN1;GOSR2;SNX2;ATP6V1H;DNM1L;PPT1;KIF1B;STX16;LAMP2;RAB9A;AP1G1;AP2M1;GALC;USO1;NAPA;AP3S1;ARFGAP3;RAB14;TPD52;ATP1A1;TMED10;NAPG;TMX1;RAB5A;ARF1;SEC24D;STAM;BET1;STX12
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6963487489389173,1.2354821051110925,0.001,0.016853594430288315,0.081,90/195,13.91%,HLA-DRB1;BTG1;TXNIP;KLRK1;STAT1;IRF9;PSMB9;ISG20;IFITM2;IRF1;GZMA;HLA-A;HLA-B;HLA-DQA1;B2M;PSMA2;PSME2;BST2;STAT4;AUTS2;PDE4B;PSMB8;MT2A;SP110;PSMB10;SRI;CASP1;NFKB1;ADAR;SAMHD1;CASP8;SOCS1;GBP4;PSMB2;EPSTI1;PSME1;VAMP8;VAMP5;TAP1;UBE2L6;PSMA3;STAT3;NLRC5;PARP14;PTPN1;ISG15;IFNAR2;EIF4E3;IRF2;EIF2AK2;SPPL2A;XAF1;SAMD9L;LCP2;SOD2;RIPK1;OGFR;PTPN2;JAK2;ITGB7;HLA-DMA;LY6E;CASP4;NCOA3;ZNFX1;ST8SIA4;PTPN6;IFI35;ST3GAL5;FAS;TNFAIP3;IFI30;SLAMF7;CASP3;ZBP1;PFKP;PIM1;APOL6;DDX60;RBCK1;IL10RA;NAMPT;TRIM26;GCH1;CD38;LAP3;LYSMD2;RAPGEF6;OAS2;OASL
prerank,HALLMARK_UV_RESPONSE_DN,0.699986255807866,1.231521689542506,0.001,0.01521505052734362,0.088,59/137,22.20%,FYN;RASA2;ATXN1;ANXA2;SYNE1;CELF2;CDKN1B;INPP4B;TGFBR2;SRI;RUNX1;NFKB1;AKT3;DYRK1A;NEK7;SIPA1L1;NIPBL;PTEN;DLG1;MAPK14;NR3C1;CDK13;NR1D2;PRDM2;SCAF8;ABCC1;PHF3;MT1E;YTHDC1;SMAD3;TGFBR3;ATRX;ATP2B4;MGMT;GRK5;PIK3CD;ADD3;PEX14;ATP2B1;ATP2C1;WDR37;PRKCE;SLC7A1;MAP2K5;PRKCA;PTPRM;ANXA4;SPOP;CITED2;SMAD7;MIOS;AGGF1;BMPR1A;MRPS31;DBP;TENT4A;SFMBT1;BCKDHB;ATRN
prerank,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.6741314592475951,1.1931365742873152,0.001,0.04213398607572079,0.253,144/200,23.79%,NDUFB8;ATP5PO;NDUFC2;ATP6V0E1;NDUFA7;BAX;LDHB;UQCRH;ECH1;ATP5MC3;ACAA2;SDHD;DECR1;COX8A;IDH2;MGST3;NDUFA4;COX5A;UQCRC2;NDUFS6;ATP5MG;COX7A2;UQCR10;SDHA;ATP5F1C;ATP5PB;COX5B;NDUFB7;NDUFA9;NDUFAB1;MDH2;NDUFB2;ATP5PF;ATP5F1B;ETFA;CPT1A;OPA1;UQCR11;NDUFB4;COX7A2L;ATP5F1D;ETFB;UQCRFS1;NDUFB3;OGDH;VDAC2;SURF1;ATP6V1F;NDUFV2;GLUD1;SLC25A5;NDUFS4;NDUFB5;SDHC;LRPPRC;VDAC3;ATP6V0B;MDH1;SDHB;NDUFC1;COX6A1;SLC25A3;ISCU;COX4I1;NDUFS2;ATP5MC1;ATP6V1G1;ACAT1;HSD17B10;ECI1;SLC25A12;MRPL11;MRPS12;ATP6V1D;HADHB;ATP6V1H;SUCLA2;PRDX3;ATP5MF;COX6C;IMMT;NDUFS8;POLR2F;ATP6V1E1;NDUFS7;ATP5PD;ACO2;FDX1;NNT;SUCLG1;COX17;NDUFA2;NDUFA6;HADHA;FXN;ETFDH;HSPA9;CYC1;MRPL34;VDAC1;NDUFS1;TOMM70;ABCB7;NDUFA8;COX6B1;IDH3G;PDHB;GPI;SUPV3L1;MPC1;PHB2;TOMM22;NDUFS3;GPX4;ACADM;PDHA1;NDUFA1;UQCRQ;NDUFB6;MRPS15;NDUFA5;TIMM8B;MRPS22;ECHS1;DLST;DLD;TIMM17A;COX7B;MRPS11;CASP7;CYCS;COX11;RHOT1;LDHA;SLC25A20;SLC25A11;NDUFV1;GRPEL1;COX10;TIMM10;CYB5R3;OAT;PDHX;ATP5MC2
prerank,HALLMARK_MYC_TARGETS_V1,0.6726667952023803,1.192509729234792,0.001,0.03749423165666821,0.255,149/195,24.51%,RPS2;EIF4A1;RPS10;HNRNPD;TXNL4A;U2AF1;SRSF2;PSMA2;PSMA1;HNRNPA1;SET;GSPT1;PSMB3;RAN;PGK1;PSMA6;HNRNPA3;SRM;HNRNPR;SMARCC1;PSMD8;PSMA7;DEK;HNRNPA2B1;HNRNPU;SNRPD3;PSMB2;SNRPG;ERH;DUT;PPM1G;COX5A;UBE2L3;ODC1;RAD23B;EIF3D;NDUFAB1;HNRNPC;PSMA4;SSB;XRCC6;EIF3B;SNRPD1;LSM7;BUB3;SRSF7;SSBP1;HSP90AB1;HSPE1;EIF2S2;TARDBP;PSMC4;PTGES3;CCT3;NAP1L1;CCT5;PSMD7;PCBP1;UBA2;HDGF;RPL18;NPM1;RANBP1;HSPD1;C1QBP;CLNS1A;TRIM28;SYNCRIP;CANX;SERBP1;G3BP1;VDAC3;CBX3;HDDC2;CNBP;SLC25A3;FAM120A;CCT7;NME1;EIF4E;SF3B3;PSMD1;LSM2;ORC2;PRDX3;CUL1;PSMC6;SRPK1;TFDP1;YWHAQ;UBE2E1;CCT4;EEF1B2;ACP1;XPO1;PSMD14;PRPF31;ABCE1;ILF2;EIF2S1;CYC1;NCBP1;AP3S1;RPS5;APEX1;VDAC1;TOMM70;SNRPB2;HPRT1;MCM6;YWHAE;EXOSC7;NCBP2;RNPS1;RRM1;PHB2;USP1;SNRPA1;SRSF1;SNRPD2;PWP1;GLO1;NOLC1;EIF1AX;EIF3J;SF3A1;NOP56;PCNA;PRDX4;MRPS18B;VBP1;DHX15;LDHA;DDX21;TCP1;CDK4;PSMD3;POLE3;DDX18;GNL3;RSL1D1;CTPS1;RACK1;ETF1;COPS5;PA2G4;CCT2;MRPL9;TUFM
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.6816364160725156,1.1870293517390045,0.004004004004004004,0.039681743499885194,0.3,51/96,20.18%,TXNIP;IRF9;PSMB9;ISG20;IFITM2;IRF1;B2M;PSME2;BST2;PSMB8;HLA-C;SP110;CASP1;ADAR;ELF1;CASP8;GBP4;EPSTI1;PSME1;GBP2;TAP1;UBE2L6;PSMA3;PARP14;PARP9;ISG15;IRF2;EIF2AK2;SAMD9L;OGFR;NCOA7;LY6E;IFI35;SAMD9;IFI30;NUB1;DDX60;TRIM26;LAP3;OASL;TRIM5;TRIM14;TMEM140;STAT2;NMI;MX1;CD47;TRAFD1;SLC25A28;PARP12;IL15
prerank,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.6940594540490228,1.175578880682686,0.04141414141414142,0.05036014526193294,0.401,31/49,20.94%,TXN;PRDX1;TXNRD1;CDKN2D;SOD1;MBP;PRDX6;ABCC1;LAMTOR5;PRDX2;NDUFB4;HMOX2;SOD2;NDUFS2;OXSR1;PFKP;NDUFA6;ATOX1;SELENOS;EGLN2;FTL;GSR;SBNO2;GCLM;GPX4;LSP1;SCAF4;PRDX4;GCLC;PDLIM1;IPCEF1
