names,scores,logfoldchanges,pvals,pvals_adj
TMSB10,47.187843,0.47552234,0.0,0.0
RBFOX2,45.475033,1.402457,0.0,0.0
HLA-C,41.653027,0.35341418,0.0,0.0
MT2A,41.305977,1.0686351,0.0,0.0
CD74,41.110706,0.8348315,0.0,0.0
CD99,40.768517,1.064137,0.0,0.0
HLA-A,40.09839,0.38102102,0.0,0.0
RPS19,38.260162,0.34445074,0.0,0.0
RPL17,37.80717,0.7444346,0.0,0.0
SLC25A6,37.11791,0.9786498,1.444843108582218e-301,2.35605749572807e-298
RPS27,36.7497,0.2814745,1.175556807535824e-295,1.769484277681616e-292
PRF1,35.06062,0.6596841,2.686278274282318e-269,3.754649519368314e-266
RNASEK,34.504013,0.9220429,6.983447135977856e-261,9.11013957045431e-258
MT-ATP8,32.480812,0.94724846,1.9901031202669992e-231,2.43389611608654e-228
IFITM1,32.284336,0.83824235,1.1604991241003741e-228,1.3358027564938894e-225
B2M,32.075115,0.14579695,9.804490720943513e-226,1.0658570801523482e-222
RPS18,32.05325,0.29526028,1.977981018735222e-225,2.037112240768991e-222
MIF,31.938066,0.7404351,7.912673766078783e-224,7.741760012731482e-221
RPS9,31.333164,0.30488145,1.6498742989066434e-215,1.5373685848097714e-212
TMSB4X,30.607977,0.2174932,9.585763008837067e-206,8.155400458996684e-203
CORO1A,30.520481,0.54363406,1.3940191060967981e-204,1.136590244504256e-201
MT-ND4L,30.511984,0.78991276,1.8072724998965802e-204,1.4145883311190512e-201
GZMH,30.216764,0.72138464,1.4266123728623456e-200,1.0736904196988608e-197
RPL37,29.572865,0.2501993,3.338087955313873e-192,2.419248337391921e-189
NME2,29.266434,0.8354253,2.774687316972973e-188,1.9391100506616835e-185
ATP5F1E,29.106998,0.362225,2.927613804038139e-186,1.9754326523247693e-183
PTPRCAP,28.853762,0.960894,4.5452513652737294e-183,2.9647159571892113e-180
RPS15,28.814249,0.22455353,1.4220888836210689e-182,8.97659202409583e-180
RPL22,28.650763,0.39235553,1.568346587330831e-180,9.590439381528031e-178
CST7,28.47887,0.3863061,2.1402850867272756e-178,1.2317970169729215e-175
APOO,28.201052,0.88550425,5.676522148153149e-175,3.0855051498628006e-172
RPS26,27.872162,0.52658343,5.804483449532144e-171,3.0697873551471624e-168
RPL35,27.490856,0.2970284,2.2581722836070273e-166,1.1330234678364695e-163
PPIA,27.34471,0.32854816,1.2482493709271093e-164,6.106435922575419e-162
CXCR4,27.099848,0.51858824,9.887237775928549e-162,4.718865092667557e-159
RPL31,26.869064,0.35573193,5.050850946421191e-159,2.3532155076088067e-156
HLA-DPA1,26.78181,0.5066095,5.263736345321275e-158,2.395367274540621e-155
FLNA,26.407091,0.51960075,1.1359334837313733e-153,5.0518060021944346e-151
RPL36,26.282022,0.26384765,3.078581037602602e-152,1.3096016031262547e-149
GZMB,26.260107,0.6943071,5.479710958280907e-152,2.28142519216257e-149
GAPDH,25.937954,0.34608677,2.4864885235958326e-148,1.0136584881192343e-145
RPL36A,25.898113,0.36298612,6.993748544136609e-148,2.7929320716666364e-145
IL32,25.551445,0.28917387,5.291385337076503e-144,2.07083656551826e-141
RPS3A,25.432634,0.18722889,1.0988712886805458e-142,4.216218309196259e-140
RPL26,25.39225,0.21830209,3.0713531998710212e-142,1.1557738349053105e-139
HLA-DRB1,25.242449,0.5316728,1.3708612217729062e-140,5.061323092009854e-138
CDC42,25.001108,0.58944297,5.946098392327835e-138,2.1546898766865015e-135
SKP1,24.765234,0.578645,2.1248625570090104e-135,7.55987463919133e-133
NKG7,24.60202,0.3746004,1.2018647237692762e-133,4.125980511353894e-131
P2RY8,24.588768,0.78004915,1.6658585115671127e-133,5.620261957645735e-131
HLA-DQA1,24.137405,0.93491745,1.0125292913114962e-128,3.30219552873056e-126
ITGB2,24.090778,0.41423258,3.1228632495221855e-128,1.0017735748631168e-125
RAC2,23.851328,0.385539,9.810113745458424e-126,3.0961984801795233e-123
RPLP1,23.431974,0.16831456,2.0185892771187546e-121,6.269802376930125e-119
LIME1,22.910694,0.6667006,3.63503822601514e-116,1.094314277025604e-113
LSP1,22.833313,0.3597788,2.141005547473698e-115,6.347757053479594e-113
RPL38,22.788225,0.30812597,5.999813408599591e-115,1.7523037131265195e-112
PSME1,22.64308,0.35009542,1.6322844843075603e-113,4.697138645430932e-111
HLA-DPB1,22.412258,0.41760758,2.9889407445744382e-111,8.355370355690372e-109
CAST,22.303963,0.68259406,3.381867753970459e-110,9.320618057703371e-108
RPL28,22.222998,0.15331332,2.0585819912883997e-109,5.59476838965714e-107
GSTP1,22.211988,0.43532732,2.6303181769554823e-109,7.050693984474641e-107
ATP6V0C,22.205055,0.75907725,3.069211419121011e-109,8.115990412075669e-107
GIMAP5,22.177721,0.7651368,5.636269360548555e-109,1.4705402512961884e-106
RPS6,22.043673,0.20766842,1.0985287834209632e-107,2.8284225307870274e-105
KRTCAP2,21.895483,0.5111147,2.868495932310528e-106,7.289704987461352e-104
RPS25,21.83534,0.18069816,1.0714124583737022e-105,2.653847972842608e-103
MT1E,21.692675,1.4657547,2.4058283719085395e-104,5.671957780904373e-102
RPL27,21.677988,0.24214636,3.310384230525906e-104,7.711618883682255e-102
GZMA,21.604145,0.30552056,1.6420006150162664e-103,3.7800785923103885e-101
UBC,21.491652,0.25261074,1.8636684097042293e-102,4.240495748964228e-100
CCL4,21.416155,0.44358656,9.447140306481756e-102,2.124846454221092e-99
RPL4,21.411469,0.28774497,1.0446956289803536e-101,2.296921805380625e-99
CFL1,21.409534,0.22552674,1.0889579769736843e-101,2.3676366326023394e-99
HLA-DRA,21.324236,0.6119936,6.76501559100433e-101,1.4234174740298142e-98
RPL23A,21.042437,0.24218892,2.6822994720201917e-98,5.5837485179245865e-96
MYL6,20.98449,0.24904367,9.089533919148048e-98,1.872252628735674e-95
PSME2,20.968763,0.40041843,1.2651078055281294e-97,2.5787114102681703e-95
MT-ND6,20.550985,0.6358336,7.541673096266622e-94,1.4964589343614597e-91
SH3BGRL3,20.550797,0.25188434,7.571005442650475e-94,1.4964589343614597e-91
HCST,20.220932,0.27164376,6.406244237612924e-91,1.2289939925648011e-88
