Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.8027203929183664,2.144265354350098,0.001,0.001,0.001,102/200,8.45%,SLC25A6;ATP5F1E;ATP6V0C;COX7C;COX6A1;COX6C;COX8A;NDUFA1;ATP5F1B;UQCR10;COX6B1;GPI;ATP5MF;NDUFA3;UQCR11;COX4I1;NDUFA4;NDUFB2;ATP5MC2;NDUFV2;UQCRH;COX5B;ATP5MC3;COX7B;COX7A2;IDH2;ATP5F1A;NDUFC2;MDH2;ATP5PB;NDUFB7;UQCRB;NDUFA2;ATP6V0E1;ATP5PD;UQCRQ;NDUFA6;NDUFB4;NDUFB8;NDUFB3;ACADVL;ACAA2;ATP5MG;CPT1A;LDHA;SLC25A5;ISCU;NDUFS8;ATP5PO;NDUFC1;NDUFS7;ATP5PF;BAX;NDUFA9;ATP5ME;TCIRG1;SLC25A20;MDH1;SDHD;ECH1;GPX4;COX17;NDUFA7;NDUFB1;IDH3G;HSD17B10;NDUFB6;UQCRC1;BCKDHA;ATP6AP1;MRPS15;OXA1L;ATP6V0B;NDUFS3;CYC1;POLR2F;SLC25A3;CYB5R3;PRDX3;VDAC2;IDH3B;COX5A;NDUFAB1;TIMM8B;HADHA;MRPL11;NDUFS6;COX11;SDHC;NDUFS2;TOMM22;ATP5MC1;ATP6V1C1;LDHB;VDAC1;OAT;PDHB;DECR1;SDHA;CS;NDUFA8;ATP6V1F
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.7510129358697649,1.986436017066122,0.001,0.001,0.001,82/195,7.69%,MT2A;CD74;HLA-A;B2M;HLA-DRB1;HLA-DQA1;PSME1;GZMA;PSME2;PSMB9;IRF1;PSMA2;PSMB10;TAP1;STAT1;LY6E;PSMB8;SOCS1;VAMP5;VAMP8;UBE2L6;TAPBP;ISG20;GBP4;PDE4B;HLA-DMA;IRF9;CASP1;ISG15;ITGB7;IL10RA;LCP2;CD38;MVP;ZBP1;RAPGEF6;APOL6;UPP1;SRI;FGL2;PSMB2;BST2;RBCK1;ADAR;MYD88;IL2RB;SAMHD1;ARID5B;EIF4E3;IFITM2;TXNIP;SLAMF7;BPGM;FAS;CFH;SAMD9L;IRF4;HLA-B;PML;SP110;CCL5;IFNAR2;MTHFD2;IL18BP;TRIM21;NFKBIA;OASL;XAF1;PSMA3;CASP4;IRF2;IFI35;TRAFD1;PFKP;OAS2;CASP8;IRF7;EPSTI1;PIM1;HLA-G;XCL1;TNFAIP3
prerank,HALLMARK_ALLOGRAFT_REJECTION,0.7468912135677453,1.9649158806169074,0.001,0.001,0.001,71/192,8.02%,CD74;HLA-A;RPS19;PRF1;B2M;RPS9;FLNA;GZMB;RPS3A;HLA-DQA1;ITGB2;GZMA;CCL4;HLA-DRA;IL2RG;HLA-E;RPL39;CD3E;HCLS1;PSMB10;TAP1;STAT1;SOCS1;WAS;TAP2;TAPBP;SRGN;CD3D;HLA-DMA;ZAP70;F2R;LY75;CD8A;LCP2;GPR65;BCL3;MAP4K1;FGR;CD4;CD8B;IL2RB;EIF5A;IFNGR1;IL16;FAS;FYB1;CD3G;EIF3D;ETS1;IRF4;FASLG;IL12RB1;CCL5;IFNAR2;CDKN2A;GBP2;SIT1;CTSS;LCK;ITK;HLA-DMB;PF4;CD7;CCR5;CD2;IRF7;HLA-G;ITGAL;ELF4;TIMP1;KLRD1
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.7323841531504416,1.7591035987230839,0.001,0.001,0.001,35/96,7.31%,HLA-C;CD74;IFITM1;B2M;PSME1;PSME2;PSMB9;IRF1;TAP1;LY6E;PSMB8;UBE2L6;ISG20;GBP4;IRF9;CASP1;ISG15;PARP9;BST2;ADAR;IFITM2;TXNIP;SAMD9L;SP110;UBA7;GBP2;TRIM21;OASL;PSMA3;IRF2;IFI35;TRAFD1;CASP8;IRF7;EPSTI1
prerank,HALLMARK_UV_RESPONSE_DN,-0.7030096567640476,-1.7184686114913692,0.001,0.001,0.001,49/137,10.35%,AKT3;CELF2;NR1D2;CDK13;DYRK1A;RUNX1;PRKCA;FYN;NIPBL;ATXN1;DUSP1;SIPA1L1;RASA2;PRDM2;SFMBT1;NEK7;NFKB1;SCAF8;DLG1;PTEN;SMAD3;ATP2B1;WDR37;ABCC1;PIK3CD;MAP2K5;NR3C1;TGFBR2;INPP4B;TOGARAM1;SPOP;SLC7A1;MAPK14;DBP;PHF3;PRKCE;IGF1R;BMPR1A;YTHDC1;ATRN;MYC;ARHGEF9;PEX14;MGMT;ATRX;ATP2B4;BCKDHB;SYNJ2;ACVR2A
prerank,HALLMARK_MTORC1_SIGNALING,0.5867154812560116,1.547528711432667,0.0027624309392265192,0.023472186287192755,0.061,56/195,9.18%,CORO1A;PPIA;CXCR4;GAPDH;ITGB2;CALR;DDIT4;TUBA4A;ALDOA;GPI;ENO1;HSPE1;TPI1;CTSC;LDHA;FKBP2;RPN1;SLA;FGL2;G6PD;M6PR;TES;PRDX1;PGK1;PSMA4;PSMC4;PFKL;ACLY;CANX;ACTR2;DDX39A;SSR1;PSMD13;MTHFD2;CYP51A1;PSME3;ACTR3;HSP90B1;PSMA3;PPA1;SHMT2;ABCF2;ATP5MC1;SLC7A5;UCHL5;LTA4H;CCNG1;HPRT1;DHFR;PSAT1;SLC1A4;MAP2K3;HSPD1;HSPA5;PDAP1;EBP
prerank,HALLMARK_KRAS_SIGNALING_DN,-0.6208208704290651,-1.5290553869423908,0.0016,0.01871230643846781,0.08,16/171,9.23%,CDKAL1;ZBTB16;PTPRJ;CAMK1D;SIDT1;DTNB;NR4A2;IFI44L;BTG2;PRKN;MX1;SKIL;YPEL1;SLC16A7;CPEB3;FGGY
prerank,HALLMARK_ADIPOGENESIS,0.5693208446150105,1.5073223601080532,0.001,0.03353169469598965,0.101,43/196,6.76%,UBC;COX6A1;COX8A;ALDOA;UQCR10;UQCR11;COX7B;MDH2;NDUFB7;UQCRQ;STOM;ACAA2;UCP2;SOD1;ATP5PO;SQOR;PLIN2;ECH1;GPX4;IFNGR1;IDH3G;DNAJC15;PFKL;TALDO1;UQCRC1;BCKDHA;CD151;ACLY;GHITM;NDUFS3;SCP2;CYC1;TKT;PRDX3;SLC25A1;NDUFAB1;DHRS7;REEP5;ARAF;ESYT1;SDHC;AK2;PREB
prerank,HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.5880264905306556,-1.4966649523051994,0.0015625,0.02099429502852486,0.128,45/194,15.66%,MYBL1;FOS;BCL11B;B4GALT1;MED13L;CD44;AQP3;XBP1;SVIL;CHPT1;ADCY9;AFF1;ABLIM1;TIPARP;ELF1;RETREG1;IL6ST;SIAH2;ELOVL5;LRIG1;IGF1R;DHRS3;MYC;TOB1;KDM4B;BCL2;ARL3;NRIP1;GAB2;UGCG;RRP12;NXT1;IGFBP4;CISH;DYNLT3;AMFR;SNX24;TMEM164;RARA;ABCA3;FLNB;RPS6KA2;SLC37A1;MAST4;TIAM1
prerank,HALLMARK_FATTY_ACID_METABOLISM,0.5863089316338524,1.4955320057604602,0.001,0.03299944557383108,0.116,52/151,13.37%,MIF;PSME1;ALDOA;LGALS1;UBE2L6;MDH2;ACADVL;ACAA2;CPT1A;LDHA;GLUL;HSP90AA1;PRDX6;MDH1;SDHD;ECH1;GRHPR;IDH3G;HSD17B10;S100A10;ERP29;XIST;PCBD1;IDH3B;ACSL5;RAP1GDS1;SERINC1;GABARAPL1;SDHC;HSD17B7;CRYZ;PDHB;DECR1;SDHA;ENO2;HADH;BLVRA;DHCR24;UROD;CPT2;UROS;FASN;G0S2;ACSL1;HSDL2;ADSL;NBN;ACOT2;NSDHL;ACOT8;HCCS;NTHL1
