names,scores,logfoldchanges,pvals,pvals_adj
RPS2,136.90964,1.7402353,0.0,0.0
CD81,134.2269,3.0843983,0.0,0.0
KLF2,131.12727,2.6480412,0.0,0.0
LINC00987,119.99626,5.2256193,0.0,0.0
EEF1G,106.55047,2.0323179,0.0,0.0
NDUFB8,105.725945,2.6000035,0.0,0.0
JUND,105.39298,2.2928014,0.0,0.0
ATP5PO,98.930725,2.5377665,0.0,0.0
U2AF1,98.820145,3.4103806,0.0,0.0
RPS10,98.4751,2.4143705,0.0,0.0
IL2RG,95.41742,1.9415783,0.0,0.0
ABHD17A,95.173485,2.0635548,0.0,0.0
TAF10,94.36899,2.4752061,0.0,0.0
MZT2B,93.78554,2.0396466,0.0,0.0
APOO,93.41103,4.093156,0.0,0.0
GNAS,92.07855,1.8114966,0.0,0.0
KLRK1,91.14367,2.061993,0.0,0.0
URI1,87.860794,2.122433,0.0,0.0
GNAI2,85.16178,1.7663529,0.0,0.0
NDUFC2,85.12636,2.1335876,0.0,0.0
SMAP2,85.08147,1.9391439,0.0,0.0
SLC35F1,84.639305,4.119673,0.0,0.0
MAP2K2,84.02936,2.3177607,0.0,0.0
IRF9,83.052505,2.5742252,0.0,0.0
CSNK2B,82.680435,2.1161048,0.0,0.0
RBFOX2,81.61841,3.217363,0.0,0.0
UBE2M,81.096245,2.7090912,0.0,0.0
CUL3,80.47702,1.9334443,0.0,0.0
ARPC4,80.30588,1.8470368,0.0,0.0
OOEP,79.58743,2.3410304,0.0,0.0
SRSF9,79.47036,1.87449,0.0,0.0
TRAPPC10,78.59723,1.9571095,0.0,0.0
RORA-AS1,78.53545,2.5809677,0.0,0.0
SIK3,78.255516,1.775767,0.0,0.0
EIF4A1,77.7144,1.670051,0.0,0.0
HNRNPD,77.41435,1.6412394,0.0,0.0
CASK,77.25617,2.2203314,0.0,0.0
STEAP1B,77.18853,3.1959546,0.0,0.0
BRI3,76.607635,2.392502,0.0,0.0
FAF1,75.891556,1.8190464,0.0,0.0
ARIH1,75.660736,1.7515829,0.0,0.0
BRD7,75.55304,1.9507524,0.0,0.0
UTY,75.3664,2.0785086,0.0,0.0
SSBP4,75.26108,1.7327288,0.0,0.0
CCNY,75.19421,1.9973083,0.0,0.0
FKBP5,74.53617,1.8332561,0.0,0.0
NDUFA13,74.12586,1.6050881,0.0,0.0
A2M,73.83344,2.059305,0.0,0.0
ALYREF,73.81677,2.7055073,0.0,0.0
PPP1R14B,73.31123,3.1594725,0.0,0.0
TXNL4A,73.259575,1.9477752,0.0,0.0
UBALD2,73.219505,1.8929981,0.0,0.0
TNFSF12,73.18648,2.5688617,0.0,0.0
USP9Y,73.165955,2.2072346,0.0,0.0
TMBIM4,73.07022,1.7718875,0.0,0.0
PIP4K2A,73.02671,1.5005438,0.0,0.0
GLRX5,72.88194,2.4971132,0.0,0.0
HECA,72.27455,1.6904805,0.0,0.0
ATXN7,72.14554,2.2208965,0.0,0.0
COMMD7,71.652725,2.3049068,0.0,0.0
PLEKHA7,71.57335,2.896747,0.0,0.0
NCK2,71.5637,1.9045979,0.0,0.0
NDUFA11,71.524254,1.6524647,0.0,0.0
KLF12,71.430244,1.5616088,0.0,0.0
RPS6KA3,71.318306,1.6832882,0.0,0.0
KIZ-AS1,71.09645,2.8460166,0.0,0.0
MBD2,70.97536,1.9468802,0.0,0.0
TNRC6A,70.209045,1.7210066,0.0,0.0
BCL7C,69.736046,1.8609107,0.0,0.0
LINC00513,69.44429,2.1930737,0.0,0.0
PZP,69.30135,1.7727422,0.0,0.0
UBE2R2,69.05147,1.945904,0.0,0.0
RNF38,69.02585,1.6527885,0.0,0.0
FBXL17,68.944176,1.6143194,0.0,0.0
STK24,68.82094,1.9886923,0.0,0.0
STAG1,68.69559,1.5186918,0.0,0.0
CDV3,68.63934,1.693282,0.0,0.0
PLCL2,68.48462,1.602863,0.0,0.0
TRAC,68.112404,1.5072366,0.0,0.0
NDUFA7,68.00878,2.3167064,0.0,0.0
SRM,67.93491,2.334532,0.0,0.0
PDE7A,67.70479,1.5562514,0.0,0.0
PPP1R16B,67.52587,1.5902848,0.0,0.0
KLF13,67.49761,1.6100117,0.0,0.0
YPEL3,67.41882,1.5308256,0.0,0.0
CTSD,67.41561,1.870153,0.0,0.0
IMP3,67.30804,1.9375478,0.0,0.0
MAP2K4,67.19155,1.9945786,0.0,0.0
TMEM238,67.11002,3.186094,0.0,0.0
COP1,66.97664,1.5266275,0.0,0.0
ARHGEF18,65.84185,1.9793407,0.0,0.0
PLCB1,64.899025,1.6226661,0.0,0.0
STAT1,64.86713,1.5363977,0.0,0.0
PPP3R1,64.71621,1.5675763,0.0,0.0
FAM66A,64.71344,6.992508,0.0,0.0
FOXO1,64.68701,1.7091627,0.0,0.0
CHMP4A,64.57888,1.7770795,0.0,0.0
PALD1,64.57797,9.5243435,0.0,0.0
KCMF1,64.54524,1.816795,0.0,0.0
SMAD4,64.52886,1.8744453,0.0,0.0
ASXL1,64.25812,1.5920776,0.0,0.0
MAP3K5,64.2519,1.5088018,0.0,0.0
AMBRA1,64.15717,1.6961733,0.0,0.0
LRRC8C,63.761223,1.6522306,0.0,0.0
FAM89B,63.759033,2.1389518,0.0,0.0
HEBP2,63.62082,2.026295,0.0,0.0
CELF2-AS1,63.0964,5.945872,0.0,0.0
ZNRF2,63.03704,1.5387275,0.0,0.0
MALT1,62.637215,1.7216908,0.0,0.0
DDX39B,62.453243,1.5186528,0.0,0.0
KLRC4,62.442474,2.523552,0.0,0.0
PVRIG,62.361393,2.6900983,0.0,0.0
PHACTR2,62.306435,1.6440629,0.0,0.0
NFKB1,62.16736,1.7758852,0.0,0.0
TXNRD1,61.844547,1.7577609,0.0,0.0
CTDNEP1,61.755733,1.5527954,0.0,0.0
ZFPM1,61.537525,2.197519,0.0,0.0
RNF169,60.986553,1.8739865,0.0,0.0
SOS2,60.92198,1.637653,0.0,0.0
CHKB,60.654373,1.8718867,0.0,0.0
NR1D2,60.581047,1.6809556,0.0,0.0
CEBPB,60.5292,1.5772693,0.0,0.0
GPS2,60.34816,1.5469377,0.0,0.0
AUTS2,60.29,1.6271689,0.0,0.0
SIPA1L1,60.127316,1.6805146,0.0,0.0
SPIDR,60.04679,1.5110934,0.0,0.0
TM9SF3,59.89265,1.5065958,0.0,0.0
ACBD3,59.768093,1.9263177,0.0,0.0
PDE3B,59.687542,1.5518976,0.0,0.0
CHN2,59.382732,3.3975246,0.0,0.0
TSR3,59.280853,2.159479,0.0,0.0
S1PR4,59.007767,1.5761948,0.0,0.0
EPC2,58.69408,1.8468988,0.0,0.0
CPB2-AS1,58.273094,2.5859582,0.0,0.0
SPPL3,58.267,1.5702137,0.0,0.0
RFX7,58.255547,1.6190622,0.0,0.0
CEBPD,58.123394,2.545918,0.0,0.0
SLC2A4RG,58.048187,1.6752576,0.0,0.0
TSNAX,57.911243,1.9975783,0.0,0.0
ZEB1,57.545067,1.6073232,0.0,0.0
PMF1,57.403236,2.0757308,0.0,0.0
