names,scores,logfoldchanges,pvals,pvals_adj
RBFOX2,133.95145,4.61982,0.0,0.0
CD81,133.94334,3.0541253,0.0,0.0
APOO,125.45553,4.97866,0.0,0.0
EEF1G,123.6343,2.2628431,0.0,0.0
KLF2,122.870575,2.424063,0.0,0.0
IL2RG,114.60173,2.2569704,0.0,0.0
NDUFB8,114.10972,2.749025,0.0,0.0
ATP5PO,107.1447,2.6824474,0.0,0.0
EIF4A1,97.23639,2.0454369,0.0,0.0
ABHD17A,97.135124,2.0802557,0.0,0.0
NDUFC2,96.94992,2.3577244,0.0,0.0
IRF9,96.70769,2.8623772,0.0,0.0
TAF10,96.151596,2.500096,0.0,0.0
NDUFA13,95.846695,2.011158,0.0,0.0
CSNK2B,94.79967,2.3482783,0.0,0.0
HLA-DRB1,94.49532,2.0180933,0.0,0.0
MZT2B,94.30873,2.0262878,0.0,0.0
GNAI2,90.66151,1.8270117,0.0,0.0
ARPC4,89.19099,1.9970616,0.0,0.0
SLC35F1,89.02907,4.1596,0.0,0.0
KLRK1,88.02781,1.9249328,0.0,0.0
ARPC1B,86.36543,1.5909437,0.0,0.0
FKBP5,85.5095,2.082086,0.0,0.0
JUND,85.22573,1.7192922,0.0,0.0
STAT1,83.19235,1.8940433,0.0,0.0
NDUFA11,82.2446,1.8383428,0.0,0.0
U2AF1,82.15412,2.9129622,0.0,0.0
GNAS,81.73673,1.5569227,0.0,0.0
MAP2K2,81.34438,2.238337,0.0,0.0
GIMAP5,81.01434,2.3634028,0.0,0.0
CTSD,80.191795,2.1513927,0.0,0.0
TMBIM4,79.33532,1.8683252,0.0,0.0
LINC00987,79.104126,3.7636175,0.0,0.0
SMAP2,78.146126,1.7314912,0.0,0.0
SSBP4,76.657585,1.7323772,0.0,0.0
URI1,76.30492,1.8054174,0.0,0.0
NDUFA7,75.708496,2.4948382,0.0,0.0
TNFSF12,75.41767,2.6280324,0.0,0.0
SYTL3,75.360146,1.5084565,0.0,0.0
SRSF9,75.01126,1.7230197,0.0,0.0
TXNL4A,74.47337,1.9491541,0.0,0.0
ALYREF,73.93911,2.7145367,0.0,0.0
UBALD2,73.69937,1.8906385,0.0,0.0
HLA-DQA1,73.405754,2.1235087,0.0,0.0
PSMA2,73.10195,2.0156834,0.0,0.0
OOEP,72.77719,2.0643003,0.0,0.0
COMMD7,72.76974,2.3041987,0.0,0.0
TAP2,72.718956,2.1332192,0.0,0.0
UBE2M,72.16713,2.4629166,0.0,0.0
TRAPPC10,72.02294,1.7707472,0.0,0.0
RPS10,71.79811,1.7212574,0.0,0.0
ARL6IP1,71.7355,1.5892807,0.0,0.0
STEAP1B,71.45001,2.9594896,0.0,0.0
BRI3,70.55971,2.1989996,0.0,0.0
S1PR4,70.31617,1.8215137,0.0,0.0
CUL3,69.59604,1.5887876,0.0,0.0
CHMP4A,69.59445,1.8640683,0.0,0.0
S100A9,69.39732,2.017029,0.0,0.0
PLEKHA7,69.34146,2.7686815,0.0,0.0
RORA-AS1,68.74752,2.2259085,0.0,0.0
IMP3,68.7048,1.9426028,0.0,0.0
YPEL3,68.11276,1.5096871,0.0,0.0
ATXN7,68.04659,2.0348675,0.0,0.0
KLF13,67.7569,1.5760114,0.0,0.0
CRYBG1,67.25171,1.5605019,0.0,0.0
CEBPB,67.12188,1.7181549,0.0,0.0
BCL7C,66.68958,1.7706378,0.0,0.0
SRM,66.460106,2.2813878,0.0,0.0
GLRX5,66.39176,2.3009121,0.0,0.0
CDV3,66.06146,1.6034651,0.0,0.0
CPB2-AS1,66.04154,2.8501596,0.0,0.0
MBD2,65.31986,1.7708956,0.0,0.0
BRD7,65.0295,1.6115885,0.0,0.0
STK24,64.961395,1.8493246,0.0,0.0
FOXO1,64.19442,1.6571994,0.0,0.0
LINC00513,63.979973,2.032822,0.0,0.0
CCNY,63.88408,1.642241,0.0,0.0
A2M,63.849483,1.7214848,0.0,0.0
HNRNPUL2,63.467228,2.123532,0.0,0.0
PPP1R14B,63.412327,2.801381,0.0,0.0
GPS2,63.405613,1.5921035,0.0,0.0
TMEM238,63.30128,3.0852368,0.0,0.0
GLCCI1,63.133343,1.5086044,0.0,0.0
METRNL,63.095276,1.8726367,0.0,0.0
PMF1,63.07369,2.2465878,0.0,0.0
HLA-DRA,62.684013,1.5060929,0.0,0.0
PZP,62.332256,1.5317553,0.0,0.0
HEBP2,62.02615,1.9918933,0.0,0.0
ZFPM1,61.265335,2.2174187,0.0,0.0
AUTS2,61.188618,1.5258569,0.0,0.0
NCK2,61.059635,1.5907911,0.0,0.0
RPS10-NUDT3,60.79002,3.9724407,0.0,0.0
MALT1,60.566257,1.6349168,0.0,0.0
SDHAF2,60.52008,1.945637,0.0,0.0
PARL,59.58708,2.242269,0.0,0.0
CNPY2,59.49869,1.7470418,0.0,0.0
USP9Y,59.33585,1.7482656,0.0,0.0
SOCS1,59.24838,2.340105,0.0,0.0
TG,58.92594,3.5235393,0.0,0.0
TXNRD1,58.75349,1.6142423,0.0,0.0
VKORC1,58.473495,2.1972365,0.0,0.0
CASK,58.024143,1.531207,0.0,0.0
SYNC,57.96669,3.0464973,0.0,0.0
TSR3,57.701565,2.104097,0.0,0.0
ABHD14A,57.630676,2.4331973,0.0,0.0
UBE2R2,57.45169,1.5866191,0.0,0.0
SLC2A4RG,57.059074,1.634567,0.0,0.0
RNF169,56.97693,1.7200383,0.0,0.0
KIZ-AS1,56.617752,2.2604792,0.0,0.0
MXD4,56.582085,1.6115897,0.0,0.0
ACAA2,56.53734,1.592424,0.0,0.0
S100A8,56.362186,1.7467276,0.0,0.0
FAM89B,56.213432,1.882974,0.0,0.0
C17orf49,55.941925,1.6688665,0.0,0.0
PALD1,55.58864,9.0695915,0.0,0.0
SNF8,54.86054,1.6646166,0.0,0.0
TSNAX,53.7964,1.8244516,0.0,0.0
RAB4B,53.48049,1.8411562,0.0,0.0
NENF,53.418594,1.7036246,0.0,0.0
MAP2K4,52.97215,1.5243828,0.0,0.0
CHKB,52.88085,1.6371123,0.0,0.0
COMMD3,52.770706,1.8131266,0.0,0.0
NSMCE3,52.333687,1.5210838,0.0,0.0
