group,names,scores,logfoldchanges,pvals,pvals_adj
MKPP,RPS2,136.90964,1.7402353,0.0,0.0
MKPP,CD81,134.2269,3.0843983,0.0,0.0
MKPP,KLF2,131.12727,2.6480412,0.0,0.0
MKPP,LINC00987,119.99626,5.2256193,0.0,0.0
MKPP,EEF1G,106.55047,2.0323179,0.0,0.0
MKPP,NDUFB8,105.725945,2.6000035,0.0,0.0
MKPP,JUND,105.39298,2.2928014,0.0,0.0
MKPP,ATP5PO,98.930725,2.5377665,0.0,0.0
MKPP,U2AF1,98.820145,3.4103806,0.0,0.0
MKPP,RPS10,98.4751,2.4143705,0.0,0.0
MKPP,IL2RG,95.41742,1.9415783,0.0,0.0
MKPP,ABHD17A,95.173485,2.0635548,0.0,0.0
MKPP,TAF10,94.36899,2.4752061,0.0,0.0
MKPP,MZT2B,93.78554,2.0396466,0.0,0.0
MKPP,APOO,93.41103,4.093156,0.0,0.0
MKPP,GNAS,92.07855,1.8114966,0.0,0.0
MKPP,KLRK1,91.14367,2.061993,0.0,0.0
MKPP,URI1,87.860794,2.122433,0.0,0.0
MKPP,GNAI2,85.16178,1.7663529,0.0,0.0
MKPP,NDUFC2,85.12636,2.1335876,0.0,0.0
MKPP,SMAP2,85.08147,1.9391439,0.0,0.0
MKPP,SLC35F1,84.639305,4.119673,0.0,0.0
MKPP,BTG1,84.49082,1.4743973,0.0,0.0
MKPP,MAP2K2,84.02936,2.3177607,0.0,0.0
MKPP,IRF9,83.052505,2.5742252,0.0,0.0
MKPP,CSNK2B,82.680435,2.1161048,0.0,0.0
MKPP,RBFOX2,81.61841,3.217363,0.0,0.0
MKPP,UBE2M,81.096245,2.7090912,0.0,0.0
MKPP,CUL3,80.47702,1.9334443,0.0,0.0
MKPP,ARPC4,80.30588,1.8470368,0.0,0.0
MKPP,OOEP,79.58743,2.3410304,0.0,0.0
MKPP,SRSF9,79.47036,1.87449,0.0,0.0
MKPP,TRAPPC10,78.59723,1.9571095,0.0,0.0
MKPP,RORA-AS1,78.53545,2.5809677,0.0,0.0
MKPP,SIK3,78.255516,1.775767,0.0,0.0
MKPP,EIF4A1,77.7144,1.670051,0.0,0.0
MKPP,HNRNPD,77.41435,1.6412394,0.0,0.0
MKPP,CASK,77.25617,2.2203314,0.0,0.0
MKPP,STEAP1B,77.18853,3.1959546,0.0,0.0
MKPP,BRI3,76.607635,2.392502,0.0,0.0
MKPP,FAF1,75.891556,1.8190464,0.0,0.0
MKPP,ARIH1,75.660736,1.7515829,0.0,0.0
MKPP,BRD7,75.55304,1.9507524,0.0,0.0
MKPP,UTY,75.3664,2.0785086,0.0,0.0
MKPP,SSBP4,75.26108,1.7327288,0.0,0.0
MKPP,CCNY,75.19421,1.9973083,0.0,0.0
MKPP,FKBP5,74.53617,1.8332561,0.0,0.0
MKPP,FYN,74.284134,1.4518546,0.0,0.0
MKPP,NDUFA13,74.12586,1.6050881,0.0,0.0
MKPP,A2M,73.83344,2.059305,0.0,0.0
MKPP,ALYREF,73.81677,2.7055073,0.0,0.0
MKPP,VIM,73.70434,1.3659401,0.0,0.0
MKPP,PPP1R14B,73.31123,3.1594725,0.0,0.0
MKPP,TXNL4A,73.259575,1.9477752,0.0,0.0
MKPP,UBALD2,73.219505,1.8929981,0.0,0.0
MKPP,TNFSF12,73.18648,2.5688617,0.0,0.0
MKPP,USP9Y,73.165955,2.2072346,0.0,0.0
MKPP,TMBIM4,73.07022,1.7718875,0.0,0.0
MKPP,PIP4K2A,73.02671,1.5005438,0.0,0.0
MKPP,GLRX5,72.88194,2.4971132,0.0,0.0
MKPP,ARPC1B,72.38969,1.4057148,0.0,0.0
MKPP,HECA,72.27455,1.6904805,0.0,0.0
MKPP,ATXN7,72.14554,2.2208965,0.0,0.0
MKPP,IQGAP2,71.89046,1.4764103,0.0,0.0
MKPP,COMMD7,71.652725,2.3049068,0.0,0.0
MKPP,PLEKHA7,71.57335,2.896747,0.0,0.0
MKPP,NCK2,71.5637,1.9045979,0.0,0.0
MKPP,NDUFA11,71.524254,1.6524647,0.0,0.0
MKPP,KLF12,71.430244,1.5616088,0.0,0.0
MKPP,ARL4C,71.43001,1.3132371,0.0,0.0
MKPP,RPL26,71.32778,0.8896749,0.0,0.0
MKPP,RPS6KA3,71.318306,1.6832882,0.0,0.0
MKPP,KIZ-AS1,71.09645,2.8460166,0.0,0.0
MKPP,MBD2,70.97536,1.9468802,0.0,0.0
MKPP,SKAP1,70.90048,1.3452265,0.0,0.0
MKPP,SYTL3,70.78383,1.4929656,0.0,0.0
MKPP,ARHGAP15,70.56797,1.4322014,0.0,0.0
MKPP,TNRC6A,70.209045,1.7210066,0.0,0.0
MKPP,SRRM2,70.05701,1.3999329,0.0,0.0
MKPP,RASA2,69.96416,1.4886078,0.0,0.0
MKPP,BCL7C,69.736046,1.8609107,0.0,0.0
MKPP,LINC00513,69.44429,2.1930737,0.0,0.0
MKPP,PZP,69.30135,1.7727422,0.0,0.0
MKPP,UBE2R2,69.05147,1.945904,0.0,0.0
MKPP,RNF38,69.02585,1.6527885,0.0,0.0
MKPP,FBXL17,68.944176,1.6143194,0.0,0.0
MKPP,STK24,68.82094,1.9886923,0.0,0.0
MKPP,STAG1,68.69559,1.5186918,0.0,0.0
MKPP,CDV3,68.63934,1.693282,0.0,0.0
MKPP,PLCL2,68.48462,1.602863,0.0,0.0
MKPP,TRAC,68.112404,1.5072366,0.0,0.0
MKPP,NDUFA7,68.00878,2.3167064,0.0,0.0
MKPP,SRM,67.93491,2.334532,0.0,0.0
MKPP,PDE7A,67.70479,1.5562514,0.0,0.0
