"group","gene","scores","logfoldchanges","pvals","pvals_adj"
"MKPP","RPS2",118.009285,1.6769346,0,0
"MKPP","ARHGEF18",75.46872,2.236903,0,0
"MKPP","SMAP2",71.306915,1.7588003,0,0
"MKPP","PDE7A",70.858826,1.8777761,0,0
"MKPP","P2RX5",70.72739,2.0524511,0,0
"MKPP","STEAP1B",68.45362,2.0652819,0,0
"MKPP","LYN",68.37604,1.7799706,0,0
"MKPP","SIK3",67.14749,1.8152931,0,0
"MKPP","UTY",66.090546,2.1236508,0,0
"MKPP","HNRNPD",65.96685,1.6784229,0,0
"MKPP","ARIH1",64.11017,1.7737422,0,0
"MKPP","MED13L",63.384243,1.6784428,0,0
"MKPP","SNHG7",63.24463,1.642367,0,0
"MKPP","FAF1",63.17448,1.7592736,0,0
"MKPP","ASXL1",63.15556,1.7625822,0,0
"MKPP","STAG1",62.304695,1.6313517,0,0
"MKPP","ARHGAP15",61.794106,1.565259,0,0
"MKPP","CDC42SE2",61.28707,1.5484077,0,0
"MKPP","PPP3R1",60.97026,1.7388264,0,0
"MKPP","FBXL17",60.734844,1.7232316,0,0
"MKPP","PLCL2",60.48939,1.6276132,0,0
"MKPP","TMEM131",60.412766,1.6285957,0,0
"MKPP","KLF12",60.290092,1.6991687,0,0
"MKPP","NCK2",60.23145,1.6394157,0,0
"MKPP","RPS6KA3",60.071148,1.7471936,0,0
"MKPP","USP9Y",60.003376,2.2048984,0,0
"MKPP","MGAT5",59.906162,1.6376349,0,0
"MKPP","KLHL5",59.8301,1.7521602,0,0
"MKPP","CHST11",59.731873,1.735593,0,0
"MKPP","TMBIM4",59.59607,1.5561215,0,0
"MKPP","ZFAND3",59.575302,1.5706676,0,0
"MKPP","COP1",59.456696,1.6062846,0,0
"MKPP","CCSER1",59.323452,1.8494194,0,0
"MKPP","DLEU2",59.266865,1.582281,0,0
"MKPP","ARPC4",58.686558,1.6674362,0,0
"MKPP","FAM107B",58.35467,1.5097768,0,0
"MKPP","PACS1",57.975018,1.5067496,0,0
"MKPP","AKT3",57.78997,1.6122806,0,0
"MKPP","ACBD3",57.738583,1.7123456,0,0
"MKPP","RFX7",57.38931,1.7643219,0,0
"MKPP","RNF38",57.31535,1.6841594,0,0
"MKPP","UST",57.03947,1.8264918,0,0
"MKPP","DYRK1A",56.86631,1.5878924,0,0
"MKPP","RAPGEF1",56.816597,1.6153436,0,0
"MKPP","NFKB1",56.801826,1.6246208,0,0
"MKPP","TRAF3",56.6644,1.6184714,0,0
"MKPP","BRAF",56.65703,1.5397778,0,0
"MKPP","PIP4K2A",56.099957,1.534485,0,0
"MKPP","TRIO",55.913265,1.5082963,0,0
"MKPP","HECA",55.868256,1.6661905,0,0
"MKPP","FBXO11",55.839462,1.585218,0,0
"MKPP","SPPL3",55.588493,1.6435982,0,0
"MKPP","DENND5B",55.55861,1.6096978,0,0
"MKPP","SPIDR",55.508316,1.5570928,0,0
"MKPP","LINC02245",53.789722,1.7631489,0,0
"MKPP","NDUFAF6",53.522713,1.6175623,0,0
"MKPP","PTBP2",53.00934,1.5413305,0,0
"MKPP","ZEB1",52.972504,1.572088,0,0
"MKPP","KCNQ5",52.879055,1.7202001,0,0
"MKPP","CASK",52.788044,1.5814245,0,0
"MKPP","QKI",52.678528,1.5068542,0,0
"MKPP","MTMR1",52.509605,1.764683,0,0
"MKPP","SMYD3",52.480453,1.5382249,0,0
"MKPP","COMMD10",51.86671,1.5014608,0,0
"MKPP","RYK",51.863907,1.7177275,0,0
"MKPP","WWP2",51.385845,1.525757,0,0
"MKPP","MAPK14",51.288315,1.8230203,0,0
"MKPP","FNDC3A",51.277763,1.5086695,0,0
"MKPP","SNX25",51.15685,1.6070552,0,0
"MKPP","SOS2",50.837643,1.5159997,0,0
"MKPP","BASP1",50.81806,1.5692621,0,0
"MKPP","BRD7",50.811832,1.6643322,0,0
"MKPP","LINC00278",50.6395,2.1087103,0,0
"MKPP","CAB39",50.40871,1.7022878,0,0
"MKPP","KDM3B",49.950127,1.504002,0,0
"MKPP","FYN",49.912304,1.5746263,0,0
"MKPP","TLK2",49.85118,1.5524548,0,0
"MKPP","XKR6",49.312412,1.517781,0,0
"MKPP","IP6K1",49.150555,1.6152003,0,0
"MKPP","PPP3CB",48.948437,1.5244855,0,0
"MKPP","AGFG1",48.60595,1.511431,0,0
"MKPP","E2F5",48.44818,1.5431268,0,0
"MKPP","CDYL",48.236797,1.6631734,0,0
"MKPP","TM9SF3",47.495674,1.6194028,0,0
"MKPP","USP3-AS1",47.044155,1.7521108,0,0
"MKPP","MXI1",46.743927,1.7142924,0,0
"MKPP","ORAI1",46.741787,1.8635716,0,0
"MKPP","NR1D2",46.678963,1.5895548,0,0
"MKPP","LINC01473",46.40925,1.6563528,0,0
"MKPP","GALNT1",45.37326,1.6374757,0,0
"MKPP","RUFY1",45.367912,1.5763295,0,0
"MKPP","ABHD15-AS1",45.126183,1.9049604,0,0
"MKPP","EXOSC6",45.046467,1.5291086,0,0
"MKPP","GPHN",44.48262,1.6824625,0,0
"MKPP","STXBP5",44.337337,1.5140926,0,0
"MKPP","LYL1",44.28019,1.6712421,0,0
"MKPP","KMT2E-AS1",44.172318,1.6519864,0,0
"MKPP","PPP2R2D",44.15393,1.7294514,0,0
"MKPP","EIF3B",44.079906,1.6223795,0,0
"MKPP","SAMD12",43.89311,2.0195565,0,0
"MKPP","DISP1",43.504997,1.8949817,0,0
"MKPP","GRK5",43.4722,1.520019,0,0
"MKPP","CSGALNACT2",43.130417,1.5098956,0,0
"MKPP","RAB12",43.0496,1.6309578,0,0
"MKPP","KLHL2",42.89332,1.6671252,0,0
"MKPP","LINC00342",42.855404,1.6593676,0,0
"MKPP","R3HCC1L",42.839977,1.524564,0,0
"MKPP","UBE2Q1",42.59719,1.8814435,0,0
"MKPP","STAT5B",42.546112,1.5108622,0,0
"MKPP","TET3",42.057705,1.7375853,0,0
"MKPP","SBF2",41.900707,1.5184828,0,0
"MKPP","ANKUB1",41.886097,1.5131676,0,0
"MKPP","APPL2",41.75014,1.7643877,0,0
"MKPP","NBEAL1",41.67079,1.5771782,0,0
"MKPP","THAP11",41.55831,1.9296198,0,0
"MKPP","DNAJC21",41.1616,1.5504073,0,0
"MKPP","SLC36A4",41.1169,1.6245039,0,0
"MKPP","MTFR1",41.10744,1.6258548,0,0
"MKPP","BTBD7",40.866543,1.5239365,0,0
"MKPP","CCZ1B",40.135815,1.6960001,0,0
"MKPP","MXD4",40.034397,1.7080702,0,0
"MKPP","TTC9",40.02169,1.8545518,0,0
"MKPP","RASGRP1",39.808315,1.5004529,0,0
"MKPP","PDE3B",39.707966,1.6795444,0,0
"MKPP","PPP1R35",39.645798,1.5461161,0,0
"MKPP","CRIPT",39.121925,1.6015875,0,0
"MKPP","SEC22A",38.75211,1.6773055,0,0
"MKPP","PHF10",38.725082,1.5161979,0,0
"MKPP","OPN3",38.231766,1.668292,0,0
"MKPP","ABHD17B",37.96586,1.5919214,0,0
"MKPP","SLC15A4",37.291626,1.5689316,2.24324793308255e-304,5.09824338612768e-303
"MKPP","CLPTM1L",37.185375,1.5669986,1.17607202302702e-302,2.64825976370457e-301
"MKPP","NBEA",36.957367,1.5216898,5.54649668858962e-299,1.23193924179707e-297
"MKPP","MPP7",36.061485,1.6781993,9.1121583800959e-285,1.85736161647622e-283
"MKPP","MAPK9",36.054447,1.7133192,1.17474141208677e-284,2.39202288779541e-283
"MKPP","PMEPA1",35.963295,1.5488256,3.13670348243716e-283,6.31471334818213e-282
"MKPP","CCNQ",35.827957,1.7824049,4.05468430483098e-281,7.99819178194886e-280
"MKPP","F8A1",35.018536,1.9152186,1.17517991573047e-268,2.16127073223814e-267
"MKPP","SLC33A1",34.522522,1.7350414,3.68461144493244e-261,6.44905874368854e-260
"MKPP","FBRSL1",34.409157,1.5115623,1.83956071603932e-259,3.1968493864527e-258
"MKPP","GMEB2",34.035515,1.5633788,6.64899896029167e-254,1.12065126317819e-252
"MKPP","MEF2C-AS2",33.94807,1.8130298,1.30238944134028e-252,2.17450141537086e-251
"MKPP","DBP",33.653942,1.9080602,2.73018443116571e-248,4.44091844963015e-247
