ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001819	positive regulation of cytokine production	37/511	489/18614	2.81336707623392e-08	8.50152402270187e-05	7.25939058412829e-05	PANX2/MCOLN2/CD274/AIF1/BMPR1A/MEFV/TYROBP/IL18R1/HSPA1A/MAPK11/PYHIN1/IL17B/CSF1R/KIR2DL4/FCGR3A/HLA-G/CLNK/NLRP3/TBX21/HTR2B/FCER1G/SLC11A1/ADORA2B/TRPV4/IL1B/BCL3/FCN1/SULF2/NOD2/HYAL2/RBM47/LPL/MDK/ORM1/NLRP12/LILRA5/C5AR1	37
GO:0010975	regulation of neuron projection development	35/511	452/18614	3.80807347041517e-08	8.50152402270187e-05	7.25939058412829e-05	SLC39A12/SEMA6B/ZNF804A/FZD1/PRRX1/DAB1/DGKG/ITPKA/VEGFA/SEMA3G/NDRG4/CYFIP1/MCF2/NCS1/ARHGAP44/EFNB2/VIM/YWHAH/TOX/ROR2/LRRC4C/TRPV4/ROR1/BMPR2/CNR1/CDC20/LRP8/PLXND1/RTN4R/SNAP25/PLXNB2/GFI1/DCC/MDK/MAP6	35
GO:0002274	myeloid leukocyte activation	20/511	240/18614	1.11866829746207e-05	0.0140924688942317	0.0120334584393015	NECTIN2/AIF1/TYROBP/C1QA/FCGR3A/VSIG4/CLNK/PTGDS/FCER1G/SLC11A1/ADORA2B/CXCL8/PRAM1/CD33/CNR1/CST7/SUCNR1/ANXA3/HYAL2/C5AR1	20
GO:0050900	leukocyte migration	27/511	393/18614	1.29305179411534e-05	0.0140924688942317	0.0120334584393015	PDGFD/MCOLN2/AIF1/GAS6/VEGFA/SELPLG/MSMP/CSF1R/PRTN3/VCAM1/TBX21/FCER1G/PADI2/CCL25/CH25H/ROR2/APOD/CXCL8/TRPV4/IL1B/ADTRP/CXCL2/NOD2/MDK/NLRP12/TREM1/C5AR1	27
GO:0002443	leukocyte mediated immunity	27/511	401/18614	1.85163775293055e-05	0.0140924688942317	0.0120334584393015	NECTIN2/KIR3DL1/TYROBP/IL18R1/PRF1/C1QA/KIR2DL4/FCGR3A/HLA-G/EXO1/CLNK/PTGDS/NLRP3/TBX21/FCER1G/ADORA2B/SH2D1B/C1QB/SLAMF7/IL1B/PRAM1/BCL3/NOD2/ANXA3/SLA2/TREM1/C1QC	27
GO:0014002	astrocyte development	8/511	43/18614	1.90018185753777e-05	0.0140924688942317	0.0120334584393015	DLL1/LRP1/C1QA/VIM/ROR2/IL1B/ROR1/C5AR1	8
GO:0061448	connective tissue development	21/511	275/18614	2.54893872810785e-05	0.0140924688942317	0.0120334584393015	PDGFD/SH3PXD2B/HOXA3/BMP8A/EVC/BMPR1A/BMP6/PRRX1/FGF2/TIMP1/CHRDL2/ACTA2/TGFBI/TRPV4/BMPR2/GDF7/SULF2/BMP8B/HYAL2/MDK/PPARG	21
GO:0048708	astrocyte differentiation	11/511	87/18614	2.55246229323041e-05	0.0140924688942317	0.0120334584393015	GAP43/DLL1/DAB1/LRP1/C1QA/VIM/ROR2/IL1B/ROR1/ID2/C5AR1	11
GO:0031345	negative regulation of cell projection organization	17/511	195/18614	2.84058723511949e-05	0.0140924688942317	0.0120334584393015	SEMA6B/DAB1/SEMA3G/SPRY2/MCF2/TESK1/ARHGAP44/ARHGAP24/EFNB2/VIM/YWHAH/TRPV4/TBC1D30/RAP1GAP/RTN4R/GFI1/DCC	17
GO:0032732	positive regulation of interleukin-1 production	10/511	74/18614	3.30911890632127e-05	0.0147752159167245	0.0126164512407323	PANX2/MEFV/TYROBP/PYHIN1/NLRP3/NOD2/LPL/ORM1/NLRP12/LILRA5	10
GO:0032731	positive regulation of interleukin-1 beta production	9/511	63/18614	5.22810585089413e-05	0.0194529105202019	0.0166107012209987	MEFV/TYROBP/PYHIN1/NLRP3/NOD2/LPL/ORM1/NLRP12/LILRA5	9
GO:0060393	regulation of pathway-restricted SMAD protein phosphorylation	9/511	63/18614	5.22810585089413e-05	0.0194529105202019	0.0166107012209987	BMP8A/BMPR1A/BMP6/LRP1/BMPER/BMPR2/GDF7/BMP8B/PPARG	9
GO:0032602	chemokine production	11/511	99/18614	8.54914396034305e-05	0.0210519360756262	0.0179760977110669	MCOLN2/AIF1/MEFV/CSF1R/ADORA2B/APOD/TRPV4/IL1B/NOD2/LPL/TREM1	11
GO:0060389	pathway-restricted SMAD protein phosphorylation	9/511	67/18614	8.57142869174243e-05	0.0210519360756262	0.0179760977110669	BMP8A/BMPR1A/BMP6/LRP1/BMPER/BMPR2/GDF7/BMP8B/PPARG	9
GO:0090287	regulation of cellular response to growth factor stimulus	23/511	345/18614	8.86126401055312e-05	0.0210519360756262	0.0179760977110669	GREM2/CD63/DLL1/FZD1/HSPA1A/SPRED2/FGF2/VEGFA/SPRED1/SPRY2/BMPER/CYFIP1/LATS2/CHRDL2/PRDM16/IL1B/BMPR2/HTRA3/SKOR1/SULF2/HTRA1/FAM20C/PPARG	23
GO:0002263	cell activation involved in immune response	21/511	300/18614	8.99661293159401e-05	0.0210519360756262	0.0179760977110669	DLL1/TYROBP/IL18R1/LRP1/FCGR3A/EXO1/CLNK/PTGDS/NLRP3/TBX21/FCER1G/SLC11A1/ADORA2B/SH2D1B/PRAM1/BCL3/SUCNR1/ANXA3/LGALS1/MYB/MDK	21
GO:0002449	lymphocyte mediated immunity	21/511	300/18614	8.99661293159401e-05	0.0210519360756262	0.0179760977110669	NECTIN2/KIR3DL1/IL18R1/PRF1/C1QA/KIR2DL4/FCGR3A/HLA-G/EXO1/CLNK/NLRP3/TBX21/FCER1G/SH2D1B/C1QB/SLAMF7/IL1B/BCL3/NOD2/SLA2/C1QC	21
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	20/511	278/18614	9.06706619965606e-05	0.0210519360756262	0.0179760977110669	CEACAM6/FAT2/NECTIN2/DSG3/LRFN3/DAB1/PCDHGB4/PCDHGB5/PCDHGB1/VCAM1/PCDHGC3/DSC2/LRRC4C/CEACAM8/CDH23/PCDHB9/PCDHGB7/CLDN2/PLXNB2/CLDN23	20
GO:0050729	positive regulation of inflammatory response	14/511	154/18614	9.07739252555602e-05	0.0210519360756262	0.0179760977110669	MEFV/NLRP3/ADORA2B/TNFRSF1A/TRPV4/IL1B/CNR1/SUCNR1/LGALS1/HYAL2/LPL/MDK/NLRP12/LILRA5	14
GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	21/511	301/18614	9.42975860050446e-05	0.0210519360756262	0.0179760977110669	GREM2/BMP8A/BMPR1A/FZD1/BMP6/HSPA1A/SPRED2/LRP1/SPRED1/SPRY2/BMPER/LATS2/CHRDL2/PRDM16/BMPR2/HTRA3/GDF7/SKOR1/HTRA1/BMP8B/PPARG	21
GO:0045765	regulation of angiogenesis	23/511	349/18614	0.000105296165198796	0.022387970362506	0.0191169278370948	SLC39A12/STAB1/FASLG/COL4A2/DLL1/ADM/VASH1/FGF2/VEGFA/SPRED1/SPRY2/BMPER/HLA-G/FOXC1/RAPGEF3/CXCL8/IL1B/CEMIP2/PLXND1/ANXA3/MDK/PPARG/C5AR1	23
GO:0097529	myeloid leukocyte migration	18/511	241/18614	0.000126054194434222	0.0251980810118877	0.0215164612306377	PDGFD/MCOLN2/AIF1/VEGFA/MSMP/CSF1R/PRTN3/FCER1G/CCL25/ROR2/CXCL8/TRPV4/IL1B/CXCL2/NOD2/MDK/TREM1/C5AR1	18
