"group","gene","scores","logfoldchanges","pvals","pvals_adj"
"SKPP","VIM",76.638306,1.9267002,0,0
"SKPP","IGLC3",67.34393,3.4234078,0,0
"SKPP","CD63",63.90103,2.330831,0,0
"SKPP","LGALS1",61.394234,2.1929297,0,0
"SKPP","ODC1",61.117527,1.8938857,0,0
"SKPP","BCL2",59.827934,1.5881813,0,0
"SKPP","S100A6",59.76566,1.5303482,0,0
"SKPP","ARHGAP24",59.296307,1.5825195,0,0
"SKPP","NDUFA13",59.267265,1.6689482,0,0
"SKPP","EIF4A1",58.06112,1.6402605,0,0
"SKPP","TUBA1B",57.393684,1.583169,0,0
"SKPP","VOPP1",56.2678,1.5851971,0,0
"SKPP","ATXN1",55.919094,2.3415968,0,0
"SKPP","SFMBT1",55.879944,1.9308583,0,0
"SKPP","IGLC2",55.094482,2.1501102,0,0
"SKPP","SRGN",54.932976,1.889922,0,0
"SKPP","ROR1",54.245472,4.3930182,0,0
"SKPP","S100A4",53.153214,1.5655652,0,0
"SKPP","S100A11",52.950314,2.004859,0,0
"SKPP","DDIT4",50.756905,1.8087193,0,0
"SKPP","BMPR2",50.098534,2.0038612,0,0
"SKPP","ARL2",50.004578,2.3140583,0,0
"SKPP","CEMIP2",48.705875,1.5519158,0,0
"SKPP","SAMSN1",47.586384,1.9161751,0,0
"SKPP","CPED1",47.28336,1.9039569,0,0
"SKPP","CHMP4A",45.75716,1.5379827,0,0
"SKPP","ID3",45.590103,2.1354115,0,0
"SKPP","YWHAH",45.367424,1.9285257,0,0
"SKPP","PTPN12",44.8283,1.8832157,0,0
"SKPP","UBASH3B",43.820656,2.8253944,0,0
"SKPP","ELL2",43.381306,1.9285481,0,0
"SKPP","TRAC",42.272415,2.1441796,0,0
"SKPP","GSPT1",42.011227,1.5305563,0,0
"SKPP","DGKG",41.574135,3.21349,0,0
"SKPP","LYZ",40.580086,1.6688242,0,0
"SKPP","SULF2",39.107723,2.0543063,0,0
"SKPP","EFHD2",38.47493,1.5514637,0,0
"SKPP","DLG2",38.376167,2.1376011,0,0
"SKPP","ST3GAL5",38.254295,1.7104834,0,0
"SKPP","RGS13",38.213276,6.4341407,0,0
"SKPP","TESC",37.645546,2.3420365,3.86968429296429e-310,1.6789796506591e-308
"SKPP","TNS3",37.239925,1.5165555,1.54233687575912e-303,6.44881367197745e-302
"SKPP","ATP1B3",37.226105,1.5218136,2.5812884687979e-303,1.07469473951994e-301
"SKPP","ACSL1",36.600025,2.3628955,2.85756546573854e-293,1.11166681975292e-291
"SKPP","CLNK",35.959637,2.1431518,3.57844853356901e-283,1.29672372046071e-281
"SKPP","APOD",35.953957,5.747894,4.38968964368427e-283,1.58775317832928e-281
"SKPP","ECPAS",35.761734,1.5523628,4.3471762872689e-280,1.54946348978648e-278
"SKPP","RGPD2",35.15967,2.5421994,8.27167006534209e-271,2.75741124086225e-269
"SKPP","ABCA6",35.04045,4.5058,5.45033330755505e-269,1.79549027209154e-267
"SKPP","ADTRP",34.646652,4.734111,5.01709713418365e-263,1.56578240385496e-261
"SKPP","PYHIN1",34.104504,1.5345657,6.3251085759571e-255,1.8336255498419e-253
"SKPP","CYSTM1",33.50153,1.5979404,4.57862548928563e-246,1.23578680792195e-244
"SKPP","RABL3",33.282444,1.542983,6.93053528554863e-243,1.82771852382231e-241
"SKPP","WEE1",33.13947,1.881864,8.03136891111815e-241,2.0624386726084e-239
"SKPP","DNMBP",33.13755,1.6480021,8.55913260940813e-241,2.19221344111123e-239
"SKPP","C1orf122",32.51327,1.6862911,6.92395189616736e-232,1.66857008256408e-230
"SKPP","ETFDH",32.150066,1.6032411,8.81308214614367e-227,2.05547546407317e-225
"SKPP","CPT1A",31.62567,1.6207533,1.6386365534279e-219,3.66036987185813e-218
"SKPP","AFDN",31.262959,1.7507256,1.4883361203576e-214,3.16907085997361e-213
"SKPP","MCOLN2",31.152454,1.5367179,4.6982244339049e-213,9.90677324597533e-212
"SKPP","FCER1G",30.66634,2.2162828,1.60045623765827e-206,3.2622632977601e-205
"SKPP","TOX",30.379585,1.7406616,1.02220334134713e-202,2.00626629723978e-201
"SKPP","CRYM",30.093002,4.3948584,5.98255611825095e-199,1.14771233452877e-197
"SKPP","FCN1",30.092518,2.356176,6.07069246807187e-199,1.16348002169667e-197
"SKPP","RAB20",29.819412,3.4820395,2.18884918651813e-195,4.08696573299491e-194
"SKPP","CNR1",29.626152,2.5915315,6.88177912882483e-193,1.25267585109622e-191
"SKPP","LINC01754",29.57509,2.739905,3.12519495559301e-192,5.65715216383386e-191
"SKPP","ATF5",29.537077,2.2673824,9.62417121302305e-192,1.73732271491176e-190
"SKPP","RHOC",29.506083,1.6027898,2.40547453464678e-191,4.33428413388289e-190
"SKPP","ACAA2",29.130062,1.5522703,1.49456716402855e-186,2.58811418280626e-185
"SKPP","RBM47",29.129362,1.8507925,1.52541516811445e-186,2.63919752516919e-185
"SKPP","FBXO10",28.88918,1.5022844,1.63276499466964e-183,2.79038824591227e-182
"SKPP","RBM15B",28.841429,1.6039637,6.48997415889691e-183,1.1062353165618e-181
"SKPP","SLAMF7",28.724762,2.8294287,1.87227646129019e-181,3.14208454498512e-180
"SKPP","BBC3",28.602743,2.032476,6.21103805396307e-180,1.02910747366596e-178
"SKPP","MAST4",28.469341,1.6177622,2.80839878266045e-178,4.57194237762892e-177
"SKPP","ERN1",28.380054,1.9662534,3.56468231663596e-177,5.7128340353753e-176
"SKPP","TMED7",28.182964,1.7380036,9.4581320929635e-175,1.48536700477616e-173
"SKPP","FNDC3B",28.164352,1.6386799,1.59893549381693e-174,2.50905932181313e-173
"SKPP","TYROBP",28.116653,1.7557684,6.13044071948435e-174,9.58916578727976e-173
"SKPP","ZNF804A",27.631588,1.6186044,4.64551185091669e-168,6.92333403646137e-167
"SKPP","TFEC",27.450182,1.5448364,6.91284239532107e-166,1.00572862447318e-164
"SKPP","DMD",27.344776,1.8760856,1.24596338729617e-164,1.79404058591695e-163
"SKPP","TPGS1",27.154163,1.6546335,2.26107812247988e-162,3.19687692924033e-161
"SKPP","TIMP1",27.09893,1.6217481,1.01363524977255e-161,1.42185050663436e-160
"SKPP","KLF11",26.74604,1.5698806,1.37292434666756e-157,1.87215216833386e-156
"SKPP","HOMER3",26.70109,2.5089839,4.57157049788016e-157,6.22089648835319e-156
"SKPP","LINC02365",26.417547,6.361571,8.61469432226287e-154,1.13977240363786e-152
"SKPP","PIGR",26.099371,3.8360698,3.70631981133712e-150,4.77454022832421e-149
"SKPP","AIF1",26.067719,1.9302721,8.47262630810946e-150,1.08589957648528e-148
"SKPP","COL9A3",25.729214,1.6600674,5.50844911253304e-146,6.83075616185339e-145
"SKPP","BCL3",25.469984,1.5124708,4.24093985009685e-143,5.1194763100984e-142
"SKPP","SPATS2L",25.41588,2.9993632,1.68355646302749e-142,2.02482070488764e-141
"SKPP","DAB1",25.391771,1.5031677,3.10904347242933e-142,3.73008967924569e-141
"SKPP","B3GLCT",25.297338,1.5264663,3.41700661558106e-141,4.0671523998595e-140
"SKPP","GAS7",25.12144,1.5796044,2.90036694852371e-139,3.37823693147095e-138
"SKPP","PRDM1",24.324688,1.7176573,1.07454457625711e-130,1.14213407214553e-129
"SKPP","BMPR1A",24.318924,1.6803073,1.23651123575623e-130,1.31357501961335e-129
"SKPP","SYT1",24.00763,2.0496855,2.31467157250517e-127,2.37387281607868e-126
"SKPP","ARHGAP44",23.942692,3.0709374,1.10108743212807e-126,1.12160743737023e-125
"SKPP","LINC00944",23.7019,1.8330305,3.44654714157144e-124,3.43216460388143e-123
"SKPP","PDGFD",23.007301,2.3451238,3.9393252387621e-117,3.6988827385843e-116
"SKPP","ID2",22.723318,1.6807262,2.63530215691551e-114,2.39737762001501e-113
"SKPP","DUSP5",22.64133,1.7139195,1.69840562061805e-113,1.52801844525306e-112
"SKPP","CAMKK1",22.53854,2.3741736,1.73961208298395e-112,1.55579201278931e-111
"SKPP","RXRA",22.503304,2.777261,3.85268804619004e-112,3.43459679671283e-111
"SKPP","GZMA",22.366009,1.8263763,8.43532236489201e-111,7.40854524399492e-110
"SKPP","HSPA1A",21.930777,1.6563892,1.32155034146913e-106,1.10560483462453e-105
"SKPP","BCAR3",21.8459,1.582534,8.50350275642775e-106,7.05967509282046e-105
"SKPP","TXLNB",21.70903,2.079249,1.68577567993095e-104,1.38022002112505e-103
"SKPP","SELPLG",21.249945,1.5100256,3.30056711596264e-100,2.60320424527033e-99
"SKPP","UGGT2",21.154533,2.0976632,2.50652021964866e-99,1.95642551488173e-98
"SKPP","CABLES1",21.115473,4.2784634,5.73339074331373e-99,4.44672968946346e-98
"SKPP","CST7",20.83502,1.5708095,2.08425727523863e-96,1.56924764762868e-95
"SKPP","TOX2",20.513746,3.1628964,1.6230065361596e-93,1.18769603214551e-92
"SKPP","SLC25A29",20.429403,1.7215248,9.16133368999895e-93,6.63222262840915e-92
"SKPP","BFSP2",20.233053,2.2002282,5.0102093896445e-91,3.57548422088124e-90
"SKPP","ADAM29",20.223663,3.653122,6.06120106547385e-91,4.31606923031995e-90
"SKPP","FGFBP2",20.198977,2.0683074,9.99472920544447e-91,7.09897862403403e-90
"SKPP","MAFG",19.98586,1.7902346,7.31159319658664e-89,5.07712049931893e-88
"SKPP","FMNL2",19.874601,1.9731367,6.75195443785298e-88,4.63912375140123e-87
"SKPP","TNFSF9",19.772936,2.213884,5.09240010054149e-87,3.45760184480902e-86
"SKPP","TBX21",19.770445,1.6688634,5.35020424670428e-87,3.6313838605449e-86
"SKPP","FPR1",19.704435,2.9904752,1.97529835619319e-86,1.33147220923143e-85
