group,names,scores,logfoldchanges,pvals,pvals_adj
MKPP,RPS2,118.009285,1.6769346,0.0,0.0
MKPP,KLF2,94.3961,2.2828786,0.0,0.0
MKPP,EEF1G,94.2212,2.016669,0.0,0.0
MKPP,JUND,89.48298,2.3234437,0.0,0.0
MKPP,U2AF1,83.81748,3.3202274,0.0,0.0
MKPP,GNAS,81.52083,1.9252766,0.0,0.0
MKPP,RPS10,80.398636,2.3908162,0.0,0.0
MKPP,CD81,80.15928,2.2107494,0.0,0.0
MKPP,ATP5PO,77.819466,2.2506704,0.0,0.0
MKPP,SLC35F1,77.78609,3.988063,0.0,0.0
MKPP,OOEP,76.96107,2.462689,0.0,0.0
MKPP,ARHGEF18,75.46872,2.236903,0.0,0.0
MKPP,IFI30,75.44536,3.4655628,0.0,0.0
MKPP,HLA-DRB1,75.259636,1.3800383,0.0,0.0
MKPP,NDUFB8,74.15144,2.34922,0.0,0.0
MKPP,TXNRD1,71.9617,2.2380085,0.0,0.0
MKPP,CHPT1,71.88904,1.9885832,0.0,0.0
MKPP,CUL3,71.666435,1.9828969,0.0,0.0
MKPP,PLEKHA7,71.406784,3.2431128,0.0,0.0
MKPP,SMAP2,71.306915,1.7588003,0.0,0.0
MKPP,PDE7A,70.858826,1.8777761,0.0,0.0
MKPP,P2RX5,70.72739,2.0524511,0.0,0.0
MKPP,RPS20,70.41719,1.2628285,0.0,0.0
MKPP,GNAI2,70.04514,1.8639625,0.0,0.0
MKPP,STEAP1B,68.45362,2.0652819,0.0,0.0
MKPP,CTSZ,68.43388,2.009716,0.0,0.0
MKPP,LYN,68.37604,1.7799706,0.0,0.0
MKPP,KIZ-AS1,67.92663,2.9184997,0.0,0.0
MKPP,SIK3,67.14749,1.8152931,0.0,0.0
MKPP,BRI3,66.74847,2.435957,0.0,0.0
MKPP,APOO,66.73353,3.872615,0.0,0.0
MKPP,RPL23,66.701645,1.2104162,0.0,0.0
MKPP,TAF10,66.67737,2.2179406,0.0,0.0
MKPP,CCNY,66.60047,2.1101506,0.0,0.0
MKPP,UBE2R2,66.561264,1.9865713,0.0,0.0
MKPP,TXNIP,66.49006,1.183123,0.0,0.0
MKPP,MZT2B,66.31683,1.7680761,0.0,0.0
MKPP,UTY,66.090546,2.1236508,0.0,0.0
MKPP,PPP1R14B,66.03949,3.1023982,0.0,0.0
MKPP,HNRNPD,65.96685,1.6784229,0.0,0.0
MKPP,IL2RG,65.909904,1.7919861,0.0,0.0
MKPP,URI1,65.26132,1.9763943,0.0,0.0
MKPP,MBD2,65.228386,1.9926265,0.0,0.0
MKPP,STK24,64.87102,2.0854936,0.0,0.0
MKPP,ARIH1,64.11017,1.7737422,0.0,0.0
MKPP,VEGFB,64.08937,2.3541622,0.0,0.0
MKPP,CSNK2B,64.06762,1.9831402,0.0,0.0
MKPP,ETV6,63.837765,1.9492416,0.0,0.0
MKPP,MED13L,63.384243,1.6784428,0.0,0.0
MKPP,SNHG7,63.24463,1.642367,0.0,0.0
MKPP,RPS11,63.223618,0.82996804,0.0,0.0
MKPP,FAF1,63.17448,1.7592736,0.0,0.0
MKPP,ASXL1,63.15556,1.7625822,0.0,0.0
MKPP,STAG1,62.304695,1.6313517,0.0,0.0
MKPP,ARHGAP15,61.794106,1.565259,0.0,0.0
MKPP,UBE2M,61.677517,2.6905608,0.0,0.0
MKPP,SRSF9,61.392082,1.7221426,0.0,0.0
MKPP,MAP2K2,61.36461,2.1232195,0.0,0.0
MKPP,AMBRA1,61.298084,1.9536009,0.0,0.0
MKPP,CDC42SE2,61.28707,1.5484077,0.0,0.0
MKPP,CDK14,61.242756,1.6518657,0.0,0.0
MKPP,PPP3R1,60.97026,1.7388264,0.0,0.0
MKPP,IRF9,60.87876,2.1820316,0.0,0.0
MKPP,PLEKHO1,60.773933,1.8992833,0.0,0.0
MKPP,FBXL17,60.734844,1.7232316,0.0,0.0
MKPP,S100A9,60.73365,2.4677603,0.0,0.0
MKPP,TNRC6A,60.69105,1.7506546,0.0,0.0
MKPP,PLCL2,60.48939,1.6276132,0.0,0.0
MKPP,TMEM131,60.412766,1.6285957,0.0,0.0
MKPP,TRAPPC10,60.350742,1.9530351,0.0,0.0
MKPP,KLF12,60.290092,1.6991687,0.0,0.0
MKPP,NCK2,60.23145,1.6394157,0.0,0.0
MKPP,GNB1,60.22934,1.63066,0.0,0.0
MKPP,RPS6KA3,60.071148,1.7471936,0.0,0.0
MKPP,USP9Y,60.003376,2.2048984,0.0,0.0
MKPP,MGAT5,59.906162,1.6376349,0.0,0.0
MKPP,KLHL5,59.8301,1.7521602,0.0,0.0
MKPP,CHST11,59.731873,1.735593,0.0,0.0
MKPP,TMBIM4,59.59607,1.5561215,0.0,0.0
MKPP,ZFAND3,59.575302,1.5706676,0.0,0.0
MKPP,COP1,59.456696,1.6062846,0.0,0.0
MKPP,SMAD4,59.32397,1.8764395,0.0,0.0
MKPP,CCSER1,59.323452,1.8494194,0.0,0.0
MKPP,DLEU2,59.266865,1.582281,0.0,0.0
MKPP,SNX9,58.88446,1.794964,0.0,0.0
MKPP,ARPC4,58.686558,1.6674362,0.0,0.0
MKPP,MAP4K4,58.4386,1.4999977,0.0,0.0
MKPP,FAM107B,58.35467,1.5097768,0.0,0.0
MKPP,PICALM,58.35043,1.646383,0.0,0.0
MKPP,PACS1,57.975018,1.5067496,0.0,0.0
MKPP,KCMF1,57.84935,1.8689425,0.0,0.0
MKPP,AKT3,57.78997,1.6122806,0.0,0.0
MKPP,ACBD3,57.738583,1.7123456,0.0,0.0
MKPP,YPEL3,57.713123,1.5650765,0.0,0.0
MKPP,AFF3,57.44192,1.4612355,0.0,0.0
MKPP,RFX7,57.38931,1.7643219,0.0,0.0
MKPP,RNF38,57.31535,1.6841594,0.0,0.0
MKPP,RPS17,57.304783,1.348092,0.0,0.0
MKPP,RBM38,57.175438,1.7979697,0.0,0.0
MKPP,BTG1,57.16306,1.0919662,0.0,0.0
MKPP,MAP2K4,57.105335,1.9950453,0.0,0.0
MKPP,UST,57.03947,1.8264918,0.0,0.0
MKPP,DYRK1A,56.86631,1.5878924,0.0,0.0
MKPP,RAPGEF1,56.816597,1.6153436,0.0,0.0
MKPP,NFKB1,56.801826,1.6246208,0.0,0.0
MKPP,FKBP5,56.66994,2.3790927,0.0,0.0
MKPP,TRAF3,56.6644,1.6184714,0.0,0.0
MKPP,BRAF,56.65703,1.5397778,0.0,0.0
MKPP,CDV3,56.34006,1.8585203,0.0,0.0
MKPP,NDUFC2,56.276295,1.919234,0.0,0.0
MKPP,SSH2,56.195858,1.4242262,0.0,0.0
MKPP,VPS13B,56.19102,1.4693971,0.0,0.0
MKPP,PIP4K2A,56.099957,1.534485,0.0,0.0
MKPP,BCL2,56.097805,1.4732571,0.0,0.0
MKPP,GLS,55.919636,1.4885775,0.0,0.0
MKPP,TRIO,55.913265,1.5082963,0.0,0.0
MKPP,HIPK2,55.89297,2.407445,0.0,0.0
MKPP,ZC3H12B,55.875362,3.558987,0.0,0.0
MKPP,HECA,55.868256,1.6661905,0.0,0.0
MKPP,FBXO11,55.839462,1.585218,0.0,0.0
