"group","gene","scores","logfoldchanges","pvals","pvals_adj","unique_group"
"MKPP","RPS2",118.009285,1.6769346,0,0,"MKPP_unique_upregulated"
"MKPP","ARHGEF18",75.46872,2.236903,0,0,"MKPP_unique_upregulated"
"MKPP","SMAP2",71.306915,1.7588003,0,0,"MKPP_unique_upregulated"
"MKPP","PDE7A",70.858826,1.8777761,0,0,"MKPP_unique_upregulated"
"MKPP","P2RX5",70.72739,2.0524511,0,0,"MKPP_unique_upregulated"
"MKPP","STEAP1B",68.45362,2.0652819,0,0,"MKPP_unique_upregulated"
"MKPP","LYN",68.37604,1.7799706,0,0,"MKPP_unique_upregulated"
"MKPP","SIK3",67.14749,1.8152931,0,0,"MKPP_unique_upregulated"
"MKPP","UTY",66.090546,2.1236508,0,0,"MKPP_unique_upregulated"
"MKPP","HNRNPD",65.96685,1.6784229,0,0,"MKPP_unique_upregulated"
"MKPP","ARIH1",64.11017,1.7737422,0,0,"MKPP_unique_upregulated"
"MKPP","MED13L",63.384243,1.6784428,0,0,"MKPP_unique_upregulated"
"MKPP","SNHG7",63.24463,1.642367,0,0,"MKPP_unique_upregulated"
"MKPP","FAF1",63.17448,1.7592736,0,0,"MKPP_unique_upregulated"
"MKPP","ASXL1",63.15556,1.7625822,0,0,"MKPP_unique_upregulated"
"MKPP","STAG1",62.304695,1.6313517,0,0,"MKPP_unique_upregulated"
"MKPP","ARHGAP15",61.794106,1.565259,0,0,"MKPP_unique_upregulated"
"MKPP","CDC42SE2",61.28707,1.5484077,0,0,"MKPP_unique_upregulated"
"MKPP","PPP3R1",60.97026,1.7388264,0,0,"MKPP_unique_upregulated"
"MKPP","FBXL17",60.734844,1.7232316,0,0,"MKPP_unique_upregulated"
"MKPP","PLCL2",60.48939,1.6276132,0,0,"MKPP_unique_upregulated"
"MKPP","TMEM131",60.412766,1.6285957,0,0,"MKPP_unique_upregulated"
"MKPP","KLF12",60.290092,1.6991687,0,0,"MKPP_unique_upregulated"
"MKPP","NCK2",60.23145,1.6394157,0,0,"MKPP_unique_upregulated"
"MKPP","RPS6KA3",60.071148,1.7471936,0,0,"MKPP_unique_upregulated"
"MKPP","USP9Y",60.003376,2.2048984,0,0,"MKPP_unique_upregulated"
"MKPP","MGAT5",59.906162,1.6376349,0,0,"MKPP_unique_upregulated"
"MKPP","KLHL5",59.8301,1.7521602,0,0,"MKPP_unique_upregulated"
"MKPP","CHST11",59.731873,1.735593,0,0,"MKPP_unique_upregulated"
"MKPP","TMBIM4",59.59607,1.5561215,0,0,"MKPP_unique_upregulated"
"MKPP","ZFAND3",59.575302,1.5706676,0,0,"MKPP_unique_upregulated"
"MKPP","COP1",59.456696,1.6062846,0,0,"MKPP_unique_upregulated"
"MKPP","CCSER1",59.323452,1.8494194,0,0,"MKPP_unique_upregulated"
"MKPP","DLEU2",59.266865,1.582281,0,0,"MKPP_unique_upregulated"
"MKPP","ARPC4",58.686558,1.6674362,0,0,"MKPP_unique_upregulated"
"MKPP","FAM107B",58.35467,1.5097768,0,0,"MKPP_unique_upregulated"
"MKPP","PACS1",57.975018,1.5067496,0,0,"MKPP_unique_upregulated"
"MKPP","AKT3",57.78997,1.6122806,0,0,"MKPP_unique_upregulated"
"MKPP","ACBD3",57.738583,1.7123456,0,0,"MKPP_unique_upregulated"
"MKPP","RFX7",57.38931,1.7643219,0,0,"MKPP_unique_upregulated"
"MKPP","RNF38",57.31535,1.6841594,0,0,"MKPP_unique_upregulated"
"MKPP","UST",57.03947,1.8264918,0,0,"MKPP_unique_upregulated"
"MKPP","DYRK1A",56.86631,1.5878924,0,0,"MKPP_unique_upregulated"
"MKPP","RAPGEF1",56.816597,1.6153436,0,0,"MKPP_unique_upregulated"
"MKPP","NFKB1",56.801826,1.6246208,0,0,"MKPP_unique_upregulated"
"MKPP","TRAF3",56.6644,1.6184714,0,0,"MKPP_unique_upregulated"
"MKPP","BRAF",56.65703,1.5397778,0,0,"MKPP_unique_upregulated"
"MKPP","PIP4K2A",56.099957,1.534485,0,0,"MKPP_unique_upregulated"
