group,names,scores,logfoldchanges,pvals,pvals_adj
MKPP,IFI30,200.22604,3.671194,0.0,0.0
MKPP,BRI3,189.49478,3.0003052,0.0,0.0
MKPP,DPYD,167.7236,3.049066,0.0,0.0
MKPP,CEBPD,165.35709,2.5959308,0.0,0.0
MKPP,ARHGAP26,165.02515,3.021708,0.0,0.0
MKPP,RPS10,162.95622,3.2738583,0.0,0.0
MKPP,ZFAND3,155.74112,2.938983,0.0,0.0
MKPP,EEF1G,153.09105,2.4888482,0.0,0.0
MKPP,LYN,149.94742,2.2074876,0.0,0.0
MKPP,MED13L,149.3996,2.6792462,0.0,0.0
MKPP,FKBP5,148.47237,2.9552958,0.0,0.0
MKPP,ZSWIM6,148.40598,2.9711843,0.0,0.0
MKPP,DLEU2,148.32939,3.4203327,0.0,0.0
MKPP,COP1,145.6503,2.8290508,0.0,0.0
MKPP,PICALM,144.03531,2.3612757,0.0,0.0
MKPP,PLXDC2,143.25018,2.1920688,0.0,0.0
MKPP,SIK3,142.99959,2.7250404,0.0,0.0
MKPP,LRMDA,142.88423,2.7547162,0.0,0.0
MKPP,GAB2,142.41422,2.7546852,0.0,0.0
MKPP,SBF2,141.75357,2.751883,0.0,0.0
MKPP,RBM47,141.6817,2.4569778,0.0,0.0
MKPP,SLC8A1,141.15057,2.6189113,0.0,0.0
MKPP,ARHGAP15,137.44547,2.6778991,0.0,0.0
MKPP,DIAPH2,137.34413,2.6308355,0.0,0.0
MKPP,QKI,136.62518,2.1777756,0.0,0.0
MKPP,PTPRJ,136.00237,2.6927505,0.0,0.0
MKPP,DOCK8,135.8559,1.9467789,0.0,0.0
MKPP,IRAK3,135.12375,2.230285,0.0,0.0
MKPP,SSH2,135.10992,2.1987429,0.0,0.0
MKPP,ETV6,135.08536,2.373403,0.0,0.0
MKPP,FNDC3B,133.26259,2.4685986,0.0,0.0
MKPP,ARL15,132.9245,3.0963352,0.0,0.0
MKPP,ZEB2,132.59673,1.7563554,0.0,0.0
MKPP,CHST11,132.43991,2.585949,0.0,0.0
MKPP,NT5C2,131.42946,2.7874534,0.0,0.0
MKPP,SIPA1L1,131.13577,2.5024905,0.0,0.0
MKPP,SPIDR,131.11836,2.4986677,0.0,0.0
MKPP,JARID2,131.01715,2.3463948,0.0,0.0
MKPP,PRKCB,129.9369,1.951715,0.0,0.0
MKPP,NUMB,128.66093,2.0709894,0.0,0.0
MKPP,ATG7,128.56357,2.4732363,0.0,0.0
MKPP,RPS2,127.67888,1.1119188,0.0,0.0
MKPP,FBXW7,127.16745,2.487698,0.0,0.0
MKPP,ATP5PO,127.06387,2.604663,0.0,0.0
MKPP,EIF4A1,126.99192,2.0352483,0.0,0.0
MKPP,SLCO3A1,126.1107,2.2819965,0.0,0.0
MKPP,ACSL1,125.39548,2.5085113,0.0,0.0
MKPP,PLCB1,124.692795,2.6479495,0.0,0.0
MKPP,MAML3,124.63729,2.6043694,0.0,0.0
MKPP,RPS17,124.565834,2.004049,0.0,0.0
MKPP,ASAP1,123.88498,2.2607553,0.0,0.0
MKPP,MEF2A,123.74086,2.2859862,0.0,0.0
MKPP,DENND1A,123.60866,2.2391038,0.0,0.0
MKPP,UBE2R2,123.454315,2.059057,0.0,0.0
MKPP,TRPS1,123.272446,2.4456556,0.0,0.0
MKPP,TAF10,122.93421,2.7356877,0.0,0.0
MKPP,ZDHHC20,122.57752,2.2547812,0.0,0.0
MKPP,AOAH,122.041725,1.8172022,0.0,0.0
MKPP,AGFG1,121.888504,2.3471658,0.0,0.0
MKPP,EIF4G3,121.53613,2.4876719,0.0,0.0
MKPP,KDM2A,121.52938,2.1371615,0.0,0.0
MKPP,VMP1,121.413895,1.734299,0.0,0.0
MKPP,RNF149,121.058525,1.7415497,0.0,0.0
MKPP,VPS13B,120.97441,2.4147103,0.0,0.0
MKPP,WDFY3,120.72965,2.4865956,0.0,0.0
MKPP,SMAP2,120.57544,1.7488445,0.0,0.0
