names,scores,logfoldchanges,pvals,pvals_adj
USP15,20.548048,1.6349958,8.012188845940893e-94,5.2260837112457126e-92
PPP3R1,18.209255,1.5633632,4.358393646804604e-74,1.9741909000155672e-72
RUNX1,17.897367,1.5006636,1.236313734508466e-71,5.3286755852118194e-70
UTY,16.689919,1.7572144,1.551809592429153e-62,5.686481293006304e-61
ATXN7,15.796479,1.6186229,3.28983063619172e-56,1.0300064942239933e-54
RAPGEF2,14.843985,1.5575446,7.609808674887545e-50,2.071053353966613e-48
ABCC1,14.585471,1.568803,3.4751343036928605e-48,8.8890755627009e-47
ARHGEF18,14.40251,1.566121,4.989817479926431e-47,1.2390957924771625e-45
CACUL1,14.061644,1.5380126,6.53509871426563e-45,1.5444300922795877e-43
ZMYM4,13.33282,1.5013998,1.491514845020474e-40,3.175839226045771e-39
TSNAX,13.22812,1.6857464,6.037923665307187e-40,1.26094013108571e-38
SDCCAG8,12.880435,1.5144117,5.800791468255156e-38,1.1249741075403062e-36
SCMH1,12.862415,1.6247381,7.325124827470126e-38,1.4163838203946188e-36
KDM5B,12.477517,1.5341377,9.902669550170301e-36,1.7810242440968058e-34
CCZ1B,12.191751,1.5368463,3.439523394817574e-34,5.8832686879187315e-33
PLEKHM2,11.84622,1.5508509,2.2511791817336562e-32,3.6226212358687653e-31
PLEKHA7,11.671515,1.6734197,1.782198006793916e-31,2.7655868831834535e-30
GLRX5,11.426247,1.8029631,3.091873063410737e-30,4.5730742331686547e-29
PPP1R14B,11.294246,1.8311306,1.4010185275552695e-29,2.0173017326859098e-28
EBPL,11.101973,1.7678933,1.2270561273623044e-28,1.7114065787758783e-27
CHN2,10.887293,3.1808686,1.3252135825966093e-27,1.7859352193009954e-26
SLC35D2,10.78155,1.8558582,4.2073212736436196e-27,5.574059761859063e-26
EIF1AY,10.694933,1.6439954,1.0749775548216298e-26,1.38937653849073e-25
SCCPDH,10.673077,2.0225554,1.3604596353922512e-26,1.7548763444532346e-25
EXT1,10.579729,1.5527393,3.7002528205271566e-26,4.704778894871696e-25
MTURN,10.114538,1.8032643,4.76257633803536e-24,5.563826494488115e-23
CCNG2,10.011259,1.9149294,1.360098002004657e-23,1.5563975265045105e-22
LAPTM4B,9.930412,2.6727302,3.0698271794864106e-23,3.4543058222075955e-22
GNA15,9.796956,2.0338025,1.1603000675376576e-22,1.2684218838869768e-21
MEF2C,9.693414,1.6106268,3.2159592715313377e-22,3.4406720079456105e-21
EFCAB2,9.630333,1.5731862,5.953621241847855e-22,6.263465616154775e-21
SLC39A3,9.559334,1.7157471,1.1851716077044695e-21,1.2290110238241154e-20
GATA2,9.351171,2.0085611,8.668263494221805e-21,8.654111227292463e-20
CASC15,9.322195,3.254266,1.1395755946255924e-20,1.1273617409319308e-19
GCSAML,9.246126,3.014207,2.3277658214859064e-20,2.271806563333477e-19
PRSS57,9.202745,1.9640344,3.489180294886785e-20,3.3600531501153845e-19
ECI1,9.19147,1.5454607,3.875089805302825e-20,3.726179720401262e-19
NIPSNAP3A,9.183501,1.5213649,4.172963780273173e-20,3.9968945302195524e-19
SMIM24,9.15856,1.9410568,5.259435390923696e-20,5.000808150126087e-19
NBEA,9.15481,2.5515552,5.445376675073463e-20,5.172579163972696e-19
ZC3H12B,9.069452,3.3768911,1.1961636657259895e-19,1.1220772104950221e-18
CALN1,9.057892,2.6855946,1.3299575293420299e-19,1.2446010968036747e-18
ANGPT1,9.048741,2.7765684,1.4462512892532723e-19,1.3508470275946554e-18
MAP7,9.022574,2.337732,1.8372051294218e-19,1.7102963830887622e-18
CHRM3,8.989998,2.616366,2.472342014182398e-19,2.283095258778724e-18
CD109,8.964093,2.7309563,3.1284517937100097e-19,2.8727144391983797e-18
CCDC171,8.80451,1.848627,1.3142573987996377e-18,1.1695038099004689e-17
