names,scores,logfoldchanges,pvals,pvals_adj
ACTB,39.666664,1.5882523,0.0,0.0
SERF2,28.008003,1.8013773,1.2981448148391375e-172,9.23712644973536e-171
ARPC2,25.70017,1.7304945,1.163759969630542e-145,6.58163441784117e-144
APMAP,24.705452,2.0326064,9.345410981422051e-135,4.701054038161098e-133
RPL27,24.158596,1.6734542,6.064616422613883e-129,2.880398401886128e-127
RPL23,23.906652,1.6397606,2.611743643045644e-126,1.2110568627278948e-124
LAMTOR4,23.64348,1.7606753,1.3774296851770703e-123,6.210494027544911e-122
GNG5,23.40331,1.8677509,3.954391219085716e-121,1.7467161935681554e-119
RPS17,23.327948,1.7213867,2.3079949219404397e-120,1.014895385000686e-118
RNASEK,23.295387,2.11643,4.937181052442077e-120,2.161314515306187e-118
TMEM131L,22.877989,1.9081844,7.69703541142156e-116,3.274251933276023e-114
STAT3,22.704956,1.673007,4.002407605601352e-114,1.680667640051658e-112
MIER1,22.632872,1.691272,2.0576186304832115e-113,8.494405350484279e-112
PPP3CA,22.480032,1.6055617,6.509123084995628e-112,2.6425419196513372e-110
COX5B,22.46671,1.641197,8.786577260235559e-112,3.559746249032907e-110
PGK1,22.324066,1.7039864,2.1574684352407804e-110,8.477377980078632e-109
ATP6V0E1,22.294806,1.6313846,4.1497492781400505e-110,1.614359719177823e-108
NIN,22.173641,1.8428316,6.1709646058455855e-109,2.3770361300627246e-107
IPCEF1,21.878155,2.3382616,4.194751748403311e-106,1.5634838516715426e-104
OSTF1,21.735483,1.7793448,9.477886396873799e-105,3.4666033834397476e-103
GNB1,21.325514,1.5727155,6.582686025588555e-101,2.3084229417332768e-99
IFITM2,21.230644,1.5683393,4.977637031739809e-100,1.7269929332816414e-98
STIM1,21.181833,1.5483248,1.4045697760863778e-99,4.838841791982084e-98
COX8A,21.16225,1.6492187,2.128167702713396e-99,7.305962387139602e-98
ENO1,20.93928,1.6158447,2.349854041478961e-97,7.914276055707455e-96
SLA,20.934986,1.9274611,2.571395290879868e-97,8.645543479714305e-96
FGR,20.809109,1.8979717,3.5794258140755535e-96,1.1871560055903464e-94
VCL,20.688932,1.7345898,4.357553955822993e-95,1.4258965854104402e-93
PTBP3,20.650904,1.5192571,9.58121385378811e-95,3.1247532115154287e-93
