Subset,Variable,Functional_score,n,rho,CI_lower,CI_upper,P_raw,P_FDR,Significance
Pro,Pro_Proliferation_scores,Proliferation,95,0.24465285554311308,0.03239698561087206,0.4362025666204507,0.016873811978013045,0.03374762395602609,*
Pro,Pro_Exhaustion_scores,Exhaustion,95,0.22222844344904813,0.01741646509109225,0.4112207001551706,0.030427247050830893,0.04056966273444119,*
Pro,Pro_Treg_signature_scores,Treg signature,95,0.23328667413213885,0.04184401143935026,0.407472386243865,0.022894792755871095,0.03924821615292187,*
Th1,Th1_Cytotoxic_scores,Cytotoxic,100,0.21848184818481847,0.011055828850998605,0.414279501545163,0.028976569610749944,0.04056966273444119,*
Th1,Th1_Exhaustion_scores,Exhaustion,100,0.3972877287728772,0.22477409049006108,0.5435523894101553,4.263715951088934e-05,0.00017054863804355735,***
Th1,Th1_Unhelped_CD4_T_scores,Unhelped CD4 T,100,0.18018601860186018,-0.007990328301344522,0.3615130912148206,0.07282597819849765,0.08739117383819718,ns
Treg,Treg_Treg_signature_scores,Treg signature,100,0.41759375937593757,0.24460554885416153,0.571415579428562,1.5416431149657866e-05,0.00017054863804355735,***
Treg,Treg_Exhaustion_scores,Exhaustion,100,0.2801320132013201,0.09187368320444118,0.4472335391460799,0.004759849195898985,0.011423638070157565,*
Treg,Treg_Activation_effector_scores,Activation,100,0.019045904590459045,-0.1760041903180127,0.2061047093192194,0.8508127251355851,0.8508127251355851,ns
CD8_exhausted_like,CD8_exhausted_like_Exhaustion_scores,Exhaustion,100,0.39807980798079806,0.23365099412914903,0.5382202631083038,4.102857879162821e-05,0.00017054863804355735,***
CD8_exhausted_like,CD8_exhausted_like_Apoptosis_scores,Apoptosis,100,0.36519651965196515,0.19548671242572385,0.5125501226718954,0.00018700753606082536,0.0005610226081824762,***
CD8_exhausted_like,CD8_exhausted_like_Cytotoxic_scores,Cytotoxic,100,0.1458145814581458,-0.04634213428271614,0.32901180853426293,0.14773945879278882,0.16117031868304235,ns
