Sample,mMDSC_ENTPD1_expression,mMDSC_NT5E_expression,mMDSC_ARG1_expression,mMDSC_IDO1_expression,mMDSC_STAT3_expression,mMDSC_SIGLEC9_expression,mMDSC_CD274_expression,mMDSC_PDCD1LG2_expression,mMDSC_TGFB3_expression,mMDSC_IL10_expression,mMDSC_ENTPD1_fraction,mMDSC_NT5E_fraction,mMDSC_ARG1_fraction,mMDSC_IDO1_fraction,mMDSC_STAT3_fraction,mMDSC_SIGLEC9_fraction,mMDSC_CD274_fraction,mMDSC_PDCD1LG2_fraction,mMDSC_TGFB3_fraction,mMDSC_IL10_fraction,mMDSC_suppressive_score,Condition
HC01,0.09126173,0.0,0.0,0.0,0.6000169,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,-0.06835779816084994,HC
HC02,0.0,0.08862202,0.0,0.0,0.31767973,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,-0.055794995866130424,HC
HC03,0.14535573,0.0,0.0,0.0,1.2823564,0.055655617,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.6153846153846154,0.07692307692307693,0.0,0.0,0.0,0.0,-0.010131712610919117,HC
HC04,0.0,0.0,0.0,0.0,0.43999463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,-0.07674369676026187,HC
HC05,0.13865809,0.06652327,0.0,0.0,0.8920733,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.03225806451612903,0.0,0.0,0.3870967741935484,0.0,0.0,0.0,0.0,0.0,-0.04169351067456048,HC
HC06,0.08695552,0.0,0.0,0.0,0.38127413,0.05414474,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.22727272727272727,0.045454545454545456,0.0,0.0,0.0,0.0,-0.015881687222800846,HC
HC07,0.049877923,0.047512956,0.0,0.0,0.4405141,0.07492029,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.2857142857142857,0.03571428571428571,0.0,0.0,0.0,0.0,-0.027611644372537544,HC
HC08,0.031596128,0.0,0.0,0.0,0.5567047,0.014719522,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.2857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,-0.04277268333501184,HC
HC09,0.0,0.0,0.0,0.0,0.2344096,0.30663425,0.08871758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.0,0.0,0.0,-0.020049987688719295,HC
HC10,0.0,0.0,0.0,0.0,0.47982252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,-0.042530283352024974,HC
HC11,0.10928069,0.0,0.0,0.0,0.39583603,0.044341646,0.0,0.0,0.0,0.13464564,0.06666666666666667,0.0,0.0,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,-0.01950468213789635,HC
HC12,0.27928296,0.0,0.0,0.0,0.98862624,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,-0.01251407115228003,HC
HC13,0.0,0.045642845,0.024073869,0.0,0.7416474,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.018867924528301886,0.0,0.33962264150943394,0.0,0.0,0.0,0.0,0.0,-0.03611605026629975,HC
HC14,0.0,0.0,0.0,0.0,0.7260848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,-0.05426317191306623,HC
HC15,0.0,0.0,0.0,0.0,0.37012425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,-0.07842814785490052,HC
HC16,0.0,0.0,0.0,0.0,0.75090605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3448275862068966,0.0,0.0,0.0,0.0,0.0,-0.05713888187380832,HC
HC17,0.22122556,0.08660049,0.0,0.0,0.341348,0.08594292,0.0,0.0,0.0,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.13636363636363635,0.045454545454545456,0.0,0.0,0.0,0.0,0.004501814455825049,HC
HC18,0.102013096,0.0,0.0,0.0,0.2841924,0.0,0.10565938,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.19047619047619047,0.0,0.047619047619047616,0.0,0.0,0.0,-0.07215785686071817,HC
HC19,0.39009786,0.0,0.0,0.0,0.50839853,0.110277034,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.21052631578947367,0.05263157894736842,0.0,0.0,0.0,0.0,-0.027776882233444516,HC
HC20,0.0,0.14487393,0.0,0.0,0.49604055,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,-0.019599854876599904,HC
HC21,0.0,0.0,0.0,0.0,1.2569903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,-0.02750700857541961,HC
HC22,0.04675304,0.0,0.0,0.0,0.7208833,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,-0.013922006168546712,HC
HC23,0.12117804,0.0,0.0,0.0,0.8778154,0.14175706,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,0.0,0.04478710870696711,HC
HC24,0.0,0.0,0.0,0.0,0.67948496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,-0.03576354774561795,HC
HC25,0.12132384,0.0,0.0,0.0,0.58615345,0.19724502,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.625,0.5,0.0,0.0,0.0,0.0,0.09399345154387559,HC
HC26,0.0,0.0,0.1722356,0.0,1.0186495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.03022584914610089,HC
HC27,0.0,0.0,0.0,0.0,0.74412584,0.13601342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.05,0.0,0.0,0.0,0.0,0.041865897945520134,HC
HC28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0931575757513061,HC
HC29,0.0,0.0,0.0,0.0,0.61009663,0.109871894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.2727272727272727,0.0,0.0,0.0,0.0,0.051917251277444135,HC
HC30,0.0,0.0,0.0,0.0,0.53343284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-0.04196442201986151,HC
HC31,0.044967845,0.0,0.0,0.0,0.38772964,0.10682199,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.0,0.0,0.0,0.0,0.014242606599518924,HC
HC32,0.0,0.0,0.0,0.0,0.36812994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,-0.08272425358126172,HC
HC33,0.0,0.0,0.12856987,0.0,0.7656713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,-0.0753662728240341,HC
HC34,0.0,0.0,0.0,0.0,0.7386835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-0.06128657699182331,HC
HC35,0.0,0.0,0.07659431,0.0,0.4935019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.225,0.0,0.0,0.0,0.0,0.0,-0.04996717498808502,HC
HC36,0.0,0.0,0.0,0.0,0.37911454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,-0.05282736583845536,HC
HC37,0.0,0.0,0.050307862,0.03379892,0.15715547,0.0,0.04534656,0.051426124,0.0,0.0,0.0,0.0,0.018867924528301886,0.018867924528301886,0.05660377358490566,0.0,0.018867924528301886,0.018867924528301886,0.0,0.0,-0.028603077749424548,HC
HC38,0.0,0.0,0.0,0.050562054,0.21926007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.07246376811594203,0.0,0.0,0.0,0.0,0.0,-0.021238997180577784,HC
HC39,0.0,0.0,0.0,0.0,0.14787564,0.09492238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.0,-0.06338456957459467,HC
HC40,0.0,0.0,0.07709733,0.0,0.5057429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,-0.08374232708934473,HC
HC41,0.0,0.0,0.13309094,0.0,0.3207461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.11904761904761904,0.0,0.0,0.0,0.0,0.0,-0.038656513884163926,HC
HC42,0.0,0.0,0.0,0.0,0.45578095,0.0,0.059443545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.022727272727272728,0.0,0.0,0.0,-0.04224589978518114,HC
HC43,0.0,0.0,0.0,0.0,0.12873337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,-0.04362881285839138,HC
HC44,0.0,0.0,0.0,0.0,0.8143214,0.0,0.0,0.0,0.111751765,0.0,0.0,0.0,0.0,0.0,0.40540540540540543,0.0,0.0,0.0,0.05405405405405406,0.0,-0.06057081966146368,HC
HC45,0.0,0.0,0.0,0.0,0.18105954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,-0.022128516394630836,HC
HC46,0.0,0.0,0.054064836,0.0,0.39345482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.14634146341463414,0.0,0.0,0.0,0.0,0.0,-0.05279397067126241,HC
HC47,0.0,0.0,0.0,0.0,0.27442363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,-0.04440077418556153,HC
HC48,0.047579523,0.0,0.0,0.0,0.19005829,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,-0.028238415542006783,HC
HC49,0.0,0.0,0.030411454,0.0,0.5381549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,-0.02985307801355809,HC
HC50,0.0,0.0,0.042247318,0.0,0.44134235,0.0522423,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.18333333333333332,0.016666666666666666,0.0,0.0,0.0,0.0,-0.03668738692233546,HC
